id,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Tkld,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
1c529186,139.0,6.0,47.0,67.0,26.0,1.0,139.0,1.0,0.0,1.0,77.0,297.0,124.0,1.0,2.0,0.0,1.0,0.0,85.0,2.0
db265666,141.0,0.0,7.0,75.0,60.0,10.0,140.0,10.0,6.0,4.0,75.0,423.0,160.0,6.0,3.0,3.0,11.0,10.0,101.0,33.0
8bc373ea,408.0,51.0,183.0,211.0,18.0,12.0,408.0,2.0,1.0,1.0,215.0,1209.0,629.0,3.0,1.0,0.0,8.0,1.0,240.0,2.0
565bf0da,363.0,32.0,153.0,195.0,20.0,6.0,363.0,2.0,2.0,0.0,188.0,982.0,529.0,8.0,2.0,0.0,5.0,3.0,186.0,3.0
b96b595c,553.0,59.0,266.0,254.0,37.0,5.0,553.0,5.0,3.0,2.0,278.0,1947.0,1211.0,12.0,7.0,0.0,4.0,1.0,338.0,6.0
aa1ecac3,248.0,3.0,32.0,119.0,104.0,19.0,248.0,15.0,9.0,6.0,166.0,1207.0,654.0,20.0,18.0,6.0,12.0,4.0,191.0,39.0
d75cf9bf,14.0,0.0,3.0,6.0,6.0,1.0,14.0,0.0,0.0,0.0,5.0,46.0,17.0,2.0,1.0,0.0,3.0,0.0,6.0,1.0
81442ecb,382.0,12.0,98.0,178.0,114.0,4.0,382.0,17.0,12.0,5.0,152.0,890.0,415.0,13.0,15.0,1.0,8.0,9.0,185.0,18.0
884a8908,100.0,0.0,9.0,47.0,49.0,8.0,100.0,16.0,8.0,8.0,68.0,738.0,283.0,10.0,7.0,3.0,12.0,14.0,74.0,19.0
ee926a02,220.0,10.0,57.0,135.0,33.0,6.0,220.0,8.0,7.0,1.0,88.0,507.0,248.0,4.0,2.0,0.0,5.0,1.0,110.0,6.0
9d8586c4,154.0,3.0,24.0,93.0,37.0,0.0,154.0,3.0,3.0,0.0,84.0,577.0,334.0,8.0,4.0,0.0,2.0,0.0,94.0,1.0
2557c196,85.0,3.0,9.0,50.0,28.0,6.0,85.0,5.0,3.0,2.0,47.0,302.0,157.0,5.0,2.0,0.0,7.0,1.0,52.0,10.0
42a632ba,62.0,2.0,7.0,23.0,32.0,3.0,62.0,0.0,0.0,0.0,35.0,246.0,164.0,5.0,5.0,1.0,0.0,0.0,44.0,7.0
18abe173,378.0,32.0,207.0,166.0,9.0,3.0,378.0,1.0,1.0,0.0,228.0,971.0,565.0,2.0,0.0,0.0,5.0,1.0,237.0,0.0
a8c0acb7,145.0,10.0,66.0,68.0,12.0,6.0,145.0,5.0,4.0,1.0,62.0,453.0,316.0,4.0,2.0,1.0,1.0,0.0,86.0,1.0
7230b807,4.0,0.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,2.0,31.0,12.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
1453e3cf,4.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
e2b384d2,28.0,0.0,0.0,6.0,22.0,8.0,28.0,3.0,2.0,1.0,22.0,148.0,72.0,3.0,2.0,2.0,2.0,2.0,26.0,13.0
c6e7789b,19.0,2.0,10.0,8.0,1.0,0.0,19.0,0.0,0.0,0.0,6.0,77.0,61.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0
8b92fc98,83.0,1.0,3.0,51.0,31.0,7.0,83.0,3.0,3.0,0.0,49.0,182.0,84.0,1.0,4.0,0.0,5.0,5.0,55.0,9.0
834d0be5,224.0,7.0,17.0,106.0,103.0,25.0,223.0,12.0,5.0,7.0,140.0,755.0,330.0,11.0,9.0,3.0,10.0,12.0,174.0,31.0
5294a83f,191.0,3.0,27.0,92.0,74.0,7.0,191.0,6.0,6.0,0.0,111.0,666.0,389.0,11.0,12.0,2.0,6.0,8.0,145.0,14.0
edd38473,412.0,20.0,86.0,193.0,135.0,11.0,412.0,13.0,9.0,4.0,176.0,1136.0,685.0,20.0,11.0,4.0,1.0,4.0,247.0,31.0
41b9d0c0,74.0,0.0,6.0,24.0,45.0,8.0,74.0,8.0,3.0,5.0,53.0,309.0,168.0,9.0,4.0,2.0,7.0,3.0,54.0,16.0
cc700722,379.0,7.0,99.0,253.0,32.0,0.0,379.0,15.0,9.0,6.0,220.0,898.0,438.0,4.0,2.0,0.0,8.0,9.0,276.0,3.0
67b3d74b,257.0,7.0,76.0,104.0,77.0,6.0,257.0,5.0,1.0,4.0,121.0,611.0,308.0,5.0,8.0,0.0,4.0,4.0,140.0,18.0
ba6e52b0,360.0,19.0,129.0,224.0,9.0,7.0,360.0,0.0,0.0,0.0,213.0,897.0,484.0,1.0,0.0,0.0,2.0,0.0,257.0,1.0
bdf8165d,222.0,1.0,25.0,142.0,56.0,3.0,222.0,3.0,3.0,0.0,119.0,630.0,230.0,5.0,3.0,0.0,12.0,9.0,144.0,9.0
f4290206,323.0,6.0,83.0,163.0,81.0,8.0,323.0,6.0,3.0,3.0,192.0,1197.0,756.0,18.0,18.0,2.0,3.0,0.0,225.0,23.0
9260926b,172.0,7.0,59.0,102.0,11.0,3.0,172.0,0.0,0.0,0.0,100.0,391.0,180.0,1.0,0.0,0.0,0.0,0.0,137.0,0.0
22721b88,231.0,15.0,70.0,135.0,31.0,0.0,231.0,7.0,6.0,1.0,135.0,534.0,264.0,4.0,9.0,0.0,5.0,2.0,131.0,8.0
10b9fa99,137.0,3.0,26.0,104.0,7.0,1.0,137.0,0.0,0.0,0.0,88.0,450.0,250.0,0.0,2.0,0.0,1.0,0.0,108.0,0.0
5a2cb25d,85.0,6.0,26.0,38.0,23.0,0.0,85.0,5.0,1.0,4.0,46.0,216.0,91.0,1.0,0.0,0.0,4.0,1.0,54.0,8.0
4f0fbd15,149.0,3.0,30.0,65.0,56.0,8.0,149.0,7.0,4.0,3.0,90.0,716.0,430.0,14.0,3.0,6.0,7.0,2.0,89.0,24.0
d8988c46,21.0,0.0,3.0,15.0,3.0,0.0,21.0,1.0,1.0,0.0,11.0,55.0,43.0,1.0,1.0,0.0,1.0,1.0,17.0,0.0
314c2af0,216.0,175.0,215.0,1.0,0.0,0.0,216.0,0.0,0.0,0.0,101.0,520.0,371.0,0.0,1.0,1.0,0.0,0.0,90.0,0.0
ef9c1c95,497.0,15.0,79.0,302.0,123.0,11.0,497.0,10.0,7.0,3.0,245.0,1399.0,679.0,13.0,14.0,2.0,11.0,9.0,310.0,17.0
ef8f266e,6.0,0.0,2.0,3.0,1.0,0.0,6.0,2.0,2.0,0.0,4.0,48.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
af3ddb2e,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
4e3f5992,24.0,0.0,2.0,19.0,3.0,0.0,24.0,0.0,0.0,0.0,16.0,77.0,35.0,1.0,1.0,0.0,0.0,0.0,18.0,0.0
8ec4c2f7,391.0,51.0,180.0,195.0,19.0,7.0,391.0,1.0,1.0,0.0,247.0,1435.0,891.0,7.0,3.0,2.0,2.0,0.0,270.0,2.0
b35db3f6,84.0,1.0,4.0,48.0,32.0,11.0,84.0,4.0,2.0,2.0,51.0,276.0,128.0,2.0,1.0,0.0,5.0,4.0,76.0,11.0
f08a8947,470.0,36.0,252.0,207.0,12.0,8.0,470.0,0.0,0.0,0.0,259.0,1457.0,623.0,4.0,3.0,0.0,3.0,1.0,298.0,1.0
df525574,459.0,15.0,126.0,225.0,116.0,5.0,459.0,8.0,5.0,3.0,248.0,1379.0,727.0,17.0,13.0,4.0,7.0,4.0,268.0,28.0
ba3378a5,123.0,5.0,15.0,47.0,63.0,21.0,123.0,8.0,5.0,3.0,66.0,584.0,168.0,8.0,7.0,6.0,15.0,11.0,87.0,28.0
02df3a4b,260.0,21.0,111.0,114.0,35.0,1.0,260.0,1.0,0.0,1.0,68.0,307.0,157.0,3.0,3.0,0.0,1.0,0.0,120.0,8.0
feb5d3ab,156.0,9.0,61.0,63.0,32.0,2.0,156.0,4.0,2.0,2.0,73.0,387.0,228.0,7.0,5.0,1.0,1.0,1.0,75.0,5.0
2b15a82a,195.0,5.0,39.0,85.0,71.0,3.0,195.0,5.0,2.0,3.0,118.0,563.0,312.0,10.0,9.0,1.0,3.0,3.0,129.0,19.0
56413b1f,327.0,6.0,43.0,219.0,67.0,3.0,327.0,9.0,5.0,4.0,180.0,767.0,354.0,1.0,2.0,0.0,4.0,5.0,231.0,7.0
ba7673a6,34.0,1.0,4.0,21.0,10.0,2.0,34.0,3.0,1.0,2.0,26.0,143.0,70.0,3.0,3.0,1.0,3.0,3.0,22.0,4.0
b1313ec4,230.0,5.0,43.0,102.0,89.0,17.0,230.0,4.0,1.0,3.0,98.0,413.0,123.0,2.0,4.0,0.0,12.0,6.0,133.0,15.0
30643ce2,235.0,6.0,12.0,94.0,129.0,26.0,235.0,9.0,4.0,5.0,135.0,531.0,169.0,6.0,2.0,5.0,23.0,4.0,199.0,60.0
2f7407fa,7.0,0.0,1.0,4.0,2.0,0.0,7.0,2.0,2.0,0.0,4.0,25.0,21.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0
28d596a0,457.0,411.0,456.0,1.0,0.0,0.0,457.0,0.0,0.0,0.0,239.0,1022.0,582.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0
963a328b,43.0,0.0,8.0,31.0,4.0,0.0,43.0,2.0,0.0,2.0,24.0,92.0,45.0,1.0,0.0,0.0,1.0,1.0,32.0,1.0
963a328b,51.0,1.0,3.0,34.0,14.0,1.0,51.0,3.0,2.0,1.0,37.0,273.0,116.0,2.0,4.0,0.0,2.0,1.0,46.0,1.0
22517bbe,300.0,20.0,123.0,131.0,50.0,2.0,300.0,4.0,2.0,2.0,107.0,475.0,211.0,4.0,6.0,0.0,6.0,3.0,142.0,11.0
089550f5,266.0,9.0,64.0,169.0,34.0,1.0,266.0,10.0,5.0,5.0,138.0,620.0,316.0,4.0,3.0,0.0,1.0,4.0,194.0,13.0
940efd73,168.0,12.0,54.0,83.0,33.0,4.0,168.0,6.0,4.0,2.0,73.0,613.0,229.0,9.0,4.0,2.0,3.0,2.0,77.0,10.0
06b2765c,100.0,8.0,27.0,68.0,7.0,0.0,100.0,3.0,1.0,2.0,49.0,174.0,61.0,0.0,0.0,0.0,5.0,1.0,57.0,0.0
8f5bfaac,19.0,1.0,3.0,11.0,5.0,1.0,19.0,3.0,1.0,2.0,12.0,105.0,66.0,3.0,0.0,1.0,3.0,0.0,12.0,1.0
d5dd5f1f,406.0,7.0,25.0,143.0,244.0,61.0,406.0,23.0,8.0,15.0,237.0,1605.0,904.0,34.0,22.0,13.0,16.0,18.0,320.0,93.0
890fa4b5,53.0,1.0,19.0,24.0,10.0,1.0,53.0,1.0,0.0,1.0,16.0,60.0,23.0,0.0,1.0,0.0,0.0,3.0,15.0,5.0
97bfa797,139.0,0.0,5.0,63.0,72.0,21.0,139.0,12.0,4.0,8.0,94.0,427.0,129.0,6.0,3.0,4.0,20.0,10.0,110.0,44.0
5dbefa9d,175.0,4.0,26.0,77.0,74.0,12.0,175.0,4.0,4.0,0.0,85.0,606.0,327.0,12.0,12.0,0.0,5.0,5.0,124.0,18.0
a637251f,78.0,1.0,11.0,40.0,28.0,6.0,78.0,1.0,1.0,0.0,47.0,238.0,98.0,5.0,1.0,2.0,7.0,4.0,60.0,15.0
10549b49,73.0,3.0,5.0,36.0,34.0,15.0,73.0,5.0,3.0,2.0,34.0,250.0,125.0,5.0,6.0,4.0,9.0,0.0,49.0,11.0
53cad200,623.0,39.0,233.0,287.0,105.0,7.0,623.0,0.0,0.0,0.0,247.0,1025.0,635.0,8.0,5.0,3.0,4.0,1.0,373.0,24.0
d3ce9f1f,18.0,1.0,8.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0,8.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
6438d426,92.0,1.0,11.0,48.0,35.0,8.0,92.0,3.0,2.0,1.0,62.0,413.0,184.0,7.0,6.0,4.0,8.0,4.0,68.0,15.0
09a9e921,125.0,4.0,8.0,56.0,61.0,20.0,125.0,9.0,5.0,4.0,62.0,266.0,100.0,3.0,2.0,1.0,9.0,3.0,87.0,18.0
75229233,395.0,11.0,69.0,279.0,52.0,0.0,395.0,8.0,7.0,1.0,188.0,912.0,413.0,5.0,3.0,0.0,5.0,11.0,236.0,7.0
e8c930bb,128.0,4.0,17.0,94.0,18.0,1.0,128.0,1.0,1.0,0.0,74.0,291.0,175.0,3.0,1.0,1.0,1.0,2.0,88.0,3.0
ce538b0b,255.0,18.0,79.0,127.0,56.0,3.0,255.0,5.0,5.0,0.0,95.0,350.0,99.0,1.0,3.0,0.0,4.0,3.0,139.0,8.0
3a233281,402.0,1.0,48.0,148.0,215.0,31.0,402.0,33.0,16.0,17.0,246.0,1709.0,882.0,34.0,25.0,10.0,18.0,8.0,286.0,77.0
56901a62,74.0,67.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,36.0,144.0,56.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
3958025f,5.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,2.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
59bf127b,304.0,9.0,42.0,187.0,75.0,8.0,304.0,11.0,6.0,5.0,193.0,1070.0,549.0,14.0,7.0,2.0,11.0,7.0,216.0,17.0
ec3efd7f,189.0,1.0,6.0,78.0,110.0,12.0,189.0,10.0,7.0,3.0,150.0,1118.0,555.0,22.0,14.0,6.0,15.0,14.0,166.0,46.0
a3bf2258,8.0,0.0,1.0,1.0,6.0,2.0,8.0,0.0,0.0,0.0,4.0,14.0,5.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0
a3bf2258,105.0,2.0,2.0,64.0,40.0,6.0,105.0,1.0,0.0,1.0,70.0,289.0,102.0,4.0,4.0,0.0,7.0,6.0,84.0,16.0
509a4ccb,24.0,1.0,1.0,14.0,9.0,1.0,24.0,2.0,0.0,2.0,17.0,102.0,15.0,0.0,0.0,1.0,7.0,0.0,18.0,5.0
baa82726,31.0,0.0,2.0,9.0,22.0,3.0,31.0,2.0,1.0,1.0,23.0,208.0,94.0,4.0,2.0,1.0,1.0,2.0,23.0,10.0
fa937f7a,760.0,6.0,116.0,473.0,182.0,9.0,757.0,14.0,10.0,4.0,438.0,2497.0,1345.0,21.0,13.0,3.0,13.0,19.0,561.0,18.0
3628b9b9,442.0,40.0,255.0,191.0,8.0,1.0,442.0,5.0,4.0,1.0,254.0,1443.0,737.0,4.0,4.0,0.0,8.0,1.0,256.0,1.0
ebdc9c7e,301.0,35.0,176.0,127.0,1.0,1.0,301.0,0.0,0.0,0.0,182.0,994.0,483.0,2.0,1.0,0.0,6.0,0.0,172.0,0.0
e0fd942a,208.0,8.0,41.0,106.0,65.0,9.0,208.0,6.0,4.0,2.0,119.0,698.0,334.0,9.0,11.0,0.0,12.0,10.0,141.0,23.0
712dd708,111.0,7.0,40.0,51.0,22.0,0.0,111.0,3.0,3.0,0.0,57.0,331.0,182.0,2.0,2.0,0.0,3.0,1.0,57.0,5.0
3a24769f,656.0,18.0,79.0,390.0,192.0,23.0,656.0,24.0,13.0,11.0,399.0,1859.0,754.0,15.0,19.0,5.0,15.0,16.0,535.0,35.0
487d9b09,258.0,10.0,44.0,100.0,116.0,11.0,258.0,6.0,1.0,5.0,162.0,820.0,479.0,17.0,11.0,5.0,3.0,0.0,189.0,57.0
8e7f49d3,210.0,9.0,80.0,118.0,14.0,0.0,210.0,5.0,4.0,1.0,112.0,449.0,181.0,0.0,2.0,0.0,3.0,2.0,143.0,1.0
b742cc0d,416.0,23.0,160.0,231.0,29.0,6.0,416.0,2.0,1.0,1.0,253.0,1529.0,897.0,6.0,7.0,1.0,3.0,2.0,298.0,2.0
3b57f7f8,79.0,6.0,19.0,30.0,30.0,4.0,79.0,2.0,2.0,0.0,36.0,150.0,68.0,3.0,1.0,2.0,2.0,0.0,46.0,9.0
e61bdd69,81.0,0.0,7.0,41.0,34.0,3.0,81.0,4.0,1.0,3.0,51.0,245.0,68.0,2.0,2.0,1.0,5.0,3.0,50.0,10.0
ec30b9c8,94.0,2.0,14.0,53.0,29.0,1.0,94.0,2.0,2.0,0.0,49.0,296.0,189.0,6.0,1.0,0.0,2.0,2.0,53.0,7.0
c01c66d9,213.0,14.0,81.0,122.0,12.0,3.0,213.0,2.0,1.0,1.0,134.0,851.0,470.0,4.0,3.0,0.0,1.0,3.0,154.0,2.0
d637fc22,85.0,1.0,10.0,58.0,18.0,3.0,85.0,2.0,2.0,0.0,40.0,211.0,128.0,1.0,2.0,0.0,1.0,2.0,49.0,4.0
69374ff5,244.0,8.0,46.0,161.0,39.0,5.0,244.0,0.0,0.0,0.0,138.0,511.0,264.0,3.0,5.0,0.0,2.0,6.0,184.0,6.0
a08b5224,74.0,2.0,4.0,40.0,30.0,5.0,74.0,4.0,1.0,3.0,33.0,69.0,19.0,0.0,0.0,0.0,9.0,3.0,52.0,13.0
b352cfa6,11.0,0.0,2.0,7.0,2.0,0.0,11.0,0.0,0.0,0.0,5.0,44.0,24.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0
beb6c168,15.0,1.0,5.0,8.0,2.0,0.0,15.0,3.0,1.0,2.0,4.0,23.0,14.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0
e204ec12,124.0,1.0,9.0,65.0,50.0,3.0,124.0,9.0,4.0,5.0,56.0,213.0,90.0,1.0,2.0,0.0,4.0,2.0,78.0,13.0
bee0bab1,208.0,0.0,19.0,72.0,122.0,10.0,208.0,18.0,9.0,9.0,143.0,1179.0,571.0,18.0,16.0,2.0,6.0,8.0,171.0,44.0
74dc806c,340.0,0.0,15.0,167.0,167.0,24.0,338.0,35.0,20.0,15.0,223.0,2216.0,993.0,31.0,31.0,13.0,17.0,18.0,247.0,22.0
942b4f90,268.0,0.0,7.0,108.0,159.0,42.0,267.0,14.0,10.0,4.0,171.0,932.0,570.0,25.0,13.0,9.0,20.0,10.0,217.0,65.0
c50281a0,230.0,5.0,31.0,140.0,59.0,7.0,230.0,3.0,1.0,2.0,128.0,653.0,329.0,6.0,6.0,1.0,4.0,2.0,147.0,15.0
070ec0b1,209.0,15.0,86.0,115.0,8.0,2.0,209.0,0.0,0.0,0.0,104.0,644.0,389.0,0.0,2.0,0.0,0.0,0.0,127.0,0.0
9f9c57f0,102.0,1.0,5.0,57.0,40.0,4.0,102.0,2.0,0.0,2.0,48.0,253.0,91.0,0.0,1.0,0.0,2.0,2.0,87.0,24.0
d1992a3b,173.0,5.0,67.0,63.0,45.0,1.0,173.0,1.0,1.0,0.0,79.0,383.0,234.0,6.0,8.0,0.0,2.0,0.0,91.0,16.0
5a28b2d9,413.0,50.0,207.0,194.0,14.0,6.0,413.0,0.0,0.0,0.0,190.0,851.0,401.0,1.0,6.0,0.0,2.0,0.0,217.0,0.0
305a3820,324.0,27.0,126.0,183.0,16.0,6.0,324.0,2.0,2.0,0.0,171.0,706.0,347.0,0.0,0.0,0.0,0.0,3.0,216.0,4.0
378825c7,526.0,16.0,122.0,269.0,145.0,16.0,526.0,5.0,1.0,4.0,247.0,1613.0,1071.0,30.0,20.0,4.0,14.0,4.0,289.0,42.0
6fbde63a,163.0,0.0,5.0,95.0,65.0,6.0,163.0,10.0,6.0,4.0,106.0,602.0,259.0,7.0,9.0,1.0,11.0,9.0,129.0,15.0
b36b3f96,12.0,1.0,3.0,6.0,3.0,0.0,12.0,0.0,0.0,0.0,9.0,48.0,31.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0
bb6ab7af,36.0,1.0,12.0,13.0,11.0,0.0,36.0,1.0,1.0,0.0,21.0,125.0,65.0,0.0,0.0,0.0,2.0,0.0,25.0,3.0
d0b6129f,350.0,5.0,55.0,233.0,65.0,11.0,350.0,5.0,5.0,0.0,216.0,1554.0,858.0,15.0,15.0,1.0,8.0,4.0,231.0,4.0
d5575935,193.0,5.0,33.0,119.0,43.0,1.0,193.0,2.0,1.0,1.0,89.0,375.0,132.0,3.0,3.0,0.0,9.0,8.0,139.0,9.0
