id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
67b3d74b,André Almeida,pt POR,DF,pt Benfica,26,1990,4,3,259,2.9,0,0,0,0,0,0,1,1,0.1,0.1,0.1,0.1,19,16,21,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
ba6e52b0,André Almeida Pinto,pt POR,DF,pt Sporting CP,27,1989,2,2,180,2.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,0,6,0,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches
bdf8165d,Richard Almeida,az AZE,MF,az Qarabağ FK,28,1989,6,6,540,6.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,15,27,8,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
cb7786d5,Stathis Aloneftis,cy CYP,"FW,MF",cy APOEL FC,34,1983,6,6,502,5.6,0,0,0,0,0,0,0,0,0.3,0.3,0.7,1.0,22,12,40,0.00,0.00,0.00,0.00,0.00,0.06,0.12,0.18,0.06,0.18,Matches
f4290206,Marcos Alonso,es ESP,"DF,MF",eng Chelsea,26,1990,7,7,598,6.6,0,1,1,0,0,0,2,0,0.6,0.6,0.7,1.3,6,16,44,0.00,0.15,0.15,0.00,0.15,0.10,0.10,0.20,0.10,0.20,Matches
8ce30c57,Éder Álvarez Balanta,co COL,DF,ch Basel,24,1993,6,6,530,5.9,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.5,8,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.00,0.08,Matches
c9e99e49,Dani Alves,br BRA,DF,fr Paris S-G,34,1983,8,8,720,8.0,2,0,2,2,0,0,0,0,0.5,0.5,1.4,1.8,29,52,45,0.25,0.00,0.25,0.25,0.25,0.06,0.17,0.23,0.06,0.23,Matches
5a2cb25d,Sofyan Amrabat,ma MAR,"MF,DF",nl Feyenoord,20,1996,6,6,528,5.9,1,0,1,1,0,0,1,0,0.6,0.6,0.0,0.6,9,21,4,0.17,0.00,0.17,0.17,0.17,0.10,0.01,0.11,0.10,0.11,Matches
9f31b1d3,André André,pt POR,"MF,FW",pt Porto,27,1989,4,2,225,2.5,0,0,0,0,0,0,3,0,0.6,0.6,0.0,0.6,3,10,6,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches
2a70dcc9,Thanasis Androutsos,gr GRE,FW,gr Olympiacos,20,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
