id,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
6a827d8e,Youcef Atal,dz ALG,"DF,MF",Nice,26-321,1996,7.1,1,9,5,55.6,1.27,0.71,0.11,0.20,16.3,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches
6b5edd5d,Valentin Atangana Edoa,fr FRA,MF,Reims,17-221,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7dfbba27,Mathias Autret,fr FRA,"MF,FW",Auxerre,32-033,1991,14.0,2,22,11,50.0,1.57,0.79,0.05,0.09,26.0,1,1,1,2.3,1.5,0.07,-0.3,-0.5,Matches
a94d93be,Cédric Avinel,gp GLP,DF,Ajaccio,36-204,1986,16.2,1,2,1,50.0,0.12,0.06,0.50,1.00,1.2,0,0,0,1.0,1.0,0.58,0.0,0.0,Matches
114bbdee,Loïc Bade,fr FRA,DF,Rennes,22-357,2000,1.0,0,2,0,0.0,2.00,0.00,0.00,,8.7,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
06df8256,Benoît Badiashile,fr FRA,DF,Monaco,22-008,2001,9.3,2,5,3,60.0,0.54,0.32,0.40,0.67,16.0,0,0,0,0.6,0.6,0.13,+1.4,+1.4,Matches
a1232f4e,Eric Bailly,ci CIV,DF,Marseille,28-356,1994,4.8,0,3,0,0.0,0.62,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
5065d67d,Dénys Bain,fr FRA,DF,Auxerre,29-275,1993,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7e3e825e,Brandon Baiye,be BEL,MF,Clermont Foot,22-097,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
0af4dcf0,Cédric Bakambu,cd COD,MF,Marseille,31-357,1991,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3975195f,Thierno Balde,fr FRA,DF,Troyes,20-297,2002,19.0,0,7,1,14.3,0.37,0.05,0.00,0.00,17.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
a1390d2f,Carlos Baleba,cm CMR,MF,Lille,19-090,2004,3.2,0,7,2,28.6,2.19,0.62,0.00,0.00,25.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
7c3ed041,Leonardo Balerdi,ar ARG,DF,Marseille,24-067,1999,22.9,0,4,0,0.0,0.17,0.00,0.00,,9.0,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
31822f8c,Folarin Balogun,eng ENG,FW,Reims,21-274,2001,23.5,17,81,36,44.4,3.44,1.53,0.16,0.36,15.2,1,4,5,18.5,14.4,0.18,-1.5,-1.4,Matches
7fecbcdb,Abdoulaye Bamba,ci CIV,DF,Angers,32-343,1990,7.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
b2bd0f6c,Jonathan Bamba,fr FRA,FW,Lille,27-008,1996,22.0,5,52,19,36.5,2.37,0.87,0.10,0.26,16.0,0,0,0,5.8,5.8,0.12,-0.8,-0.8,Matches
a0d55a09,Bradley Barcola,fr FRA,"FW,MF",Lyon,20-213,2002,8.6,3,18,7,38.9,2.08,0.81,0.17,0.43,13.2,0,0,0,2.2,2.2,0.12,+0.8,+0.8,Matches
1ddbc7ca,Melvin Bard,fr FRA,DF,Nice,22-148,2000,19.1,0,5,0,0.0,0.26,0.00,0.00,,13.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
3a24769f,Ross Barkley,eng ENG,"MF,FW",Nice,29-119,1993,7.8,3,27,11,40.7,3.47,1.41,0.11,0.27,18.9,2,0,0,3.4,3.4,0.13,-0.4,-0.4,Matches
e3844ecb,Mickaël Barreto,fr FRA,MF,Ajaccio,32-075,1991,7.9,0,8,1,12.5,1.01,0.13,0.00,0.00,25.9,2,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
20e0dd86,Cyrille Bayala,bf BFA,MF,Ajaccio,26-314,1996,18.2,1,21,6,28.6,1.15,0.33,0.05,0.17,15.7,0,0,0,1.9,1.9,0.09,-0.9,-0.9,Matches
