id,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Tkld,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
5c96b017,1356,23,177,586,612,57,1355,47,30,17,767,3557.0,1771.0,48,44,15,74,34,870,151
5ca20b7a,1888,82,573,861,471,26,1888,36,18,18,836,4254.0,2307.0,56,45,7,18,10,1009,141
5ce0b5ba,199,12,45,135,19,1,199,1,0,1,127,884.0,646.0,10,10,0,2,0,141,2
5ceba7fc,344,2,23,140,185,64,344,32,20,12,215,1545.0,737.0,29,16,20,29,13,261,92
5d5219b1,190,0,11,70,112,30,190,17,11,6,135,923.0,476.0,15,7,8,19,7,151,51
5dcf3e90,1176,961,1172,4,0,0,1176,1,0,1,549,3362.0,2301.0,0,0,0,1,0,472,0
5eebbfdf,309,5,24,141,156,14,309,31,18,13,201,1415.0,632.0,20,12,9,18,21,197,59
6025fab1,1674,19,246,896,552,33,1674,62,43,19,1139,6659.0,2869.0,64,51,7,32,27,1304,83
603116a7,1204,41,231,514,467,35,1204,24,18,6,783,3906.0,2261.0,45,42,9,20,11,863,123
60359288,239,33,137,100,6,4,239,3,2,1,140,743.0,390.0,2,1,0,0,0,140,0
605873e1,480,22,127,291,68,2,480,7,3,4,265,1124.0,500.0,7,9,1,6,3,314,5
605eb473,1284,1119,1278,6,0,0,1284,0,0,0,680,4465.0,3116.0,0,1,0,0,0,429,0
61220da2,2530,95,556,1246,754,57,2530,90,63,27,1459,9235.0,4962.0,137,86,15,67,32,1770,158
61b62b33,580,7,58,183,351,31,579,38,19,19,364,2321.0,1273.0,50,33,16,24,19,371,79
61bb7498,103,79,103,0,0,0,103,0,0,0,47,367.0,238.0,0,0,0,0,0,26,0
61bd33d0,813,12,97,317,414,60,813,44,22,22,517,3242.0,1583.0,54,34,26,42,35,536,145
6265208f,1387,50,134,760,501,130,1386,34,13,21,708,2113.0,639.0,13,18,5,90,43,1083,117
636eae97,699,12,123,323,275,38,699,97,41,56,490,3375.0,1771.0,60,44,25,36,33,488,85
63f04c6c,959,56,304,417,243,40,959,32,20,12,506,3067.0,1545.0,43,29,13,26,13,575,94
6435143e,4,0,0,0,4,2,4,0,0,0,2,4.0,2.0,0,0,0,1,0,3,1
64e8ed6d,746,15,66,349,337,80,746,47,27,20,488,2696.0,982.0,38,20,14,37,42,604,148
65154df0,7,0,0,2,5,1,7,0,0,0,6,23.0,0.0,0,0,0,1,1,5,3
65d62814,7,4,6,1,0,0,7,0,0,0,3,24.0,22.0,0,0,0,0,0,1,0
6636496a,44,0,10,19,17,3,44,4,3,1,21,157.0,66.0,0,0,0,0,0,27,4
6763373d,60,1,7,24,30,5,60,4,3,1,36,298.0,104.0,3,3,1,11,1,48,11
67669ce7,131,106,131,0,0,0,131,0,0,0,75,487.0,350.0,0,0,0,0,0,43,0
67cdbc0e,1454,21,224,773,463,60,1454,14,8,6,882,2929.0,1535.0,21,34,3,22,16,1152,116
6922f806,592,25,58,239,302,97,592,33,19,14,299,1784.0,609.0,32,14,12,56,31,445,111
697295b1,918,88,422,438,62,10,918,1,0,1,385,2110.0,1029.0,9,8,0,7,1,391,6
69cbc8b6,1759,169,806,831,140,26,1759,8,8,0,770,4352.0,2240.0,15,7,0,16,5,789,11
6a99e0b1,1036,34,88,398,569,111,1034,87,47,40,676,4499.0,2241.0,87,57,38,100,44,827,254
6bb2c084,1857,68,380,1140,371,38,1857,103,85,18,1081,6308.0,2941.0,54,49,11,73,48,1268,46
6c811eb7,634,6,68,392,183,11,634,25,14,11,453,2416.0,1094.0,19,20,0,14,10,524,27
6ce1f46f,2727,29,370,1615,763,36,2727,35,30,5,1730,8013.0,3935.0,61,61,5,16,13,2120,73
6d8f8441,700,48,248,274,184,24,700,26,16,10,368,1971.0,1026.0,27,13,5,17,4,396,41
6dce77a5,90,8,29,53,9,0,90,1,1,0,27,135.0,73.0,3,0,0,2,0,40,3
6f51e382,1498,1204,1491,8,0,0,1498,0,0,0,843,4026.0,2785.0,0,0,0,2,0,874,0
6f5f82c0,537,22,156,221,161,15,537,5,4,1,261,1293.0,725.0,22,15,3,11,8,293,52
70d74ece,1659,33,110,640,918,238,1654,68,38,30,1092,5833.0,2704.0,110,55,65,64,41,1377,270
70d8e84c,1024,102,445,522,65,18,1024,8,6,2,458,2351.0,1270.0,12,8,0,8,4,487,8
70f8e0bd,1557,49,258,850,479,59,1556,89,47,42,1015,6157.0,3193.0,85,59,12,71,52,1052,107
7111d552,764,1,63,246,470,144,764,102,48,54,572,4712.0,2827.0,110,54,69,38,13,602,224
715bf047,348,0,38,175,139,8,348,1,1,0,236,1052.0,389.0,10,7,0,8,3,263,27
719384c1,692,26,131,392,173,12,692,9,6,3,409,1973.0,909.0,14,14,3,11,6,430,12
71b47ab9,671,19,95,283,304,64,671,63,31,32,469,2953.0,1323.0,53,35,22,50,32,524,100
72a99e38,473,6,59,161,261,30,473,21,13,8,288,1985.0,1107.0,32,18,14,18,6,334,83
72b07a9c,1575,200,821,728,38,16,1575,12,9,3,851,5215.0,2951.0,21,14,0,14,8,898,2
7329018e,1033,47,170,664,206,25,1033,12,4,8,447,1733.0,562.0,6,13,4,29,14,508,13
73683fa9,1216,1025,1206,11,0,0,1216,3,3,0,569,4049.0,2990.0,0,0,0,1,0,384,0
7460ca0d,2663,58,559,1531,600,18,2657,53,38,15,1567,7992.0,3771.0,50,46,6,33,34,1867,44
74dc806c,73,1,10,38,26,2,73,13,8,5,53,443.0,156.0,4,5,2,6,5,58,2
75645f0e,505,25,52,238,222,76,505,34,16,18,276,1345.0,471.0,17,20,7,54,25,348,79
75751c99,890,670,874,16,0,0,890,0,0,0,392,3273.0,2165.0,0,0,0,0,0,222,0
75bd85ea,1909,56,321,1142,465,21,1906,22,9,13,1066,5209.0,2967.0,42,33,5,25,17,1190,23
79135368,225,3,29,111,86,4,225,1,1,0,95,335.0,124.0,0,5,0,4,4,116,8
79300479,1891,9,164,991,760,62,1891,104,63,41,1221,7536.0,3809.0,112,87,22,54,38,1398,121
7958dc65,228,0,27,125,78,7,228,9,6,3,139,835.0,426.0,13,12,1,10,5,172,16
7a538238,388,18,120,164,109,5,388,17,6,11,199,1134.0,525.0,14,13,1,6,5,176,22
7b456af7,969,872,963,6,0,0,969,0,0,0,449,2251.0,1420.0,0,0,0,1,0,395,0
7b5ab7f2,327,0,37,129,167,34,327,28,14,14,222,1644.0,876.0,32,17,16,21,17,225,62
7c2965bb,60,0,9,30,22,0,60,5,2,3,36,217.0,70.0,2,0,0,2,4,44,13
7c363088,7,0,2,2,3,1,7,0,0,0,1,11.0,2.0,0,0,0,0,0,5,1
7c388b20,1049,34,217,517,330,45,1049,26,17,9,551,3005.0,1349.0,38,26,6,47,26,647,104
7c4243d4,1142,16,149,651,371,18,1142,65,41,24,755,4512.0,2183.0,43,47,4,50,32,761,55
7dcf86f6,1656,10,132,748,794,136,1649,95,52,43,1072,6617.0,3192.0,106,87,37,73,45,1289,256
7f203b54,161,13,75,81,9,5,161,1,1,0,53,267.0,169.0,0,0,0,2,0,62,0
7f4c7c9f,1542,118,656,540,356,26,1542,32,19,13,684,3618.0,2098.0,62,32,7,22,11,762,111
808d48f3,980,72,321,446,225,13,980,16,12,4,546,2564.0,1454.0,36,33,1,13,5,610,82
808df563,90,0,18,32,42,1,90,3,3,0,50,338.0,194.0,6,4,1,0,1,56,12
81069528,1141,61,292,460,396,18,1141,21,11,10,490,2108.0,1016.0,29,22,4,20,9,546,101
81a606fc,104,83,104,0,0,0,104,0,0,0,53,420.0,318.0,0,0,0,0,0,32,0
81d5c497,33,2,2,19,12,4,33,0,0,0,22,95.0,18.0,3,0,3,5,1,28,10
81f0781e,1444,55,142,740,579,140,1442,95,60,35,900,4638.0,1889.0,55,43,21,90,47,1140,261
82e9b89d,450,10,32,212,209,58,450,13,6,7,204,636.0,189.0,5,7,2,46,12,326,63
833fb62e,531,3,40,251,249,51,530,34,16,18,361,1739.0,698.0,19,12,9,40,20,392,94
84399660,84,1,6,35,43,11,84,3,2,1,49,243.0,108.0,3,5,1,13,4,59,13
8455ad90,276,1,21,129,129,10,276,14,11,3,205,1198.0,480.0,11,7,2,15,9,230,28
84bba8b6,209,3,23,77,111,13,209,13,8,5,138,827.0,443.0,16,9,4,12,8,143,26
84f55b4a,4,0,1,2,1,1,4,0,0,0,1,3.0,0.0,0,0,0,1,0,1,0
84fb6aff,1166,65,352,506,312,7,1166,5,4,1,535,2146.0,1281.0,24,18,3,8,2,743,84
850c0a0d,1421,106,505,772,166,8,1421,13,9,4,725,4319.0,2018.0,21,17,1,15,7,709,17
85dace26,10,0,0,4,6,1,10,0,0,0,5,36.0,14.0,0,0,0,0,0,9,3
868ce848,950,43,251,467,242,6,950,14,6,8,435,2242.0,1025.0,27,32,0,17,1,434,45
8696bc90,633,8,70,253,318,69,633,29,19,10,408,1999.0,879.0,37,21,8,34,29,489,102
873619c6,7,0,1,2,4,1,7,0,0,0,5,14.0,9.0,0,0,0,1,0,7,2
873ce3a2,318,9,64,193,63,5,318,9,5,4,210,1367.0,644.0,9,10,0,10,6,228,14
874d7a32,352,21,101,228,25,0,352,1,0,1,178,583.0,139.0,1,0,0,4,2,173,0
88050721,1392,20,196,874,339,11,1392,19,13,6,743,3889.0,1566.0,25,28,1,19,22,917,25
8875b8c9,56,50,56,0,0,0,56,0,0,0,23,94.0,64.0,0,0,0,0,0,22,0
88a359d4,638,11,33,289,319,65,637,44,23,21,400,2713.0,1412.0,58,38,23,29,24,511,110
88d91621,558,27,138,358,71,5,558,9,8,1,277,1277.0,456.0,6,12,0,6,4,272,6
88f130ed,63,11,36,27,0,0,63,1,0,1,40,228.0,117.0,0,0,0,0,0,43,0
89151b16,1255,141,614,619,32,15,1255,4,4,0,723,3811.0,2277.0,15,2,0,9,2,864,2
89cbc961,311,27,147,155,9,5,311,1,1,0,198,1194.0,711.0,5,5,0,2,1,209,2
89f951b5,1646,44,277,931,446,31,1646,17,10,7,1012,4215.0,2020.0,27,38,5,13,17,1316,51
8aafd64f,738,8,67,350,331,68,738,55,20,35,468,2760.0,1384.0,43,45,16,40,23,586,116
8b625720,87,17,59,25,4,0,87,1,0,1,34,102.0,52.0,0,0,0,3,1,33,0
8c3c640c,1549,15,188,657,735,104,1545,103,67,36,975,5850.0,2488.0,86,73,15,87,52,1106,256
8cfc2f69,524,9,27,197,309,83,523,33,20,13,345,1952.0,625.0,31,13,15,70,29,400,106
8d47bb39,1097,59,313,519,274,16,1097,15,5,10,513,2729.0,1442.0,44,25,0,21,9,512,87
8db394aa,1107,98,464,514,142,11,1107,14,8,6,521,2925.0,1384.0,18,15,2,26,12,480,18
8dc6dbb3,10,1,3,4,3,2,10,0,0,0,7,28.0,12.0,1,0,1,0,0,7,2
8e010ff4,215,5,22,101,95,8,215,12,9,3,141,585.0,188.0,2,5,1,13,5,145,12
8e049cbd,630,55,308,302,25,8,630,5,5,0,330,1610.0,809.0,10,4,0,7,1,306,2
8e088e04,322,15,99,132,97,5,322,5,3,2,114,586.0,214.0,6,5,0,5,1,131,15
8e48dc61,772,32,185,529,67,1,772,13,11,2,440,2445.0,1422.0,12,4,0,9,8,523,9
8e92be30,481,6,13,212,266,98,481,30,17,13,312,2153.0,1099.0,46,30,24,59,37,360,98
8ef81d2d,156,12,59,82,16,1,156,3,2,1,99,416.0,142.0,0,1,0,3,3,93,0
8f29e08b,71,60,71,0,0,0,71,0,0,0,34,234.0,144.0,0,0,0,0,0,18,0
8f3565b3,919,30,77,452,391,126,917,47,20,27,486,2205.0,829.0,34,28,25,88,34,676,132
8f5e92a6,640,1,54,259,338,62,640,55,27,28,475,2903.0,1676.0,55,36,26,35,8,525,132
