id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
b561db50,Raúl Jiménez,mx MEX,FW,Wolves,31-333,1991,8.3,260,11,27,117,116,40,260,8,4,50.0,3,37.5,132,551,207,5,3,2,20,11,197,44,Matches
c17bfb65,Joelinton,br BRA,"MF,FW",Newcastle Utd,26-232,1996,20.6,1191,53,225,569,414,68,1191,71,34,47.9,28,39.4,619,3515,1644,45,33,5,53,42,769,105,Matches
9319781b,Ben Johnson,eng ENG,DF,West Ham,23-069,2000,8.3,544,43,228,242,78,1,544,14,7,50.0,4,28.6,246,1271,546,12,5,0,7,6,294,17,Matches
0cd31129,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,21-315,2001,25.6,647,5,57,233,378,99,645,72,31,43.1,31,43.1,375,3298,1804,75,40,35,64,21,425,135,Matches
4fb9c88f,Curtis Jones,eng ENG,"MF,FW",Liverpool,22-063,2001,2.2,174,4,28,84,63,10,174,6,3,50.0,3,50.0,118,587,225,6,3,3,5,6,137,16,Matches
45db685d,Jorginho,it ITA,MF,Arsenal,31-104,1991,4.3,374,10,73,222,81,7,374,4,1,25.0,3,75.0,231,969,482,7,6,0,3,6,293,6,Matches
45db685d,Jorginho,it ITA,MF,Chelsea,31-104,1991,14.2,1026,36,273,577,178,8,1024,12,5,41.7,4,33.3,546,2331,1090,13,27,1,14,9,706,10,Matches
6ad43f9a,Mateo Joseph,eng ENG,"FW,MF",Leeds United,19-166,2003,0.3,9,1,1,5,3,1,9,1,0,0.0,1,100.0,5,13,0,0,0,0,1,3,6,2,Matches
178ae8f8,Diogo Jota,pt POR,"FW,MF",Liverpool,26-120,1996,5.8,255,11,35,118,107,31,255,19,7,36.8,11,57.9,149,928,537,19,11,8,14,10,180,43,Matches
570bb4b9,Hamed Junior Traorè,ci CIV,"MF,FW",Bournemouth,23-046,2000,4.0,202,1,24,93,92,8,202,20,14,70.0,6,30.0,115,781,383,17,11,1,12,13,111,14,Matches
fb614c44,James Justin,eng ENG,DF,Leicester City,25-039,1998,13.9,980,48,296,475,216,8,980,19,4,21.1,11,57.9,417,1831,834,20,19,4,15,6,574,50,Matches
0db5d2c8,Mathias Jørgensen,dk DEN,DF,Brentford,32-345,1990,8.3,422,64,210,193,20,7,422,1,0,0.0,1,100.0,215,858,509,1,1,0,2,1,221,1,Matches
15f24fe7,Sasa Kalajdzic,at AUT,FW,Wolves,25-270,1997,0.5,7,0,2,1,4,2,7,0,0,,0,,2,6,3,0,0,0,1,0,5,1,Matches
cc77354e,Boubacar Kamara,fr FRA,MF,Aston Villa,23-131,1999,17.4,1058,58,326,621,121,8,1058,27,11,40.7,10,37.0,571,2297,1065,14,9,0,16,11,668,8,Matches
21a66f6a,Harry Kane,eng ENG,FW,Tottenham,29-249,1993,27.8,960,20,68,453,455,131,956,80,32,40.0,39,48.8,611,3371,1355,46,37,16,55,51,766,156,Matches
b9fbae28,N'Golo Kanté,fr FRA,MF,Chelsea,32-005,1991,2.3,174,3,17,86,73,9,174,6,4,66.7,2,33.3,90,551,304,8,5,1,3,2,120,12,Matches
c5b7c315,Michael Keane,eng ENG,DF,Everton,30-082,1993,4.3,172,34,104,51,17,10,172,1,1,100.0,0,0.0,62,278,153,0,0,0,3,0,71,0,Matches
18b999f4,Neeskens Kebano,cd COD,FW,Fulham,31-024,1992,7.9,285,10,46,80,166,27,285,28,9,32.1,14,50.0,182,1403,794,37,14,10,15,10,194,63,Matches
51dbeea9,Thilo Kehrer,de GER,DF,West Ham,26-194,1996,18.5,1042,100,468,474,106,13,1042,9,7,77.8,2,22.2,544,2248,1177,13,10,1,13,4,608,21,Matches
f25c8e3a,Naby Keïta,gn GUI,MF,Liverpool,28-052,1995,3.3,206,5,34,114,59,11,206,4,3,75.0,0,0.0,111,536,220,5,6,0,12,7,140,21,Matches
f31def1e,Lloyd Kelly,eng ENG,DF,Bournemouth,24-179,1998,13.0,775,105,448,275,56,5,775,3,1,33.3,1,33.3,378,1990,1215,5,2,0,12,2,441,1,Matches
d0f72bf1,Max Kilman,eng ENG,DF,Wolves,25-315,1997,29.0,2020,347,1199,781,53,21,2020,18,14,77.8,4,22.2,1169,6218,3736,27,10,1,14,7,1394,4,Matches
dc3e663e,Jakub Kiwior,pl POL,DF,Arsenal,23-047,2000,0.1,7,1,4,3,0,0,7,0,0,,0,,5,35,22,0,0,0,0,0,5,0,Matches
282679b4,Mateusz Klich,pl POL,"MF,FW",Leeds United,32-294,1990,3.1,189,3,25,82,85,9,189,6,2,33.3,4,66.7,110,385,149,5,5,2,11,1,124,21,Matches
