id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
5d133e96,Ricard Artero,es ESP,FW,Girona,20-052,2003,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
759d8dd7,Santiago Arzamendia,py PAR,"DF,MF",Cádiz,24-328,1998,4.3,7,6,5,1,1,6,19,31.6,13,10,1,9,1,8,11,1,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,Valladolid,33-274,1989,9.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,2,Matches
45af8a54,Marco Asensio,es ESP,"FW,MF",Real Madrid,27-067,1996,7.8,9,6,5,4,0,3,9,33.3,6,5,1,4,2,11,2,0,Matches
7dcf86f6,Iago Aspas,es ESP,FW,Celta Vigo,35-240,1987,24.4,5,2,0,3,2,1,11,9.1,10,8,1,7,6,11,18,0,Matches
d5dd5f1f,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,33-284,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
9fec8860,Ludwig Augustinsson,se SWE,DF,Mallorca,28-342,1994,1.3,1,0,1,0,0,1,3,33.3,2,1,0,1,1,2,3,0,Matches
253a06b9,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,29-051,1994,16.3,7,4,2,3,2,5,21,23.8,16,9,1,8,6,13,14,0,Matches
bfd381b3,Iddrisu Baba,gh GHA,MF,Mallorca,27-066,1996,12.7,24,13,12,12,0,11,24,45.8,13,11,2,9,7,31,19,0,Matches
075fe5a3,Srđan Babić,rs SRB,DF,Almería,26-341,1996,22.5,20,11,16,4,0,10,21,47.6,11,19,15,4,19,39,68,0,Matches
114bbdee,Loïc Bade,fr FRA,DF,Sevilla,22-352,2000,7.0,9,8,6,2,1,5,9,55.6,4,7,3,4,12,21,22,0,Matches
e4346678,Édgar Badía,es ESP,GK,Elche,31-045,1992,26.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,11,2,Matches
