id,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
d04b94db,Nélson Semedo,pt POR,DF,Barcelona,24,1993,17.8,1,6,2,33.3,0.34,0.11,0.17,0.50,17.1,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
c904f3d5,Rúben Semedo,pt POR,DF,Huesca,24,1994,9.4,0,6,0,0.0,0.64,0.00,0.00,,10.1,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
1e1bea09,Paik Seung-ho,kr KOR,"FW,MF",Girona,21,1997,0.7,0,1,0,0.0,1.50,0.00,0.00,,15.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
d2ac648c,Gaku Shibasaki,jp JPN,"MF,FW",Getafe,26,1992,4.3,0,6,1,16.7,1.39,0.23,0.00,0.00,24.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
b14d0c5d,Sidnei,br BRA,DF,Betis,28,1989,19.4,1,9,2,22.2,0.46,0.10,0.11,0.50,13.4,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Matches
3effaa34,André Silva,pt POR,FW,Sevilla,22,1995,24.0,9,63,26,41.3,2.63,1.08,0.14,0.35,13.2,0,0,0,10.3,10.3,0.16,-1.3,-1.3,Matches
f2308b33,Jonathan Silva,ar ARG,"DF,FW",Leganés,24,1994,30.0,3,23,8,34.8,0.77,0.27,0.13,0.38,18.2,0,0,0,1.6,1.6,0.07,+1.4,+1.4,Matches
5f3eaaf5,Moses Simon,ng NGA,"DF,MF",Levante,23,1995,8.7,1,15,5,33.3,1.72,0.57,0.07,0.20,18.3,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
5dcf3e90,Unai Simón,es ESP,GK,Athletic Club,21,1997,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
92d38e6c,Dimitris Siovas,gr GRE,DF,Leganés,29,1988,32.9,1,21,3,14.3,0.64,0.09,0.05,0.33,14.5,0,0,0,1.9,1.9,0.09,-0.9,-0.9,Matches
fd9c4805,Pione Sisto,dk DEN,"FW,MF",Celta Vigo,23,1995,9.4,2,18,8,44.4,1.92,0.85,0.11,0.25,22.7,2,0,0,0.9,0.9,0.05,+1.1,+1.1,Matches
9970da54,Antonio Sivera,es ESP,GK,Alavés,21,1996,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
19b776e9,Rubén Sobrino,es ESP,"FW,MF",Alavés,26,1992,10.7,3,20,6,30.0,1.87,0.56,0.15,0.50,16.0,0,0,0,1.9,1.9,0.09,+1.1,+1.1,Matches
19b776e9,Rubén Sobrino,es ESP,"FW,MF",Valencia,26,1992,2.1,0,3,0,0.0,1.40,0.00,0.00,,11.7,0,0,0,0.5,0.5,0.18,-0.5,-0.5,Matches
5fa714d5,Alex Sola,es ESP,DF,Real Sociedad,19,1999,1.0,0,2,1,50.0,2.00,1.00,0.00,0.00,22.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
c8764028,Andrés Solano,co COL,DF,Atlético Madrid,20,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
fed17f5a,Carlos Soler,es ESP,MF,Valencia,21,1997,27.3,2,41,14,34.1,1.50,0.51,0.05,0.14,19.2,0,0,0,4.1,4.1,0.10,-2.1,-2.1,Matches
6435143e,Kévin Soni,cm CMR,"FW,DF",Girona,20,1998,0.9,0,5,1,20.0,5.49,1.10,0.00,0.00,20.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
8f8c6934,David Soria,es ESP,GK,Getafe,25,1993,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5512b1a9,Juan Soriano,es ESP,GK,Sevilla,20,1997,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
220c11f1,Cristhian Stuani,uy URU,FW,Girona,31,1986,30.3,19,72,34,47.2,2.37,1.12,0.19,0.41,12.0,0,5,5,14.1,10.4,0.15,+4.9,+3.6,Matches
ba5004e1,Damián Suárez,uy URU,DF,Getafe,30,1988,36.0,0,15,1,6.7,0.42,0.03,0.00,0.00,29.3,4,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
12c50af5,Denis Suárez,es ESP,"MF,DF",Barcelona,24,1994,0.2,0,1,1,100.0,4.74,4.74,0.00,0.00,10.9,0,0,0,0.4,0.4,0.38,-0.4,-0.4,Matches
25c72b36,Leonardo Suárez,ar ARG,"FW,MF",Valladolid,22,1996,5.7,2,10,3,30.0,1.74,0.52,0.20,0.67,19.0,0,0,0,1.3,1.3,0.13,+0.7,+0.7,Matches
a6154613,Luis Suárez,uy URU,FW,Barcelona,31,1987,31.4,21,108,54,50.0,3.44,1.72,0.16,0.31,15.8,6,4,4,23.1,20.0,0.18,-2.1,-3.0,Matches
7106f0a0,Mario Suárez,es ESP,MF,Rayo Vallecano,31,1987,11.4,2,18,4,22.2,1.58,0.35,0.11,0.50,15.9,0,0,0,1.1,1.1,0.06,+0.9,+0.9,Matches
6fd1ba62,Markel Susaeta,es ESP,"FW,MF",Athletic Club,30,1987,15.3,1,15,6,40.0,0.98,0.39,0.07,0.17,19.6,1,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
a03c82b2,Rodrigo Tarín,es ESP,DF,Leganés,22,1996,15.9,0,4,0,0.0,0.25,0.00,0.00,,10.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
72a99e38,Cristian Tello,es ESP,"DF,FW",Betis,26,1991,17.5,4,36,17,47.2,2.06,0.97,0.11,0.24,17.7,6,0,0,2.9,2.9,0.08,+1.1,+1.1,Matches
6f51e382,Marc-André ter Stegen,de GER,GK,Barcelona,26,1992,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
174651c8,David Timor,es ESP,MF,Girona,28,1989,1.8,0,2,0,0.0,1.10,0.00,0.00,,34.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
7cefa219,Tito,es ESP,DF,Rayo Vallecano,33,1985,12.2,0,1,1,100.0,0.08,0.08,0.00,0.00,13.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
88f130ed,Jean-Clair Todibo,fr FRA,DF,Barcelona,18,1999,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5ceba7fc,Karl Toko Ekambi,cm CMR,"FW,MF",Villarreal,25,1992,23.8,10,58,32,55.2,2.43,1.34,0.17,0.31,14.8,0,0,1,10.6,10.0,0.17,-0.6,0.0,Matches
02ef8778,Raúl de Tomás,es ESP,FW,Rayo Vallecano,23,1994,31.3,14,115,47,40.9,3.68,1.50,0.12,0.30,18.0,8,0,0,15.6,15.6,0.14,-1.6,-1.6,Matches
d4ef9ac5,Toño,es ESP,"DF,FW",Levante,28,1989,19.6,1,14,4,28.6,0.71,0.20,0.07,0.25,25.2,1,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
87882adc,Daniel Torres,co COL,MF,Alavés,28,1989,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
9e1035f8,Ferrán Torres,es ESP,MF,Valencia,18,2000,9.4,2,16,6,37.5,1.69,0.64,0.13,0.33,15.6,0,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches
fc647b34,Óscar Trejo,ar ARG,"MF,FW",Rayo Vallecano,30,1988,19.6,1,19,5,26.3,0.97,0.26,0.00,0.00,16.6,0,1,1,3.3,2.5,0.13,-2.3,-2.5,Matches
963829d0,Manu Trigueros,es ESP,MF,Villarreal,26,1991,17.2,0,18,1,5.6,1.05,0.06,0.00,0.00,25.5,1,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
e3993b65,Patrick Twumasi,gh GHA,"MF,FW",Alavés,24,1994,1.9,0,3,2,66.7,1.59,1.06,0.00,0.00,17.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
3eed9821,Samuel Umtiti,fr FRA,DF,Barcelona,24,1993,13.2,0,2,0,0.0,0.15,0.00,0.00,,11.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
f8eca1b6,Enes Ünal,tr TUR,FW,Valladolid,21,1997,23.9,6,50,13,26.0,2.09,0.54,0.06,0.23,16.2,1,3,3,7.9,5.6,0.11,-1.9,-2.6,Matches
7b456af7,Tomáš Vaclík,cz CZE,GK,Sevilla,29,1989,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4acd733a,Valery,es ESP,"DF,FW",Girona,18,1999,9.9,0,2,1,50.0,0.20,0.10,0.00,0.00,17.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
c2111b45,Jesús Vallejo,es ESP,DF,Real Madrid,21,1997,3.5,1,1,1,100.0,0.29,0.29,1.00,1.00,3.6,0,0,0,0.7,0.7,0.68,+0.3,+0.3,Matches
0959c2a2,Federico Valverde,uy URU,MF,Real Madrid,20,1998,7.3,0,7,1,14.3,0.96,0.14,0.00,0.00,24.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
9f8e9423,Raphaël Varane,fr FRA,DF,Real Madrid,25,1993,30.6,2,19,4,21.1,0.62,0.13,0.11,0.50,10.1,0,0,0,2.1,2.1,0.11,-0.1,-0.1,Matches
467bae22,Franco Vázquez,ar ARG,MF,Sevilla,29,1989,25.3,3,45,8,17.8,1.78,0.32,0.07,0.38,18.1,0,0,0,4.1,4.1,0.09,-1.1,-1.1,Matches
ee923664,Kevin Vázquez,es ESP,DF,Celta Vigo,25,1993,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
fd51b456,Lucas Vázquez,es ESP,"FW,MF",Real Madrid,27,1991,16.8,1,24,11,45.8,1.43,0.66,0.04,0.09,16.3,0,0,0,2.6,2.6,0.11,-1.6,-1.6,Matches
bfb15d99,Koke Vegas,es ESP,GK,Levante,22,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5efb80d5,Emiliano Velázquez,uy URU,DF,Rayo Vallecano,24,1994,14.2,0,8,3,37.5,0.56,0.21,0.00,0.00,8.5,0,0,0,1.0,1.0,0.13,-1.0,-1.0,Matches
d3298c99,Daniele Verde,it ITA,"MF,FW",Valladolid,22,1996,7.3,2,23,8,34.8,3.15,1.10,0.04,0.13,26.6,6,1,1,1.6,0.8,0.04,+0.4,+0.2,Matches
d0d79694,Thomas Vermaelen,be BEL,DF,Barcelona,32,1985,6.5,0,2,0,0.0,0.31,0.00,0.00,,13.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
