id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
5065d67d,Dénys Bain,fr FRA,DF,Auxerre,29-289,1993,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7e3e825e,Brandon Baiye,be BEL,MF,Clermont Foot,22-111,2000,0.6,2,3.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
0af4dcf0,Cédric Bakambu,cd COD,MF,Marseille,32-006,1991,0.7,2,3.05,2,0,0,0,0,0,1,1.53,1,0,0,0,0,0,Matches
3975195f,Thierno Balde,fr FRA,DF,Troyes,20-311,2002,21.0,41,1.95,32,2,3,1,3,0,3,0.14,1,0,1,0,1,0,Matches
a1390d2f,Carlos Baleba,cm CMR,MF,Lille,19-104,2004,3.2,8,2.50,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
7c3ed041,Leonardo Balerdi,ar ARG,DF,Marseille,24-081,1999,23.9,9,0.38,6,0,1,2,0,0,1,0.04,1,0,0,0,0,0,Matches
31822f8c,Folarin Balogun,eng ENG,FW,Reims,21-288,2001,26.4,62,2.35,39,1,8,9,5,0,9,0.34,4,0,2,1,2,0,Matches
7fecbcdb,Abdoulaye Bamba,ci CIV,DF,Angers,32-357,1990,8.2,5,0.61,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
b2bd0f6c,Jonathan Bamba,fr FRA,FW,Lille,27-022,1996,24.2,92,3.80,77,2,3,8,2,0,13,0.54,10,0,0,3,0,0,Matches
a0d55a09,Bradley Barcola,fr FRA,"FW,MF",Lyon,20-227,2002,10.4,21,2.02,17,0,2,1,0,1,4,0.39,4,0,0,0,0,0,Matches
1ddbc7ca,Melvin Bard,fr FRA,DF,Nice,22-162,2000,21.8,23,1.06,20,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3a24769f,Ross Barkley,eng ENG,"MF,FW",Nice,29-133,1993,9.0,33,3.80,19,8,4,2,0,0,4,0.46,2,1,1,0,0,0,Matches
e3844ecb,Mickaël Barreto,fr FRA,MF,Ajaccio,32-089,1991,10.9,27,2.47,20,7,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
20e0dd86,Cyrille Bayala,bf BFA,MF,Ajaccio,26-328,1996,19.0,41,2.16,27,1,4,1,4,4,2,0.11,1,0,0,0,0,1,Matches
5e6355f8,Yanis Begraoui,fr FRA,"FW,MF",Toulouse,21-287,2001,0.7,2,2.77,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4a5e83ad,Alexis Beka Beka,fr FRA,"MF,DF",Nice,22-019,2001,4.4,7,1.60,4,0,0,0,3,0,0,0.00,0,0,0,0,0,0,Matches
5680bf3f,Jérémie Bela,ao ANG,"DF,MF",Clermont Foot,30-009,1993,7.7,10,1.30,7,0,1,1,1,0,3,0.39,1,0,1,0,1,0,Matches
705a1642,Reda Belahyane,fr FRA,MF,Nice,18-320,2004,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1a248246,Youcef Belaïli,dz ALG,"MF,FW",Ajaccio,31-034,1992,12.1,46,3.80,23,9,4,4,6,0,10,0.83,5,0,2,1,2,0,Matches
1a248246,Youcef Belaïli,dz ALG,"FW,MF",Brest,31-034,1992,4.0,15,3.79,8,6,0,0,1,0,2,0.51,0,2,0,0,0,0,Matches
2b1bed19,Haris Belkebla,dz ALG,MF,Brest,29-079,1994,23.1,34,1.47,29,0,0,0,3,2,1,0.04,0,0,0,0,1,0,Matches
10f0fdd3,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,24-294,1998,20.4,79,3.87,52,15,4,1,7,0,10,0.49,7,1,0,1,1,0,Matches
c678ddd7,Jeanöel Belocian,fr FRA,DF,Rennes,18-059,2005,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3bd65247,Eliesse Ben Seghir,fr FRA,"FW,MF",Monaco,18-060,2005,9.1,23,2.52,19,0,2,1,1,0,2,0.22,2,0,0,0,0,0,Matches
1f6298f2,Salim Ben Seghir,fr FRA,MF,Marseille,20-052,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
942b4f90,Wissam Ben Yedder,fr FRA,FW,Monaco,32-248,1990,19.2,42,2.19,29,0,3,6,2,2,12,0.63,8,0,0,3,0,1,Matches
3189f61a,Nabil Bentaleb,dz ALG,MF,Angers,28-144,1994,23.7,61,2.58,34,16,6,1,3,1,6,0.25,4,2,0,0,0,0,Matches
e4114f5d,Patrick Berg,no NOR,"MF,FW",Lens,25-144,1997,0.3,2,7.20,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
0b2c9aec,Mitchell van Bergen,nl NED,"FW,DF",Reims,23-233,1999,9.4,31,3.30,22,2,2,3,1,1,3,0.32,1,0,0,1,1,0,Matches
3916b09c,Quentin Bernard,fr FRA,DF,Auxerre,33-284,1989,7.0,11,1.57,10,1,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
28dabd43,Paul Bernardoni,fr FRA,GK,Angers,25-364,1997,23.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
433dc9a2,Juan Bernat,es ESP,DF,Paris S-G,30-047,1993,12.8,26,2.03,24,0,2,0,0,0,4,0.31,4,0,0,0,0,0,Matches
03e91055,Jason Berthomier,fr FRA,MF,Clermont Foot,33-101,1990,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
47c609d5,El Bilal Touré,ml MLI,FW,Reims,21-196,2001,1.0,2,1.98,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
a3e1d20d,Jean-Claude Billong,cm CMR,MF,Clermont Foot,29-110,1993,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
636247ca,Veljko Birmančević,rs SRB,"FW,MF",Toulouse,25-043,1998,3.9,10,2.56,6,0,0,1,3,0,2,0.51,1,0,0,0,1,0,Matches
3d214e5f,Marco Bizot,nl NED,GK,Brest,32-038,1991,30.0,3,0.10,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
967f34d3,Rubén Blanco,es ESP,GK,Marseille,27-266,1995,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6191093d,Ludovic Blas,fr FRA,"MF,FW",Nantes,25-107,1997,25.1,104,4.13,67,14,12,8,3,0,6,0.24,3,2,0,1,0,0,Matches
3cdfc63e,Miha Blažič,si SVN,DF,Angers,29-344,1993,19.7,5,0.25,5,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
6a9e4913,Joaquín Blázquez,ar ARG,GK,Brest,22-079,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5b479568,Myron Boadu,nl NED,FW,Monaco,22-093,2001,1.5,4,2.71,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2db2fd7b,Jérôme Boateng,de GER,DF,Lyon,34-226,1988,3.5,2,0.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7d937aa1,Antonin Bobichon,fr FRA,MF,Angers,27-215,1995,0.2,2,10.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
f6496133,Quentin Boisgard,fr FRA,MF,Lorient,26-031,1997,2.0,9,4.38,9,0,0,0,0,0,1,0.49,1,0,0,0,0,0,Matches
9f936061,Neto Borges,br BRA,DF,Clermont Foot,26-216,1996,26.5,66,2.49,57,2,3,2,2,0,4,0.15,1,0,0,1,2,0,Matches
c03b7266,Kenji-Van Boto,mg MAD,DF,Auxerre,27-041,1996,2.0,2,1.00,0,1,0,1,0,0,1,0.50,0,0,0,1,0,0,Matches
65fcf987,Kouamé Botué,bf BFA,"FW,MF",Ajaccio,20-253,2002,2.5,8,3.16,4,0,0,1,3,0,1,0.39,0,0,0,1,0,0,Matches
0400dd2f,Badredine Bouanani,dz ALG,"FW,MF",Nice,18-130,2004,4.8,16,3.30,9,2,3,1,1,0,4,0.83,3,0,0,1,0,0,Matches
f9d5908e,Hicham Boudaoui,dz ALG,MF,Nice,23-206,1999,14.4,39,2.71,32,0,3,1,1,2,3,0.21,3,0,0,0,0,0,Matches
4fb18ca4,Franci Bouebari,fr FRA,DF,Strasbourg,19-217,2003,0.8,1,1.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
b0c71810,Sofiane Boufal,ma MAR,"FW,MF",Angers,29-212,1993,9.3,52,5.61,38,3,4,1,6,0,6,0.65,3,1,0,0,2,0,Matches
62e02107,Ismaëlben Boura,fr FRA,"DF,FW",Lens,22-246,2000,1.0,2,1.94,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20e73fac,Benjamin Bourigeaud,fr FRA,"MF,FW",Rennes,29-093,1994,27.3,128,4.68,80,36,3,7,1,1,13,0.48,12,0,0,1,0,0,Matches
02bcaf8e,Bilal Brahimi,dz ALG,"FW,MF",Nice,23-034,2000,7.2,26,3.62,21,2,2,0,1,0,2,0.28,2,0,0,0,0,0,Matches
5b146df3,Lilian Brassier,fr FRA,DF,Brest,23-166,1999,27.4,23,0.84,20,1,0,1,1,0,1,0.04,0,1,0,0,0,0,Matches
b088d5d3,Andreas Bruus,dk DEN,"DF,FW",Troyes,24-091,1999,14.3,29,2.04,24,1,3,0,0,1,2,0.14,2,0,0,0,0,0,Matches
af69e7f0,Joe Bryan,eng ENG,"MF,DF",Nice,29-212,1993,2.0,1,0.51,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3b676989,Adam Buksa,pl POL,"FW,MF",Lens,26-279,1996,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7b082ec2,Maxime Busi,be BEL,DF,Reims,23-185,1999,7.9,15,1.91,14,0,0,0,0,1,1,0.13,1,0,0,0,0,0,Matches
