id,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
bcb2ccd8,Péter Gulácsi,hu HUN,GK,de RB Leipzig,32-309,1990,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
819b3158,İlkay Gündoğan,de GER,MF,eng Manchester City,32-138,1990,5.6,0,9,5,55.6,1.61,0.90,0.00,0.00,22.5,1,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
5ad50391,Joško Gvardiol,hr CRO,DF,de RB Leipzig,21-047,2002,5.0,2,2,2,100.0,0.40,0.40,1.00,1.00,4.1,0,0,0,0.8,0.8,0.38,+1.2,+1.2,Matches
1f44ac21,Erling Haaland,no NOR,FW,eng Manchester City,22-233,2000,3.8,5,16,8,50.0,4.26,2.13,0.31,0.63,12.2,0,0,0,4.0,4.0,0.25,+1.0,+1.0,Matches
92432bc6,Amadou Haidara,ml MLI,MF,de RB Leipzig,25-039,1998,3.1,0,5,1,20.0,1.62,0.32,0.00,0.00,22.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
e42d61c7,Achraf Hakimi,ma MAR,"DF,MF",fr Paris S-G,24-127,1998,6.4,0,4,2,50.0,0.62,0.31,0.00,0.00,15.6,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
d2fd7c14,Sead Haksabanović,me MNE,"MF,FW",sct Celtic,23-311,1999,2.5,0,2,2,100.0,0.79,0.79,0.00,0.00,15.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
ba115a40,Sébastien Haller,ci CIV,FW,de Dortmund,28-262,1994,1.6,0,2,0,0.0,1.26,0.00,0.00,,11.6,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
8ff2354e,Marcel Halstenberg,de GER,DF,de RB Leipzig,31-165,1991,1.9,0,1,0,0.0,0.54,0.00,0.00,,12.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
e7d59f4f,Amine Harit,ma MAR,MF,fr Marseille,25-266,1997,4.2,1,9,5,55.6,2.13,1.18,0.11,0.20,18.7,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches
cb4f24c6,Joe Hart,eng ENG,GK,sct Celtic,35-326,1987,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
9ab16552,Makoto Hasebe,jp JPN,DF,de Eint Frankfurt,39-052,1984,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
78f85621,Reo Hatate,jp JPN,MF,sct Celtic,25-110,1997,5.0,0,6,2,33.3,1.21,0.40,0.00,0.00,24.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
8454388c,Milan Havel,cz CZE,DF,cz Viktoria Plzeň,28-216,1994,4.7,0,1,0,0.0,0.21,0.00,0.00,,16.7,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
fed7cb61,Kai Havertz,de GER,"FW,MF",eng Chelsea,23-273,1999,5.7,2,20,6,30.0,3.48,1.04,0.05,0.17,14.0,0,1,1,2.5,1.7,0.08,-0.5,-0.7,Matches
a39bb753,Eden Hazard,be BEL,"FW,MF",es Real Madrid,32-063,1991,1.5,1,2,1,50.0,1.36,0.68,0.50,1.00,6.9,0,0,0,0.9,0.9,0.44,+0.1,+0.1,Matches
50871bcc,Thorgan Hazard,be BEL,"DF,FW",de Dortmund,29-347,1993,2.2,1,4,1,25.0,1.80,0.45,0.25,1.00,21.2,1,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
40d08dcd,Dolev Haziz,il ISR,DF,il Maccabi Haifa,27-249,1995,2.3,0,1,0,0.0,0.43,0.00,0.00,,24.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
61f63784,Lukáš Hejda,cz CZE,DF,cz Viktoria Plzeň,33-002,1990,5.7,0,2,0,0.0,0.35,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
935e6b8f,Jordan Henderson,eng ENG,MF,eng Liverpool,32-267,1990,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
ffed43e3,Jack Hendry,sct SCO,DF,be Club Brugge,27-308,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
0a89e877,Benjamin Henrichs,de GER,"DF,MF",de RB Leipzig,26-016,1997,1.4,0,2,0,0.0,1.46,0.00,0.00,,13.4,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
555f3a0b,Mario Hermoso,es ESP,DF,es Atlético Madrid,27-266,1995,1.8,1,4,1,25.0,2.28,0.57,0.25,1.00,15.7,0,0,0,0.7,0.7,0.17,+0.3,+0.3,Matches
c3ee18ef,Lucas Hernández,fr FRA,DF,de Bayern Munich,27-025,1996,1.9,1,1,1,100.0,0.52,0.52,1.00,1.00,3.3,0,0,0,0.4,0.4,0.36,+0.6,+0.6,Matches
d4c9725f,Theo Hernández,fr FRA,DF,it Milan,25-156,1997,6.5,0,8,2,25.0,1.23,0.31,0.00,0.00,25.3,2,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
