id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
ce81d82d,Ayman Azhil,ma MAR,MF,Leverkusen,22-015,2001,1,1,1,0.0,0.0,0,,0,1,1,6,3.00,0,0,0,0.00,-0.41,0.0,0.0,0.0,0.00,-0.30,Matches
10549b49,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,28-114,1995,18,687,38,26.3,7.6,6,78,2,12,18,3,1.39,12,12,0,0.00,-0.56,14.4,10.1,+4.4,+0.57,+0.37,Matches
f582d5c1,Sanoussy Ba,de GER,DF,RB Leipzig,19-110,2004,1,1,1,0.0,0.0,0,,0,1,1,17,3.00,0,0,0,0.00,-0.55,0.0,0.0,0.0,0.00,-0.67,Matches
6bcf5582,Elias Bakatukanda,de GER,MF,Köln,19-012,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
a8567629,Mitchel Bakker,nl NED,"DF,MF",Leverkusen,22-309,2000,23,1274,55,48.8,14.2,14,81,8,9,15,4,1.70,30,20,+10,+0.71,+0.57,21.0,17.6,+3.3,+0.23,-0.12,Matches
442b56fa,Ridle Baku,de GER,DF,Wolfsburg,25-017,1998,28,2176,78,83.4,24.2,24,87,20,4,25,0,1.54,46,34,+12,+0.50,+0.08,36.3,34.9,+1.4,+0.06,-0.07,Matches
a2a85828,Aymen Barkok,ma MAR,MF,Mainz 05,24-339,1998,18,426,24,16.3,4.7,2,83,0,16,16,10,1.78,10,7,+3,+0.63,+0.39,7.2,6.7,+0.5,+0.11,+0.16,Matches
00242b75,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23-112,2000,27,1826,68,70.0,20.3,21,81,11,6,21,2,1.56,36,24,+12,+0.59,+0.94,28.3,30.2,-1.9,-0.09,-0.21,Matches
e61bdd69,Gil Bastião Dias,pt POR,FW,Stuttgart,26-209,1996,7,398,57,15.2,4.4,6,59,0,1,45,2,0.57,3,8,-5,-1.13,-0.72,3.6,4.5,-1.0,-0.22,-0.23,Matches
44a20f0c,Maximilian Bauer,de GER,DF,Augsburg,23-075,2000,23,1593,69,61.0,17.7,18,84,16,5,15,5,1.17,23,35,-12,-0.68,-0.32,18.3,32.5,-14.2,-0.80,-0.34,Matches
47064058,Oliver Baumann,de GER,GK,Hoffenheim,32-327,1990,29,2610,90,100.0,29.0,29,90,29,0,,0,1.00,39,50,-11,-0.38,,41.2,41.9,-0.8,-0.03,,Matches
bd7d2e6d,Timo Baumgartl,de GER,DF,Union Berlin,27-052,1996,7,517,74,19.8,5.7,6,82,3,1,28,8,1.57,6,8,-2,-0.35,-0.99,6.7,7.1,-0.3,-0.06,+0.10,Matches
69374ff5,Julian Baumgartlinger,at AUT,MF,Augsburg,35-113,1988,15,529,35,20.3,5.9,3,90,3,12,22,11,0.67,10,17,-7,-1.19,-0.80,8.0,10.7,-2.7,-0.46,+0.27,Matches
437f2b00,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,23-267,1999,28,2220,79,85.1,24.7,28,79,13,0,,0,1.04,34,44,-10,-0.41,-0.17,36.9,36.7,+0.2,+0.01,+0.24,Matches
fbbc8e15,Noah Joel Sarenren Bazee,ng NGA,"MF,FW",Augsburg,26-247,1996,2,20,10,0.8,0.2,0,,0,2,10,5,1.50,0,0,0,0.00,+0.56,0.2,0.1,0.0,+0.16,+0.84,Matches
