id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
7dbbe367,Gareth Barry,eng ENG,MF,West Brom,36,1981,21.4,4,0,0,28,29,1,28,14,19,0,0,0,148,32,36,47.1,Matches
18e96f64,Kyle Bartley,eng ENG,DF,Swansea City,26,1991,2.6,2,0,0,5,1,0,0,4,2,0,0,0,3,14,3,82.4,Matches
2973d8ff,Michy Batshuayi,be BEL,FW,Chelsea,23,1993,4.0,0,0,0,4,3,6,0,1,4,0,0,1,9,7,14,33.3,Matches
cfe6238d,Moritz Bauer,at AUT,"DF,MF",Stoke City,25,1992,14.5,4,0,0,19,20,1,39,12,17,0,0,0,54,18,22,45.0,Matches
4115ce4e,Jan Bednarek,pl POL,DF,Southampton,21,1996,4.7,1,0,0,3,1,0,0,5,3,0,0,0,28,7,17,29.2,Matches
7b4de647,Asmir Begović,ba BIH,GK,Bournemouth,30,1987,38.0,2,0,0,2,7,0,0,2,0,0,1,0,23,8,2,80.0,Matches
f874dd44,Héctor Bellerín,es ESP,DF,Arsenal,22,1995,33.9,5,0,0,36,7,4,64,23,43,0,2,0,175,35,57,38.0,Matches
8309b068,Yohan Benalouane,tn TUN,DF,Leicester City,30,1987,1.0,0,0,0,1,1,1,3,1,3,0,0,0,5,2,2,50.0,Matches
ab070c55,Christian Benteke,be BEL,FW,Crystal Palace,26,1990,24.9,6,0,0,48,27,12,3,3,4,2,0,0,50,236,179,56.9,Matches
25b166d0,Saido Berahino,bi BDI,FW,Stoke City,23,1993,5.5,0,0,0,6,4,4,4,1,2,1,0,0,13,4,19,17.4,Matches
f72293fc,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,26,1990,31.5,2,0,0,18,33,2,213,34,27,0,0,0,179,39,49,44.3,Matches
01226327,Ryan Bertrand,eng ENG,DF,Southampton,27,1989,34.8,2,0,0,32,33,1,136,44,35,0,0,0,146,43,51,45.7,Matches
7ca9f0f0,Muhamed Bešić,ba BIH,MF,Everton,24,1992,0.5,0,0,0,1,2,0,0,0,1,0,0,0,3,2,1,66.7,Matches
d328a254,Philip Billing,dk DEN,MF,Huddersfield,21,1996,8.5,3,0,0,14,6,1,12,18,16,0,1,0,73,25,12,67.6,Matches
7f4f3e49,Mame Biram Diouf,sn SEN,"FW,DF",Stoke City,29,1987,28.8,6,0,0,38,39,23,34,14,36,0,0,0,75,142,158,47.3,Matches
691bef82,Daley Blind,nl NED,"DF,MF",Manchester Utd,27,1990,4.0,0,0,0,4,4,0,26,7,4,0,0,0,23,8,6,57.1,Matches
fe012aca,Jeremie Boga,ci CIV,MF,Chelsea,20,1997,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
715fc0fe,Yannick Bolasie,cd COD,FW,Everton,28,1989,9.5,0,0,0,12,11,4,53,4,7,0,0,0,55,11,9,55.0,Matches
cfd5e123,Gaëtan Bong,cm CMR,DF,Brighton,29,1988,24.8,2,0,0,16,13,0,53,40,32,0,0,1,140,29,28,50.9,Matches
61abe9b6,Wilfried Bony,ci CIV,FW,Swansea City,28,1988,7.9,2,0,0,7,11,2,0,2,4,0,0,0,15,43,58,42.6,Matches
b0c71810,Sofiane Boufal,ma MAR,"FW,MF",Southampton,23,1993,13.5,1,0,0,27,28,2,40,6,24,0,0,0,81,6,12,33.3,Matches
96bb8cc2,Robbie Brady,ie IRL,MF,Burnley,25,1992,14.2,3,0,0,20,11,3,123,7,21,0,0,0,74,9,12,42.9,Matches
10072610,Claudio Bravo,cl CHI,GK,Manchester City,34,1983,2.5,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,100.0,Matches
356a9a62,Miguel Britos,uy URU,DF,Watford,32,1985,8.9,3,1,0,8,6,0,5,12,11,0,0,0,45,27,19,58.7,Matches
b92dd711,Leon Britton,eng ENG,MF,Swansea City,34,1982,3.4,1,0,0,7,1,0,1,1,5,0,0,0,19,0,4,0.0,Matches
bf54c8cc,Izzy Brown,eng ENG,"MF,FW",Brighton,20,1997,3.5,0,0,0,3,3,1,7,1,3,0,0,0,17,13,23,36.1,Matches
78803d03,Bruno,es ESP,DF,Brighton,36,1980,22.4,3,0,0,19,8,0,41,38,17,0,1,0,116,28,22,56.0,Matches
ec7e6ad1,Chris Brunt,nir NIR,"MF,DF",West Brom,32,1984,21.3,5,0,0,15,6,0,139,22,24,0,0,0,148,15,14,51.7,Matches
f631c17f,Oliver Burke,sct SCO,"FW,MF",West Brom,20,1997,4.1,0,0,0,2,5,0,9,7,4,0,0,0,14,5,7,41.7,Matches
cc70a1d5,Jack Butland,eng ENG,GK,Stoke City,24,1993,35.0,0,0,0,0,3,0,0,1,1,0,0,1,55,6,0,100.0,Matches
1bf811d4,Sam Byram,eng ENG,"DF,MF",West Ham,23,1993,2.8,1,0,0,4,1,1,10,9,5,0,0,0,10,13,7,65.0,Matches
a179d516,Willy Caballero,ar ARG,GK,Chelsea,35,1981,3.0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,100.0,Matches
ad7b19ef,Yohan Cabaye,fr FRA,MF,Crystal Palace,31,1986,26.4,7,0,0,35,23,1,136,79,44,0,0,0,183,6,14,30.0,Matches
7914b9fe,Gary Cahill,eng ENG,DF,Chelsea,31,1985,23.2,1,1,0,17,17,0,0,27,21,0,0,0,103,91,30,75.2,Matches
59e6e5bf,Dominic Calvert-Lewin,eng ENG,FW,Everton,20,1997,20.9,4,0,0,43,27,15,19,10,8,4,0,0,65,133,168,44.2,Matches
