id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
47ea9421,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
481c9ece,33,2028,22.5,21,13,12,5,2.15,54,14.0,40.0,1.0,51.3,22.8,28.5,0.35,0,0,0,0.0
4830e0af,14,893,9.9,9,6,5,1,0.93,11,13.0,-2.0,0.33,10.3,15.8,-5.5,-0.05,0,0,0,0.0
48b3dd60,20,962,10.7,11,5,9,7,2.0,22,7.0,15.0,1.22,14.6,9.9,4.7,0.13,0,0,0,0.0
48d5bd33,30,1592,17.7,19,3,11,1,1.4,31,23.0,8.0,0.01,25.3,19.5,5.9,-0.23,0,0,0,0.0
4a0b7f07,29,1950,21.7,23,10,6,5,0.72,15,37.0,-22.0,-0.22,18.0,38.0,-20.0,0.01,0,0,0,0.0
4a56052c,36,2319,25.8,26,9,10,0,1.58,44,29.0,15.0,0.5,44.6,26.6,18.0,-0.02,0,0,0,0.0
4a5a45c7,28,2289,25.4,27,15,1,0,1.64,40,30.0,10.0,-0.08,45.8,25.5,20.3,0.29,0,0,0,0.0
4adb8714,0,0,0.0,0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
4ae67f27,23,1181,13.1,12,5,11,13,1.43,22,16.0,6.0,0.5,18.3,17.3,1.1,-0.27,0,0,0,0.0
4b029b31,12,935,10.4,11,8,1,16,1.82,8,19.0,-11.0,-0.18,9.7,20.3,-10.6,-5.61,0,0,0,0.0
4b3e1a38,33,2927,32.5,33,32,0,4,1.94,60,28.0,32.0,-1.02,48.4,26.8,21.6,-0.01,0,0,0,0.0
4b520f96,0,0,0.0,0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
4b55eb4d,14,571,6.3,5,2,9,7,0.21,2,18.0,-16.0,-1.61,3.4,13.6,-10.2,-1.0,0,0,0,0.0
4bd00a50,5,55,0.6,1,0,4,7,2.0,1,1.0,0.0,-0.16,0.7,0.7,0.0,-0.12,0,0,0,0.0
4c109f37,0,0,0.0,0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
4c2507ea,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
4c62d0c8,5,405,4.5,5,4,0,32,1.4,7,7.0,0.0,-0.6,5.2,3.5,1.7,0.03,405,5,5,4.5
4c6f9258,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
4c78b5ed,35,1697,18.9,19,5,16,2,1.77,36,27.0,9.0,-0.05,28.6,25.6,3.1,-0.08,0,0,0,0.0
4c8845f7,28,1019,11.3,11,1,17,9,1.71,23,17.0,6.0,0.45,23.3,12.8,10.4,0.59,0,0,0,0.0
4cde5509,23,1016,11.3,11,7,12,2,2.13,24,14.0,10.0,-0.16,18.6,13.3,5.3,-0.22,0,0,0,0.0
4d1efb48,35,3122,34.7,35,34,0,1,0.66,31,63.0,-32.0,-0.02,35.3,66.3,-30.9,0.43,0,0,0,0.0
4e1d5e59,35,2307,25.6,29,11,6,2,1.17,36,43.0,-7.0,0.78,27.2,42.2,-15.1,-0.09,0,0,0,0.0
4e358a2d,16,1434,15.9,16,15,0,0,1.25,18,26.0,-8.0,1.17,18.9,23.7,-4.8,0.79,0,0,0,0.0
4e6dbac4,37,3100,34.4,36,26,1,0,1.73,75,52.0,23.0,1.79,54.0,44.2,9.8,0.89,0,0,0,0.0
4f2908e5,2,11,0.1,0,0,2,33,1.5,0,0.0,0.0,0.05,0.1,0.3,-0.1,-0.83,0,0,0,0.0
4f8ce0e1,23,1938,21.5,21,21,2,15,0.74,15,49.0,-34.0,-0.91,18.2,39.4,-21.2,-0.52,1938,23,21,21.5
4f9fe4f8,0,0,0.0,0,0,0,6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
4fecf237,0,0,0.0,0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
509a4ccb,26,1229,13.7,14,1,12,3,0.58,14,23.0,-9.0,0.37,15.4,20.7,-5.3,0.3,0,0,0,0.0
5128bde4,34,2766,30.7,32,19,2,1,1.41,56,48.0,8.0,0.54,42.4,40.4,2.0,0.15,0,0,0,0.0
52611641,31,2195,24.4,26,12,5,3,1.52,42,32.0,10.0,0.56,45.3,23.9,21.4,1.02,0,0,0,0.0
526f0d08,0,0,0.0,0,0,0,16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
528492ea,33,1931,21.5,21,5,12,5,1.76,30,25.0,5.0,0.05,28.9,20.1,8.8,-0.23,0,0,0,0.0
5294a83f,34,2353,26.1,27,11,7,1,1.74,51,35.0,16.0,0.36,37.3,29.0,8.2,0.37,0,0,0,0.0
52ec54d0,24,2005,22.3,22,21,2,6,1.54,32,28.0,4.0,-0.84,30.5,25.4,5.1,-0.3,0,0,0,0.0
536cebe5,24,891,9.9,6,3,18,2,2.38,14,8.0,6.0,-0.53,16.2,11.5,4.8,-0.19,0,0,0,0.0
539230cf,6,341,3.8,3,3,3,30,2.67,9,4.0,5.0,-0.05,8.9,3.8,5.1,0.24,0,0,0,0.0
53a0e358,33,2819,31.3,33,16,0,0,1.39,57,50.0,7.0,1.57,45.5,51.3,-5.8,0.56,0,0,0,0.0
53de807a,10,556,6.2,6,3,4,23,1.4,12,11.0,1.0,-0.4,8.7,8.6,0.1,-0.21,0,0,0,0.0
53e494ec,1,90,1.0,1,1,0,27,3.0,4,0.0,4.0,3.97,1.9,0.5,1.4,1.17,90,1,1,1.0
5417a3bf,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
548fea2f,2,5,0.1,0,0,2,3,0.5,1,0.0,1.0,18.08,0.6,0.0,0.6,10.75,0,0,0,0.0
54e53b7e,35,2739,30.4,33,15,2,0,1.51,56,40.0,16.0,1.85,41.9,36.9,5.0,0.63,0,0,0,0.0
54f6afe3,1,29,0.3,0,0,1,36,0.0,1,2.0,-1.0,-2.33,0.9,0.2,0.7,2.98,29,1,0,0.3
