id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0000acda,18,980,10,10,6,8,12,1,16,12,4,13.3,13.6,-0.3,0,0,0,0
008a6e6d,31,2354,26,26,24,5,3,1,35,41,-6,30.7,43.1,-12.3,0,0,0,0
00a17eba,0,0,0,0,0,0,38,0,0,0,0,0.0,0.0,0.0,0,0,0,0
00b0bb87,16,1153,12,14,10,2,2,1,26,17,9,14.6,22.5,-7.9,0,0,0,0
016ff750,6,323,3,3,0,3,14,2,5,5,0,6.7,3.6,3.2,0,0,0,0
01b8a2b2,29,2591,28,29,28,0,7,2,57,33,24,51.4,35.9,15.5,2591,29,29,28
01da4666,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
01efac19,24,1563,17,16,15,8,13,1,28,40,-12,28.2,38.4,-10.2,0,0,0,0
023937a9,19,1318,14,15,12,4,4,1,14,30,-16,18.3,24.1,-5.8,0,0,0,0
02b2937c,24,1869,20,22,13,2,0,0,22,40,-18,23.4,39.3,-16.0,0,0,0,0
02caf6e0,32,2548,28,29,19,3,4,2,52,33,19,48.7,38.1,10.7,0,0,0,0
0375723e,33,2073,23,26,5,7,2,0,30,41,-11,28.4,38.5,-10.1,0,0,0,0
03f946ed,36,3032,33,33,30,3,0,0,24,62,-38,36.8,60.4,-23.5,0,0,0,0
0489bb30,17,680,7,7,0,10,6,1,8,8,0,9.3,12.4,-3.1,0,0,0,0
04989945,4,165,1,2,1,2,10,0,3,5,-2,3.7,2.6,1.1,0,0,0,0
04df29a5,1,9,0,0,0,1,5,3,1,0,1,0.1,0.1,0.1,0,0,0,0
05e19d6a,35,2904,32,33,25,2,2,1,57,37,20,55.2,38.1,17.2,0,0,0,0
060606ec,15,781,8,10,1,5,1,0,9,15,-6,7.0,15.7,-8.7,0,0,0,0
0728bebe,33,2673,29,31,18,2,1,1,36,37,-1,40.0,36.8,3.1,0,0,0,0
07767f42,22,1397,15,15,12,7,11,1,22,26,-4,17.3,28.1,-10.9,0,0,0,0
07abb358,23,1743,19,19,13,4,2,3,18,38,-20,23.7,35.800000000000004,-12.2,0,0,0,0
0821331c,27,2207,24,26,21,1,2,1,36,40,-4,36.8,32.7,4.0,0,0,0,0
085e71a7,31,2790,31,31,31,0,2,1,36,43,-7,41.3,39.3,2.0,2790,31,31,31
089550f5,8,639,7,7,6,1,15,2,15,5,10,11.7,6.8,4.9,0,0,0,0
08990838,11,328,3,1,1,10,23,1,6,8,-2,6.0,6.3,-0.3,0,0,0,0
08aa9cd1,32,2236,24,23,11,9,3,1,34,49,-15,30.5,37.0,-6.6,0,0,0,0
08f5afaa,36,3201,35,36,35,0,0,1,59,42,17,59.1,39.9,19.2,3201,36,36,35
091795f2,2,122,1,1,1,1,35,0,0,5,-5,1.7,2.7,-0.9,0,0,0,0
09538fdb,36,2569,28,28,16,8,1,1,27,39,-12,31.1,39.8,-8.7,0,0,0,0
0a3065c8,13,1006,11,12,9,1,0,1,18,19,-1,18.1,15.1,3.0,0,0,0,0
0a447501,24,1387,15,16,5,8,7,1,20,34,-14,18.5,24.1,-5.6,0,0,0,0
0a483542,26,1643,18,17,14,9,10,1,28,30,-2,27.0,31.5,-4.5,0,0,0,0
0ab1f153,33,2654,29,28,26,5,3,2,60,26,34,58.2,31.6,26.7,0,0,0,0
0b5a292a,24,1966,21,22,18,2,9,1,39,35,4,36.5,27.3,9.2,0,0,0,0
0c35d28d,2,3,0,0,0,2,5,1,0,0,0,0.8,0.0,0.8,0,0,0,0
0ccac09c,36,3168,35,36,34,0,1,0,31,68,-37,39.9,68.4,-28.5,0,0,0,0
0cd0e21b,13,396,4,1,0,12,13,1,9,4,5,8.0,5.9,2.1,0,0,0,0
0d077b88,17,925,10,10,7,7,12,1,19,23,-4,15.9,16.6,-0.7,0,0,0,0
0d422df7,35,3150,35,35,35,0,3,1,43,43,0,45.7,50.0,-4.2,3150,35,35,35
0d82903c,29,2385,26,27,24,2,3,2,48,31,17,52.0,32.8,19.3,0,0,0,0
0db169ae,35,3014,33,34,28,1,0,0,32,61,-29,38.8,64.5,-25.7,0,0,0,0
0dfce079,3,270,3,3,3,0,32,1,4,8,-4,4.8,3.8,1.0,270,3,3,3
0e21fc3c,19,931,10,9,5,10,18,2,25,8,17,19.9,10.6,9.4,0,0,0,0
0f28c908,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0f47717b,2,180,2,2,2,0,36,0,2,4,-2,0.8,4.0,-3.2,180,2,2,2
0f933743,0,0,0,0,0,0,18,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0ff53d6f,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0
103b7264,2,78,0,0,0,2,0,0,1,1,0,0.8,0.9,-0.1,0,0,0,0
1079c685,19,664,7,6,2,13,11,1,8,24,-16,8.3,15.0,-6.7,0,0,0,0
10dc46f0,36,3240,36,36,36,0,2,1,43,64,-21,42.0,57.7,-15.7,3240,36,36,36
10e7f486,15,1015,11,12,3,3,7,1,21,14,7,13.8,15.9,-2.0,0,0,0,0
11a1951e,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0
11fb79c1,0,0,0,0,0,0,12,0,0,0,0,0.0,0.0,0.0,0,0,0,0
1253a12e,3,204,2,2,2,1,2,0,2,4,-2,3.0,3.7,-0.7,0,0,0,0
12851227,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
1295552e,24,1273,14,13,8,11,14,1,34,27,7,22.9,24.4,-1.5,0,0,0,0
130a7a3f,22,1209,13,16,4,6,6,1,23,13,10,20.7,13.8,6.9,0,0,0,0
13f89eaa,8,389,4,4,0,4,28,0,3,9,-6,5.5,7.5,-2.1,0,0,0,0
1424fd81,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
