id,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
f586779e,Tammy Abraham,eng ENG,FW,Roma,23,1997,34.3,696,627,67,6,5,1,16,2,0,0,0,0,485,2,20,Matches
b96b595c,Francesco Acerbi,it ITA,DF,Lazio,33,1988,28.2,2043,1955,87,77,1,34,3,1,0,0,0,0,1837,1,6,Matches
f9c927de,Michel Aebischer,ch SUI,MF,Bologna,24,1997,4.9,239,225,13,5,0,1,7,1,7,0,4,0,205,1,5,Matches
0154d290,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,18,2003,7.4,152,145,7,0,0,2,8,5,0,0,0,0,114,0,4,Matches
46fa7204,Kevin Agudelo,co COL,"MF,FW",Spezia,22,1998,13.7,389,375,11,1,0,1,22,4,4,3,1,0,280,3,22,Matches
246d153b,Ola Aina,ng NGA,DF,Torino,24,1996,16.0,755,600,151,9,1,0,34,142,0,0,0,0,535,4,30,Matches
414e1f69,Marley Aké,fr FRA,"FW,MF",Juventus,20,2001,0.9,16,16,0,0,0,0,1,0,0,0,0,0,12,0,1,Matches
fdf4b948,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28,1992,3.5,106,106,0,0,0,0,0,0,0,0,0,0,89,0,8,Matches
5294a83f,Luis Alberto,es ESP,MF,Lazio,28,1992,26.1,1970,1751,211,82,18,9,143,12,104,47,40,0,1626,8,29,Matches
aa5322d5,Giorgio Altare,it ITA,DF,Cagliari,22,1998,16.3,799,712,83,12,0,3,27,71,0,0,0,0,531,4,11,Matches
35b4bc62,Wisdom Amey,it ITA,DF,Bologna,15,2005,0.8,29,25,4,4,0,0,0,0,0,0,0,0,20,0,0,Matches
bcc81786,Kelvin Amian,fr FRA,DF,Spezia,23,1998,29.4,1133,862,267,18,1,1,24,249,0,0,0,0,887,4,35,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Genoa,24,1996,7.6,299,255,41,13,2,0,20,2,12,2,7,0,222,3,3,Matches
10b9fa99,Ethan Ampadu,wls WAL,"MF,DF",Venezia,20,2000,25.4,1165,1037,123,41,4,10,20,80,0,0,0,0,867,5,26,Matches
5a2cb25d,Sofyan Amrabat,ma MAR,MF,Fiorentina,24,1996,10.5,716,685,31,31,1,9,6,0,0,0,0,0,645,0,8,Matches
9f1893b9,Felipe Anderson,br BRA,FW,Lazio,28,1993,32.1,1436,1342,90,6,5,6,86,32,13,8,3,0,1118,4,36,Matches
39aa05a7,Ebenezer Annan,gh GHA,DF,Bologna,18,2002,0.3,11,8,3,0,0,0,1,3,0,0,0,0,4,0,0,Matches
bbafc0c4,Cristian Ansaldi,ar ARG,DF,Torino,34,1986,7.7,407,318,86,8,2,4,57,68,10,4,2,0,285,3,4,Matches
38d9ce53,Janis Antiste,fr FRA,FW,Spezia,18,2002,8.8,215,195,19,0,1,0,12,6,0,0,0,0,136,1,6,Matches
0847b5a5,Mattia Aramu,it ITA,"MF,FW",Venezia,26,1995,23.3,795,603,184,43,6,6,144,21,66,33,28,0,524,8,24,Matches
00459419,Marko Arnautović,at AUT,FW,Bologna,32,1989,29.9,908,851,51,1,4,1,12,9,0,0,0,0,659,6,24,Matches
963a328b,Tolgay Arslan,de GER,MF,Udinese,30,1990,18.4,677,649,28,19,2,2,33,1,7,2,5,0,532,0,13,Matches
a820e429,Arthur,br BRA,FW,Fiorentina,23,1998,8.3,142,126,16,0,1,2,2,0,0,0,0,0,110,0,5,Matches
a69cc629,Kristoffer Askildsen,no NOR,MF,Sampdoria,20,2001,8.4,226,215,8,5,0,1,2,2,0,0,0,0,147,3,5,Matches
