id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
a111cf41,Juan Musso,ar ARG,GK,it Atalanta,27,1994,6,6,540,6.0,13,2.17,34,21,61.8,1,3,2,1,16.7,0,0,0,0,,Matches
ecada4fc,Keylor Navas,cr CRC,GK,fr Paris S-G,34,1986,3,3,270,3.0,5,1.67,16,11,68.8,1,1,1,0,0.0,0,0,0,0,,Matches
8778c910,Manuel Neuer,de GER,GK,de Bayern Munich,35,1986,9,9,810,9.0,6,0.67,20,14,70.0,7,1,1,4,44.4,0,0,0,0,,Matches
ee8508c0,Jan Oblak,si SVN,GK,es Atlético Madrid,28,1993,10,10,900,10.0,10,1.00,36,26,77.8,3,3,4,3,30.0,2,2,0,0,0.0,Matches
e9c0c1b2,André Onana,cm CMR,GK,nl Ajax,25,1996,2,2,180,2.0,2,1.00,4,2,75.0,1,0,1,0,0.0,1,1,0,0,0.0,Matches
3392603d,Remko Pasveer,nl NED,GK,nl Ajax,37,1983,6,6,540,6.0,6,1.00,18,13,72.2,5,1,0,2,33.3,1,1,0,0,0.0,Matches
4c62d0c8,Mattia Perin,it ITA,GK,it Juventus,28,1992,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
c89e8aae,Pavao Pervan,at AUT,GK,de Wolfsburg,33,1987,1,1,90,1.0,2,2.00,7,5,71.4,0,0,1,0,0.0,0,0,0,0,,Matches
34c3b935,Andriy Pyatov,ua UKR,GK,ua Shakhtar,37,1984,3,3,265,2.9,2,0.68,8,6,75.0,0,2,1,1,33.3,0,0,0,0,,Matches
625c144a,Gerónimo Rulli,ar ARG,GK,es Villarreal,29,1992,12,12,1080,12.0,16,1.33,55,40,70.9,5,3,4,3,25.0,0,0,0,0,,Matches
e1d4f20d,Oleksiy Shevchenko,ua UKR,GK,ua Shakhtar,29,1992,1,0,5,0.1,1,18.00,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches
42130443,Zack Steffen,us USA,GK,eng Manchester City,26,1995,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Matches
01b8a2b2,Wojciech Szczęsny,pl POL,GK,it Juventus,31,1990,7,7,630,7.0,10,1.43,22,13,63.6,4,1,2,3,42.9,2,2,0,0,0.0,Matches
b056e3da,Ciprian Tătărușanu,ro ROU,GK,it Milan,35,1986,3,3,270,3.0,2,0.67,9,7,77.8,1,1,1,1,33.3,0,0,0,0,,Matches
6f51e382,Marc-André ter Stegen,de GER,GK,es Barcelona,29,1992,6,6,540,6.0,9,1.50,25,16,68.0,2,1,3,3,50.0,1,1,0,0,0.0,Matches
41f0b196,Anatolii Trubin,ua UKR,GK,ua Shakhtar,19,2001,3,3,270,3.0,9,3.00,25,17,64.0,0,0,3,0,0.0,0,0,0,0,,Matches
7d3e7da6,Sven Ulreich,de GER,GK,de Bayern Munich,32,1988,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
728e9b2e,João Virgínia,pt POR,GK,pt Sporting CP,21,1999,1,1,90,1.0,4,4.00,7,3,57.1,0,0,1,0,0.0,1,1,0,0,0.0,Matches
03df04ff,Odisseas Vlachodimos,gr GRE,GK,pt Benfica,27,1994,10,10,900,10.0,17,1.70,52,35,67.3,3,4,3,5,50.0,1,0,1,0,100.0,Matches
