id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
47064058,49,146,97,13,7,10,7,7,5,2,0
9d12e142,40,95,58,19,5,7,12,3,3,0,0
db401046,38,105,67,11,6,9,5,4,4,0,0
a92ab7be,14,69,55,4,3,3,3,1,0,0,1
17376543,54,159,105,12,5,16,8,4,3,1,0
bcb2ccd8,34,116,82,16,12,4,10,2,2,0,0
2e7ff968,1,7,6,2,1,0,3,0,0,0,0
3cd9e95a,69,156,87,10,6,18,6,6,4,2,0
ad3389d5,44,143,99,19,6,9,10,2,2,0,0
e8fd2e5b,17,33,16,0,1,5,0,1,1,0,0
27d2618c,46,143,99,11,5,13,9,7,7,0,0
62ba5881,2,5,3,0,1,0,0,0,0,0,0
dc2e4736,31,78,49,2,9,6,2,3,2,1,0
dc366c36,51,122,72,6,6,12,4,1,0,1,0
bb25c778,9,19,10,0,3,1,0,0,0,0,0
7fe12375,12,33,22,3,3,4,3,0,0,0,0
cbac6ec9,25,66,40,3,2,7,2,3,2,1,0
dc29b608,3,5,2,2,0,0,0,0,0,0,0
8778c910,31,110,79,25,4,4,15,4,3,1,0
226ddf9d,4,8,4,0,0,1,0,0,0,0,0
afb0c500,40,118,80,8,9,9,5,4,4,0,0
0a1cb833,67,169,105,8,6,19,4,1,1,0,0
c41f7379,4,21,17,2,0,2,1,1,1,0,0
c89e8aae,8,37,30,2,4,2,3,1,1,0,0
a70b8345,14,49,35,2,3,4,1,2,2,0,0
289b90cd,18,55,37,1,3,4,2,2,2,0,0
0d55d942,32,118,86,9,6,9,4,3,3,0,0
45f6f52b,4,11,7,0,0,1,0,0,0,0,0
420c18a1,40,158,117,20,5,9,7,2,1,1,0
42130443,36,99,63,4,3,10,2,2,1,1,0
cac55e10,1,4,3,0,0,0,0,0,0,0,0
ce17b5eb,38,105,69,11,3,8,4,1,1,0,0
7d3e7da6,1,3,2,1,0,0,0,0,0,0,0
e2d34771,8,20,12,0,0,3,0,0,0,0,0
5c4bf6ba,40,115,75,8,2,12,3,2,1,1,0
bf9d9070,57,152,96,4,7,17,5,4,3,1,0
