id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
47064058,51,132,81,10,8,13,6,9,6,2,1
8758ddf4,1,6,5,1,0,0,0,0,0,0,0
d28339cb,1,9,8,1,0,0,0,0,0,0,0
9d12e142,30,92,62,9,2,7,4,4,4,0,0
db401046,33,108,74,17,9,6,14,5,3,2,0
dee3013b,10,20,10,1,0,2,0,1,1,0,0
1e43fad8,50,143,94,3,3,16,3,4,3,1,0
a92ab7be,6,18,12,1,1,1,0,3,2,0,1
17376543,54,178,126,10,6,18,7,9,6,1,2
37998008,7,21,14,1,0,3,1,0,0,0,0
bcb2ccd8,30,80,50,19,8,6,15,3,3,0,0
2e7ff968,16,44,29,11,2,3,7,2,2,0,0
3cd9e95a,59,155,95,8,9,17,5,8,7,1,0
ad3389d5,29,83,55,13,9,7,8,2,1,1,0
27d2618c,13,33,20,2,1,5,1,2,1,1,0
32e7ce92,1,4,4,1,2,0,2,0,0,0,0
cd59b9df,54,157,102,11,9,13,5,7,5,2,0
d20f088b,12,24,13,0,0,2,0,0,0,0,0
9321b8ed,3,8,5,0,1,0,0,0,0,0,0
7fe12375,42,132,89,11,12,8,5,5,4,1,0
11d8aff0,2,4,2,0,0,1,0,0,0,0,0
cbac6ec9,46,157,112,11,8,12,6,3,2,1,0
8778c910,42,123,80,24,5,4,9,3,1,1,1
afb0c500,2,4,2,0,1,0,0,0,0,0,0
c1242d4e,52,170,118,9,8,17,11,6,5,1,0
0a1cb833,57,157,101,7,10,17,6,6,4,2,0
c41f7379,3,13,10,1,2,0,0,0,0,0,0
c89e8aae,4,14,10,0,1,1,0,0,0,0,0
a70b8345,24,67,45,0,4,6,1,4,4,0,0
0d55d942,39,108,69,6,10,10,8,6,6,0,0
0d8a37c2,6,19,13,1,1,1,1,0,0,0,0
420c18a1,50,132,82,12,9,10,6,6,6,0,0
ce17b5eb,52,150,99,15,12,6,4,6,4,1,1
5c4bf6ba,46,142,97,9,9,13,5,6,5,0,1
a0606ae8,1,3,2,0,0,0,0,1,1,0,0
