id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
d637fc22,32,2492,27.7,29,22,3,2,1.03,30,46.0,-16.0,-0.09,33.5,41.3,-7.8,-0.33,0,0,0,0.0
d66b9872,24,935,10.4,10,1,14,13,0.46,4,15.0,-11.0,-0.62,11.3,11.5,-0.1,0.0,0,0,0,0.0
d70ce98e,35,3023,33.6,33,32,2,0,2.06,80,35.0,45.0,0.89,66.4,36.5,29.9,0.26,0,0,0,0.0
d733aa38,35,1894,21.0,19,9,16,0,1.11,22,33.0,-11.0,-0.52,22.2,24.6,-2.4,0.28,0,0,0,0.0
d83bbc54,35,2979,33.1,35,21,0,2,1.2,43,46.0,-3.0,-0.09,37.7,44.9,-7.2,0.28,0,0,0,0.0
d858d079,1,1,0.0,0,0,1,2,1.0,0,0.0,0.0,0.61,0.0,0.0,0.0,0.01,0,0,0,0.0
d87e2cae,13,689,7.7,8,4,5,4,1.62,12,9.0,3.0,-0.2,12.9,8.9,4.0,-0.06,0,0,0,0.0
d88d2aed,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
db001fa9,32,2601,28.9,31,24,1,1,1.13,26,37.0,-11.0,0.83,27.0,38.7,-11.7,0.59,0,0,0,0.0
db750822,10,298,3.3,3,0,7,25,2.45,10,3.0,7.0,1.11,4.6,3.9,0.7,-0.21,0,0,0,0.0
dc1c2fce,35,2278,25.3,27,8,8,0,1.23,33,23.0,10.0,0.87,32.7,23.4,9.2,0.67,0,0,0,0.0
dc56efc9,1,1,0.0,0,0,1,2,3.0,0,0.0,0.0,0.55,0.0,0.0,0.0,0.82,0,0,0,0.0
dc5ea86b,0,0,0.0,0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
dd672e1f,23,1779,19.8,19,18,4,13,1.13,16,27.0,-11.0,-0.01,16.5,30.2,-13.7,0.25,0,0,0,0.0
ddd5348b,13,549,6.1,4,4,9,16,1.62,5,12.0,-7.0,-2.03,8.5,9.2,-0.8,-0.83,0,0,0,0.0
de39485a,30,2179,24.2,25,12,5,1,2.33,43,13.0,30.0,0.37,32.0,20.6,11.3,0.15,0,0,0,0.0
de7d40d6,0,0,0.0,0,0,0,19,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
debc6b55,21,370,4.1,0,0,21,17,1.48,5,6.0,-1.0,-0.89,5.7,4.9,0.9,-0.4,0,0,0,0.0
dee86451,27,1223,13.6,12,4,15,4,1.56,21,23.0,-2.0,-0.23,17.2,23.2,-6.0,-0.78,0,0,0,0.0
def69cd0,32,2183,24.3,27,4,5,1,1.0,22,30.0,-8.0,0.47,26.0,30.4,-4.4,0.19,0,0,0,0.0
df46bb0f,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
df69b544,36,2604,28.9,32,12,4,2,2.03,66,31.0,35.0,-0.11,54.3,30.8,23.5,-0.2,0,0,0,0.0
df8b52a5,34,2991,33.2,34,32,0,0,1.71,49,39.0,10.0,2.4,46.5,37.9,8.6,1.59,0,0,0,0.0
e08647d6,16,533,5.9,6,0,10,6,2.53,9,7.0,2.0,-0.25,9.7,9.3,0.5000000000000001,-0.59,0,0,0,0.0
e1846dde,8,720,8.0,8,8,0,28,0.75,8,11.0,-3.0,-0.11,6.5,14.9,-8.4,-0.9,720,8,8,8.0
e208bcc8,7,101,1.1,0,0,7,11,0.57,0,1.0,-1.0,-0.62,0.9,1.3,-0.4,-0.04,0,0,0,0.0
e2716bd0,21,1399,15.5,17,3,4,1,2.14,30,6.0,24.0,1.68,30.1,10.4,19.7,1.19,0,0,0,0.0
e29d1111,23,1813,20.1,21,19,2,14,0.87,22,34.0,-12.0,0.02,21.9,26.0,-4.1,0.28,0,0,0,0.0
e4346678,30,2700,30.0,30,30,0,8,0.87,27,46.0,-19.0,-0.38,21.5,52.4,-30.9,-1.02,2700,30,30,30.0
e495b4d5,0,0,0.0,0,0,0,17,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
e49ce451,12,462,5.1,3,3,9,7,1.58,3,10.0,-7.0,-1.52,5.9,6.9,-0.9,-0.19,0,0,0,0.0
e4cbb095,0,0,0.0,0,0,0,35,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
e54bd0a2,33,2575,28.6,31,15,2,0,1.12,29,40.0,-11.0,0.68,32.3,33.4,-1.1,0.62,0,0,0,0.0
e66e73b1,0,0,0.0,0,0,0,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
e695674d,0,0,0.0,0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
e6bc67d7,31,2287,25.4,27,11,4,5,0.94,32,35.0,-3.0,-0.12,28.3,35.0,-6.7,-0.03,0,0,0,0.0
e6eadfb8,3,73,0.8,1,0,2,7,2.33,0,1.0,-1.0,-0.7,0.1,1.3,-1.3,-0.75,0,0,0,0.0
e778654a,32,2310,25.7,25,18,7,0,1.38,34,36.0,-2.0,1.22,29.1,33.5,-4.4,0.7,0,0,0,0.0
e7986081,5,100,1.1,0,0,5,12,2.0,4,1.0,3.0,1.64,2.6,1.1,1.6,1.03,0,0,0,0.0
e7ab4179,20,1326,14.7,15,10,5,4,1.1,12,20.0,-8.0,-0.24,13.0,18.3,-5.3,-0.33,0,0,0,0.0
e7d2a50b,0,0,0.0,0,0,0,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
e7f4603c,21,1117,12.4,13,3,8,14,0.71,11,18.0,-7.0,-0.1,13.7,13.7,0.0,0.37,0,0,0,0.0
e8000733,0,0,0.0,0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
e82d2807,17,503,5.6,4,0,13,11,1.64,4,10.0,-6.0,2.93,5.6,6.8,-1.3000000000000003,1.66,0,0,0,0.0
e897d8ba,37,3087,34.3,36,17,1,0,0.73,26,49.0,-23.0,-0.67,40.2,39.8,0.4,0.26,0,0,0,0.0
e8a0d2f7,1,15,0.2,0,0,1,11,0.0,1,0.0,1.0,6.63,0.9,0.1,0.8,5.15,0,0,0,0.0
e9ada8cf,9,248,2.8,1,0,8,20,0.9,3,3.0,0.0,0.6,3.4,2.3,1.1,0.63,0,0,0,0.0
e9fbcc21,3,41,0.5,0,0,3,2,0.67,0,1.0,-1.0,-1.72,0.3,1.7,-1.4,-2.91,0,0,0,0.0
ea6a7ab4,5,150,1.7,1,0,4,18,1.2,3,2.0,1.0,0.19,2.4,0.8,1.6,0.66,0,0,0,0.0
ea83bfa6,32,2880,32.0,32,32,0,3,1.31,42,55.0,-13.0,0.43,36.0,45.6,-9.5,0.62,2880,32,32,32.0
ea9b2ef9,34,2638,29.3,29,26,5,1,1.15,40,52.0,-12.0,0.28,30.9,41.8,-10.8,0.12,0,0,0,0.0
ead61f73,22,1652,18.4,18,16,4,11,1.82,24,18.0,6.0,0.63,24.2,18.1,6.0,0.52,0,0,0,0.0
eb3dd471,35,2090,23.2,25,3,10,3,0.91,27,39.0,-12.0,0.09,28.8,34.2,-5.4,-0.1,0,0,0,0.0
eb82b6f1,30,2396,26.6,28,19,2,0,1.0,26,31.0,-5.0,1.22,22.1,40.3,-18.1,0.45,0,0,0,0.0
ec1a731e,2,95,1.1,1,1,1,9,2.0,0,0.0,0.0,-1.06,0.5,1.8,-1.3,-1.93,0,0,0,0.0
ecc77652,0,0,0.0,0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
ecd8c01e,25,1404,15.6,17,6,8,7,1.16,16,16.0,0.0,0.49,16.4,22.4,-6.0,-0.07,0,0,0,0.0
ed3f5f4c,29,1966,21.8,21,15,8,8,0.97,20,35.0,-15.0,-0.32,15.5,36.5,-21.0,-0.34,0,0,0,0.0
ed5c5fa3,32,1399,15.5,13,3,19,6,1.53,24,28.0,-4.0,-0.35,18.5,27.3,-8.8,-0.93,0,0,0,0.0
ed6ea4d9,32,2026,22.5,21,7,11,0,1.16,31,40.0,-9.0,0.18,25.4,31.6,-6.2,0.29,0,0,0,0.0
