,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
306,6b5ea2f4,17,663,7,7,1,10,7,1,8,10,-2,8.4,5.4,3.0,0,0,0,0
307,6c4776b1,25,2250,25,25,25,0,0,1,20,37,-17,20.5,37.3,-16.8,0,0,0,0
308,6c5b85cf,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0
309,6c7762c3,13,991,11,11,7,2,2,1,16,11,5,15.4,15.3,0.1,0,0,0,0
310,6c811eb7,23,1575,17,20,7,3,0,0,13,23,-10,13.1,17.4,-4.3,0,0,0,0
311,6ce1f46f,19,1367,15,16,7,3,1,2,27,11,16,27.9,14.2,13.7,0,0,0,0
312,6db116ec,4,36,0,0,0,4,5,0,0,1,-1,0.5,0.7,-0.2,0,0,0,0
313,6e4df551,13,670,7,6,4,7,0,0,5,10,-5,10.3,13.5,-3.2,0,0,0,0
314,6eaed4eb,22,1848,20,22,19,0,1,1,24,22,2,24.0,26.8,-2.8,0,0,0,0
315,6f392eb8,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
316,6f4c734d,13,325,3,2,0,11,4,1,5,7,-2,3.7,7.1,-3.3,0,0,0,0
317,6f51e382,24,2160,24,24,24,0,0,2,46,8,38,48.2,19.6,28.7,0,0,0,0
318,6f5f82c0,14,818,9,9,3,5,4,1,9,10,-1,12.3,7.9,4.4,0,0,0,0
319,70107d4d,19,882,9,11,0,8,4,1,6,11,-5,8.6,11.7,-3.1,0,0,0,0
320,7016332f,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
321,70d74ece,15,1303,14,15,12,0,0,2,28,9,19,30.0,13.6,16.5,0,0,0,0
322,70f8e0bd,23,1418,15,18,1,5,0,1,15,14,1,11.9,18.3,-6.4,0,0,0,0
323,7106f0a0,1,6,0,0,0,1,21,3,0,0,0,0.0,0.1,-0.1,0,0,0,0
324,7111d552,23,2026,22,23,17,0,0,2,39,18,21,42.4,19.2,23.2,0,0,0,0
325,7155e3e1,5,431,4,5,3,0,0,0,6,12,-6,6.3,8.0,-1.8,0,0,0,0
326,7226539b,24,2147,23,24,22,0,0,1,29,25,4,28.2,29.1,-0.9,0,0,0,0
327,72a84002,18,1272,14,16,9,2,5,1,13,18,-5,11.4,17.8,-6.4,0,0,0,0
328,73683fa9,1,90,1,1,1,0,19,0,1,3,-2,0.8,1.2,-0.3,0,0,0,0
329,7378ea1b,0,0,0,0,0,0,11,0,0,0,0,0.0,0.0,0.0,0,0,0,0
330,73df4173,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
331,7460ca0d,24,2115,23,24,20,0,0,1,28,23,5,32.8,29.4,3.3,0,0,0,0
332,75197d23,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
333,755da865,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
334,75645f0e,22,1595,17,20,5,2,0,1,27,17,10,27.2,20.1,7.1,0,0,0,0
335,759d8dd7,9,389,4,4,2,5,16,0,0,10,-10,4.0,8.5,-4.5,0,0,0,0
336,76c2a023,20,1245,13,13,11,7,4,1,9,30,-21,14.6,28.7,-14.1,0,0,0,0
337,79f2a5f5,1,1,0,0,0,1,17,3,0,0,0,0.0,0.2,-0.2,0,0,0,0
338,7b5ab7f2,5,232,2,2,1,3,0,0,2,6,-4,3.6,4.0,-0.4,0,0,0,0
339,7b9c2d84,24,1184,13,12,6,12,0,2,28,7,21,31.4,9.8,21.7,0,0,0,0
340,7c363088,19,1148,12,13,2,6,1,1,15,12,3,16.8,12.0,4.8,0,0,0,0
341,7c388b20,24,1596,17,17,6,7,0,1,14,23,-9,17.8,26.0,-8.2,0,0,0,0
342,7c4243d4,19,1204,13,15,2,4,4,1,11,13,-2,12.9,18.5,-5.6,0,0,0,0
343,7d08063d,8,334,3,3,0,5,4,1,7,4,3,4.6,3.3,1.3,0,0,0,0
344,7dcf86f6,24,2021,22,22,21,2,0,1,25,34,-9,26.6,25.5,1.1,0,0,0,0
345,7e28d6f7,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
346,7e84906e,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0,0,0,0
347,7e98cff1,22,1603,17,18,9,4,0,1,22,25,-3,22.9,19.3,3.5,0,0,0,0
348,7f271d74,5,88,1,0,0,5,13,1,3,2,1,1.4,2.0,-0.7,0,0,0,0
349,7f6080fe,0,0,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,0,0,0,0
350,7f638fc5,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
351,7f9c5d2d,7,366,4,5,2,2,1,1,7,8,-1,8.1,8.0,0.1,0,0,0,0
352,7fc46615,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
