id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
d436eb94,Simon Mignolet,be BEL,GK,be Club Brugge,35-023,1988,8,8,720,8.0,11,1.37,45,34,80.0,3,2,3,5,62.5,3,2,0,1,0.0,Matches
8778c910,Manuel Neuer,de GER,GK,de Bayern Munich,37-002,1986,3,3,270,3.0,0,0.00,9,9,100.0,3,0,0,3,100.0,0,0,0,0,,Matches
ee8508c0,Jan Oblak,si SVN,GK,es Atlético Madrid,30-081,1993,5,5,450,5.0,7,1.40,22,15,72.7,1,2,2,1,20.0,1,1,0,0,0.0,Matches
e9c0c1b2,André Onana,cm CMR,GK,it Inter,26-361,1996,8,8,720,8.0,7,0.87,43,37,83.7,4,2,2,5,62.5,0,0,0,0,,Matches
c1242d4e,Stefan Ortega,de GER,GK,eng Manchester City,30-143,1992,2,2,180,2.0,1,0.50,6,5,83.3,1,1,0,1,50.0,0,0,0,0,,Matches
3392603d,Remko Pasveer,nl NED,GK,nl Ajax,39-141,1983,6,6,540,6.0,16,2.67,37,21,62.2,2,0,4,1,16.7,2,2,0,0,0.0,Matches
cc1c5035,Iñaki Peña,es ESP,GK,es Barcelona,24-027,1999,1,1,90,1.0,2,2.00,8,6,87.5,1,0,0,0,0.0,1,1,0,0,0.0,Matches
4c62d0c8,Mattia Perin,it ITA,GK,it Juventus,30-139,1992,2,2,180,2.0,4,2.00,13,9,76.9,0,0,2,0,0.0,1,1,0,0,0.0,Matches
4535e4bb,Mathew Ryan,au AUS,GK,dk FC Copenhagen,30-355,1992,2,2,180,2.0,3,1.50,6,3,50.0,0,1,1,1,50.0,0,0,0,0,,Matches
420c18a1,Yann Sommer,ch SUI,GK,de Bayern Munich,34-102,1988,2,2,180,2.0,0,0.00,6,6,100.0,2,0,0,2,100.0,0,0,0,0,,Matches
eca17cf2,Jindřich Staněk,cz CZE,GK,cz Viktoria Plzeň,26-336,1996,5,5,450,5.0,19,3.80,42,23,54.8,0,0,5,0,0.0,0,0,0,0,,Matches
01b8a2b2,Wojciech Szczęsny,pl POL,GK,it Juventus,32-345,1990,4,4,360,4.0,9,2.25,19,10,57.9,1,0,3,0,0.0,1,1,0,0,0.0,Matches
b056e3da,Ciprian Tătărușanu,ro ROU,GK,it Milan,37-048,1986,5,5,450,5.0,5,1.00,25,20,84.0,3,0,2,3,60.0,1,1,0,0,0.0,Matches
6f51e382,Marc-André ter Stegen,de GER,GK,es Barcelona,30-333,1992,5,5,450,5.0,10,2.00,22,12,54.5,1,1,3,0,0.0,0,0,0,0,,Matches
ce17b5eb,Kevin Trapp,de GER,GK,de Eint Frankfurt,32-264,1990,8,8,720,8.0,13,1.62,41,27,73.2,3,1,4,2,25.0,4,2,1,1,33.3,Matches
41f0b196,Anatolii Trubin,ua UKR,GK,ua Shakhtar,21-240,2001,6,6,540,6.0,10,1.67,38,30,73.7,1,3,2,0,0.0,0,0,0,0,,Matches
d3dc62d1,Marián Tvrdoň,sk SVK,GK,cz Viktoria Plzeň,28-223,1994,1,1,90,1.0,5,5.00,13,8,61.5,0,0,1,0,0.0,0,0,0,0,,Matches
7d3e7da6,Sven Ulreich,de GER,GK,de Bayern Munich,34-238,1988,3,3,270,3.0,2,0.67,10,8,80.0,3,0,0,2,66.7,0,0,0,0,,Matches
03df04ff,Odisseas Vlachodimos,gr GRE,GK,pt Benfica,28-337,1994,8,8,720,8.0,8,1.00,24,16,75.0,6,2,0,2,25.0,2,2,0,0,0.0,Matches
