id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
8827bf46,Gerson,br BRA,MF,Marseille,25-326,1997,4.6,244,4,31,113,103,11,244,7,2,28.6,3,42.9,199,1052,408,9,7,3,14,15,199,29,Matches
5b3cfa12,Ismaël Gharbi,es ESP,"MF,FW",Paris S-G,19-001,2004,0.6,44,1,3,25,17,2,44,5,5,100.0,0,0.0,40,266,134,2,0,0,1,1,37,8,Matches
c5adc293,Faouzi Ghoulam,dz ALG,DF,Angers,32-069,1991,4.6,318,24,102,138,79,1,318,5,3,60.0,0,0.0,189,891,429,4,5,0,1,2,187,17,Matches
41eebdf5,Samuel Gigot,fr FRA,DF,Marseille,29-181,1993,17.4,1162,136,487,587,96,27,1162,8,4,50.0,3,37.5,807,5083,2980,30,28,0,11,3,740,18,Matches
3befc2b6,Andrei Girotto,br BRA,"DF,MF",Nantes,31-053,1992,28.5,1866,263,850,929,94,19,1866,10,3,30.0,6,60.0,1218,6090,2942,12,12,0,9,3,1111,6,Matches
3708e9fa,Aleksandr Golovin,ru RUS,"MF,FW",Monaco,26-316,1996,22.7,1151,17,159,471,550,72,1151,45,24,53.3,13,28.9,807,5518,2718,76,49,23,41,27,727,172,Matches
1961b2aa,André Gomes,pt POR,MF,Lille,29-255,1993,14.5,1168,35,218,751,215,13,1168,32,21,65.6,9,28.1,946,4505,1669,18,30,3,22,23,871,31,Matches
645a3363,Angel Gomes,eng ENG,MF,Lille,22-223,2000,25.5,1614,24,265,947,412,38,1613,43,24,55.8,9,20.9,1351,6508,2756,28,40,7,35,21,1306,93,Matches
b8c1de25,Maxime Gonalons,fr FRA,MF,Clermont Foot,34-032,1989,11.2,722,21,181,483,68,2,722,19,11,57.9,7,36.8,546,2769,1258,9,11,0,14,8,498,1,Matches
a9d4c241,Oumar Gonzalez,cm CMR,DF,Ajaccio,25-045,1998,21.6,1076,105,515,521,49,23,1076,13,4,30.8,5,38.5,702,4164,2024,10,5,1,15,10,593,4,Matches
aad56ca3,Amine Gouiri,fr FRA,"FW,MF",Nice,23-054,2000,2.5,99,3,12,35,52,7,99,3,0,0.0,2,66.7,75,470,179,8,3,2,7,5,79,18,Matches
aad56ca3,Amine Gouiri,fr FRA,FW,Rennes,23-054,2000,20.2,753,8,40,314,410,98,753,57,22,38.6,33,57.9,553,3204,1181,45,26,18,54,27,555,138,Matches
06c48679,Jonathan Gradit,fr FRA,DF,Lens,30-138,1992,23.4,1766,105,545,1111,122,7,1766,20,10,50.0,9,45.0,1389,8336,4737,29,42,2,17,7,1310,7,Matches
49136c42,Andrew Gravillon,gp GLP,DF,Reims,25-062,1998,11.5,566,58,236,260,80,6,566,12,7,58.3,3,25.0,370,2213,1183,18,12,1,11,4,307,14,Matches
4a987ffa,Adrian Grbić,at AUT,"MF,FW",Lorient,26-250,1996,0.3,11,0,1,3,7,0,11,0,0,,0,,6,31,17,1,1,0,0,0,6,2,Matches
d5d22a58,Gabriel Gudmundsson,se SWE,"DF,FW",Lille,23-347,1999,6.8,415,20,111,177,133,20,415,26,15,57.7,6,23.1,263,1916,992,35,21,8,12,6,240,42,Matches
f6857b4f,Axel Gueguin,fr FRA,"FW,MF",Montpellier,18-018,2005,0.2,11,0,1,1,9,0,11,0,0,,0,,6,20,10,0,1,0,1,0,7,5,Matches
