id,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0000acda,1345,1308,29,9,8,6,66,15,2,0,1,0,988,8,40
00528660,767,550,211,24,0,1,103,163,24,6,10,0,506,6,30
00823e9a,177,163,11,2,0,4,11,5,4,1,2,0,136,3,8
00b0bb87,2001,1657,337,28,2,12,132,306,3,0,3,0,1513,7,42
019f4d0d,537,497,39,34,0,5,2,5,0,0,0,0,417,1,9
01b8a2b2,460,331,126,30,0,3,0,0,0,0,0,0,364,3,0
01efac19,1171,1148,18,4,2,8,34,6,7,5,1,0,905,5,35
023937a9,1850,1698,139,120,2,62,30,5,14,13,1,0,1472,13,18
02b2937c,245,224,21,4,0,0,8,16,0,0,0,0,170,0,4
02caf6e0,1516,1200,312,10,3,7,169,298,4,0,0,0,1178,4,72
0375723e,1345,1079,264,60,7,35,233,35,122,108,8,0,916,2,36
03760df0,862,541,317,91,0,2,0,0,0,0,0,0,584,4,0
03f946ed,525,480,43,3,5,17,20,8,0,0,0,0,380,2,26
048877f5,1196,657,536,142,0,1,0,0,0,0,0,0,777,3,0
0489bb30,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
05e19d6a,1802,1772,23,15,3,7,65,5,3,0,0,1,1479,7,37
06050480,883,671,211,17,0,3,88,173,21,6,12,0,585,1,34
060606ec,289,282,5,0,0,2,26,5,0,0,0,0,205,2,15
07767f42,1691,1502,180,142,11,32,36,1,19,10,8,0,1377,9,13
07abb358,1593,1347,240,56,2,12,193,116,60,18,35,0,1168,6,63
07ea0ef2,151,134,17,8,0,0,15,0,9,6,2,0,112,0,0
081b6080,411,402,9,7,0,1,1,1,0,0,0,0,336,0,9
0821331c,637,611,24,13,0,10,5,11,0,0,0,0,524,2,5
085e71a7,51,31,20,10,0,0,0,0,0,0,0,0,28,0,0
0861b8d6,207,185,21,0,2,0,1,1,0,0,0,0,160,1,4
089550f5,1295,1147,144,18,0,14,31,126,0,0,0,0,1132,4,22
08aa9cd1,4,3,1,0,0,0,0,1,0,0,0,0,4,0,0
08f5afaa,1238,868,367,100,0,6,0,0,0,0,0,0,984,3,1
09538fdb,440,409,29,0,0,2,32,0,0,0,0,0,264,2,18
09899de8,279,267,11,8,0,4,0,3,0,0,0,0,226,1,2
0a1efd3c,363,351,11,0,2,3,7,1,0,0,0,0,232,1,15
0ab1f153,837,806,27,9,0,35,60,18,0,0,0,0,708,4,18
0b5a292a,2176,1881,289,33,0,2,112,205,51,37,5,0,1846,6,42
0c2ac3cb,759,729,26,9,0,3,17,5,1,0,1,0,665,4,9
0c971997,503,472,30,18,0,10,2,12,0,0,0,0,411,1,2
0cd0e21b,783,659,122,2,0,3,73,120,0,0,0,0,603,2,44
0d2bdb4b,75,73,2,1,1,0,0,1,0,0,0,0,59,0,2
0d422df7,55,28,26,2,0,0,0,0,0,0,0,0,40,1,0
0d72fbca,12,8,4,2,0,0,2,0,1,0,1,0,9,0,0
0d82903c,1699,1494,199,18,2,27,90,181,0,0,0,0,1417,6,36
0e21fc3c,2058,1989,59,36,7,17,23,13,10,1,1,0,1856,10,26
0f22b650,164,156,8,2,0,2,4,2,2,1,0,0,126,0,4
10dc46f0,1310,867,439,120,0,3,0,0,0,0,0,0,926,4,2
10e7f486,451,374,70,8,2,2,26,62,0,0,0,0,319,7,15
117beb8f,995,927,63,43,0,15,0,20,0,0,0,0,797,5,9
1253a12e,1606,1485,111,48,1,20,42,63,0,0,0,0,1325,10,15
13d820de,862,809,49,37,0,8,4,1,0,0,0,0,693,4,9
144607cc,1004,959,38,14,1,15,49,13,10,2,7,0,743,7,30
149c5f5d,475,360,112,4,0,1,44,108,0,0,0,0,329,3,23
14b8fcdf,1512,1485,25,24,0,11,2,1,0,0,0,0,1371,2,5
1522dab2,1534,1465,64,60,0,15,18,4,0,0,0,0,1319,5,9
157d29b6,564,521,39,3,3,1,35,21,12,8,0,0,442,4,20
15d0c248,692,659,31,14,1,3,2,17,0,0,0,0,608,2,3
15e9c7e6,209,191,16,2,4,1,15,4,9,6,2,0,159,2,7
162efffd,1128,970,148,45,12,14,165,17,77,34,28,0,778,10,50
16657b95,1622,1589,26,19,3,13,27,6,0,0,0,0,1233,7,41
16b9d5cf,59,57,2,2,0,2,0,0,0,0,0,0,57,0,1
16bc48f8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174944a3,47,43,4,2,0,1,0,2,0,0,0,0,41,0,1
17cddb4d,635,615,19,15,0,6,2,2,0,0,0,0,518,1,7
18736214,166,115,50,8,0,0,0,0,0,0,0,0,120,1,0
1880614f,450,414,32,5,1,5,59,4,23,15,0,0,300,4,21
197640fd,968,821,146,5,0,5,33,141,0,0,0,0,780,1,23
1a584cb2,162,137,25,0,0,2,9,25,0,0,0,0,117,0,8
1ab0b878,346,317,28,8,0,5,47,3,14,10,1,2,250,1,15
1ad1f50d,388,370,16,2,0,0,14,2,3,0,0,0,289,2,22
1b62a7df,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
1b729ba2,815,636,174,5,1,1,55,169,0,0,0,0,564,5,26
1c17dfe0,38,36,2,2,0,0,1,0,0,0,0,0,27,0,1
1c50f354,484,452,31,17,0,6,39,0,12,9,2,0,357,1,20
1c529186,776,653,119,7,0,2,31,112,0,0,0,0,625,4,21
1c8c5aed,1025,829,194,22,0,6,33,172,0,0,0,0,809,2,25
1ceeae3e,89,82,7,1,0,3,14,2,4,3,1,0,60,0,5
1e12c53b,1378,1042,324,11,0,7,117,312,1,1,0,0,946,12,53
1ea5f91c,1162,1065,95,18,5,8,116,20,48,19,22,0,827,2,28
1f9328da,1311,1286,22,7,12,28,81,10,3,0,0,1,1048,3,43
1fca9171,461,446,13,0,0,5,39,13,0,0,0,0,340,2,25
2054d037,524,499,24,5,1,9,38,8,9,2,3,0,361,1,34
2146785a,1165,943,221,26,0,6,81,195,0,0,0,0,910,1,35
2258c078,1796,1511,278,166,3,42,170,2,107,38,60,3,1438,7,23
22ca11f1,5,4,1,0,0,0,0,0,0,0,0,0,4,0,1
23214a49,266,260,6,4,0,3,0,2,0,0,0,0,238,0,2
2334478a,289,269,17,8,1,9,4,8,1,0,0,0,231,3,8
23f9e9d3,142,139,2,0,0,2,6,0,0,0,0,0,80,1,5
24228180,384,360,21,0,2,4,9,3,0,0,0,0,261,3,17
251d982a,181,153,27,2,0,0,11,25,0,0,0,0,142,1,6
263b855a,195,188,7,5,0,1,0,1,0,0,0,0,175,0,0
2648e18f,1280,1111,161,63,8,5,85,26,57,25,20,0,1010,8,32
269b4638,200,190,10,1,1,1,4,1,0,0,0,0,142,0,6
27f0ddef,1242,1177,60,35,0,7,0,25,0,0,0,0,1007,5,25
2a1beb34,1699,1651,41,28,0,22,4,13,0,0,0,0,1431,7,23
2c851997,1096,992,100,27,9,7,122,5,67,50,14,0,769,4,31
2d970560,871,743,123,11,1,3,38,112,0,0,0,0,684,5,20
2ead2809,275,250,23,0,2,0,3,1,0,0,0,0,171,2,8
2ec0f902,209,202,3,1,0,0,12,0,0,0,0,0,118,4,6
2edeb221,849,819,25,16,2,14,16,1,8,0,6,2,647,5,16
2f3452eb,2705,2299,401,52,0,14,52,349,0,0,0,0,2341,5,52
2f557579,2573,2446,122,23,23,6,74,54,8,2,4,0,2137,5,52
2fb3ad46,164,140,22,1,0,4,7,21,0,0,0,0,129,2,2
30223b33,1264,782,478,157,0,2,0,3,0,0,0,0,886,4,1
30f5ffa9,2387,2293,88,87,3,24,0,1,0,0,0,0,2172,6,6
314f2124,1716,1624,90,87,1,9,4,3,0,0,0,0,1498,2,17
31d7f557,471,362,109,13,0,1,16,96,0,0,0,0,394,0,10
322ba2df,727,698,27,22,0,3,3,5,0,0,0,0,635,2,9
326d09ef,1444,909,528,129,0,7,0,0,0,0,0,0,868,7,0
32a33c68,278,235,41,7,0,2,19,30,4,0,4,0,218,2,3
32b9b5fa,1093,690,401,101,0,4,0,0,0,0,0,0,716,2,0
32d1c24f,531,510,18,15,0,12,0,3,0,0,0,0,429,3,6
32ebfe1e,1148,1009,130,49,0,5,88,8,57,30,19,0,813,9,32
331c0a43,1267,1246,17,8,11,1,20,9,0,0,0,0,930,4,30
339c6ed4,677,607,70,18,1,2,14,52,0,0,0,0,581,0,5
339fe0e8,1197,812,379,72,0,3,0,0,0,0,0,0,900,6,3
33b8d077,1792,1668,112,21,9,18,99,17,74,41,14,2,1510,12,20
33ecf462,307,303,3,1,3,4,2,1,1,0,0,0,262,1,5
343c0d52,561,527,29,0,3,2,19,2,0,0,0,0,383,5,24
343f753a,19,13,6,1,0,0,0,0,0,0,0,0,17,0,0
349601c3,23,11,11,3,0,0,0,0,0,0,0,0,16,1,0
3535098b,1106,863,238,29,1,3,54,209,0,0,0,0,860,5,21
356c9002,1639,1459,168,15,6,31,288,54,99,12,60,3,1174,12,65
3626daea,980,857,122,14,1,10,65,108,0,0,0,0,741,1,38
3799e138,244,233,8,7,0,1,1,1,0,0,0,0,200,3,5
384dd218,639,622,12,3,1,8,5,7,0,0,0,0,475,5,26
3858e611,600,558,38,38,0,11,1,0,0,0,0,0,465,4,2
38ac43d3,978,950,24,12,1,8,12,11,0,0,0,0,842,4,22
39bec070,708,649,54,31,2,17,15,6,8,5,2,0,580,5,11
3b15ef2d,1390,1366,23,20,0,9,0,3,0,0,0,0,1258,1,8
3b333ac3,1394,1193,198,14,0,8,53,184,0,0,0,0,1098,3,39
3b57f7f8,395,329,66,6,0,5,29,60,0,0,0,0,298,0,15
3b8674e6,530,519,10,8,1,3,1,1,1,0,0,0,466,1,8
3b9858f5,64,56,7,4,0,2,0,3,0,0,0,0,50,1,2
3bb7af3b,444,423,19,5,8,6,24,1,13,3,7,2,347,2,15
3bb7f478,796,730,57,4,9,16,19,0,1,0,0,0,546,9,35
3c05c659,193,183,9,2,1,1,2,0,0,0,0,0,156,1,5
3d50bcdb,207,184,20,0,0,2,13,3,0,0,0,0,149,3,12
3d5ed93d,19,16,3,0,0,0,0,3,0,0,0,0,17,0,0
3d936ba9,254,235,17,17,0,2,1,0,0,0,0,0,212,2,1
3dd45b70,1298,1083,207,33,2,28,104,172,2,1,0,0,999,8,32
3ead85f9,1491,1431,57,32,0,3,5,25,0,0,0,0,1356,3,11
