id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
cc41f558,Matthieu Udol,fr FRA,DF,Metz,24,1996,25,19,1724,19.2,0,3,3,0,0,0,1,1,0.6,0.6,2.7,3.3,50,58,77,0.00,0.16,0.16,0.00,0.16,0.03,0.14,0.17,0.03,0.17,Matches
539b4f25,Naomichi Ueda,jp JPN,DF,Nîmes,25,1994,9,8,711,7.9,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,6,21,0,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
1df4a109,Chimuanya Ugochukwu,fr FRA,MF,Rennes,16,2004,3,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches
a2d873dd,Hwang Ui-jo,kr KOR,"FW,MF",Bordeaux,27,1992,36,32,2503,27.8,12,3,15,9,3,3,1,0,12.6,10.3,2.7,13.0,42,23,174,0.43,0.11,0.54,0.32,0.43,0.45,0.10,0.55,0.37,0.47,Matches
95981861,Antoine Valerio,fr FRA,MF,Nîmes,20,1999,1,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,Matches
1467af0d,Marco Verratti,it ITA,MF,Paris S-G,27,1992,21,16,1492,16.6,0,2,2,0,0,0,7,0,1.3,1.3,2.4,3.7,38,188,67,0.00,0.12,0.12,0.00,0.12,0.08,0.15,0.23,0.08,0.23,Matches
b2791a55,Clément Vidal,fr FRA,DF,Montpellier,20,2000,2,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
64f69877,Kevin Volland,de GER,"FW,MF",Monaco,28,1992,35,34,2769,30.8,16,7,23,16,0,0,4,0,11.6,11.6,5.2,16.8,43,84,237,0.52,0.23,0.75,0.52,0.75,0.38,0.17,0.55,0.38,0.55,Matches
7cbf91b2,Franklin Wadja,cm CMR,"MF,FW",Lorient,25,1995,4,0,33,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
8eec784d,Timothy Weah,us USA,"FW,MF",Lille,20,2000,28,7,878,9.8,3,0,3,3,0,0,1,0,3.0,3.0,1.2,4.2,26,19,80,0.31,0.00,0.31,0.31,0.31,0.31,0.12,0.43,0.31,0.43,Matches
2500cef9,Yoane Wissa,cd COD,"MF,FW",Lorient,23,1996,38,30,2674,29.7,10,4,14,6,4,5,2,0,12.1,8.8,3.5,12.3,81,63,184,0.34,0.13,0.47,0.20,0.34,0.41,0.12,0.53,0.30,0.41,Matches
f3600c02,Xeka,pt POR,MF,Lille,25,1994,33,11,1200,13.3,1,2,3,1,0,0,6,0,0.9,0.9,2.3,3.2,20,83,24,0.07,0.15,0.23,0.07,0.23,0.07,0.17,0.24,0.07,0.24,Matches
f5c8b425,Yusuf Yazıcı,tr TUR,"FW,MF",Lille,23,1997,32,10,1086,12.1,7,4,11,7,0,0,1,0,4.2,4.2,4.0,8.2,25,52,85,0.58,0.33,0.91,0.58,0.91,0.35,0.33,0.68,0.35,0.68,Matches
165a2e40,Burak Yılmaz,tr TUR,FW,Lille,35,1985,28,23,2051,22.8,16,5,21,12,4,4,6,0,10.0,6.8,4.2,11.0,37,27,147,0.70,0.22,0.92,0.53,0.75,0.44,0.18,0.62,0.30,0.48,Matches
2736b85e,Wilitty Younoussa,cm CMR,MF,Dijon,18,2001,3,1,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,2,1,6,0.00,0.00,0.00,0.00,0.00,0.07,0.48,0.55,0.07,0.55,Matches
e2f9bb5f,Zaydou Youssouf,fr FRA,MF,Saint-Étienne,21,1999,29,14,1229,13.7,1,1,2,1,0,0,2,0,1.4,1.4,0.6,2.0,14,48,28,0.07,0.07,0.15,0.07,0.15,0.10,0.05,0.14,0.10,0.14,Matches
3225654e,Arthur Zagre,fr FRA,"DF,MF",Dijon,18,2001,3,1,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
095e4199,Arber Zeneli,xk KVX,"MF,FW",Reims,25,1995,28,14,1289,14.3,3,3,6,3,0,0,1,0,1.5,1.5,1.8,3.2,47,33,104,0.21,0.21,0.42,0.21,0.42,0.10,0.12,0.23,0.10,0.23,Matches
53f6306f,Mehdi Zerkane,dz ALG,"MF,FW",Bordeaux,21,1999,27,15,1187,13.2,1,1,2,1,0,0,3,1,1.6,1.6,1.3,3.0,30,56,48,0.08,0.08,0.15,0.08,0.15,0.12,0.10,0.22,0.12,0.22,Matches
775185ae,Kévin Zohi,ml MLI,"FW,MF",Strasbourg,23,1996,23,2,436,4.8,2,0,2,2,0,0,0,0,0.9,0.9,0.6,1.5,18,20,45,0.41,0.00,0.41,0.41,0.41,0.18,0.13,0.31,0.18,0.31,Matches
