,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0,005ca692,6,366,4,4,3,2,0,1,4,7,-3,3.2,6.0,-2.8,90,1,1,1
1,00672021,5,161,1,1,0,4,0,1,0,6,-6,0.3,4.6,-4.3,630,7,7,7
2,0076ab7f,7,497,5,5,5,2,1,1,9,8,1,7.3,7.8,-0.5,180,2,2,2
3,01204d46,1,90,1,1,1,0,3,1,1,1,0,0.7,2.4,-1.7,90,1,1,1
4,012c975a,6,333,3,3,3,3,4,2,8,3,5,6.0,5.6,0.4,450,5,5,5
5,016ff750,5,247,2,2,1,3,2,1,6,4,2,4.7,4.1,0.7,90,1,1,1
6,0176f037,6,369,4,4,1,2,0,0,3,10,-7,3.5,6.9,-3.4,90,1,1,1
7,01b8a2b2,7,660,7,7,7,0,1,2,15,8,7,12.9,8.8,4.1,360,4,4,4
8,01c3aff5,7,403,4,4,2,3,0,2,11,6,5,9.1,6.0,3.1,360,4,4,4
9,01da7812,4,244,2,3,1,1,0,1,2,7,-5,2.3,5.4,-3.2,90,1,1,1
10,01eb744d,8,482,5,5,2,3,0,1,6,5,1,7.8,4.0,3.8,1080,12,12,12
11,028e70b9,1,5,0,0,0,1,3,1,0,0,0,0.0,0.4,-0.4,540,6,6,6
12,02c15616,8,654,7,8,4,0,0,1,7,11,-4,8.7,10.1,-1.4,1080,12,12,12
13,02caf6e0,5,324,3,4,2,1,0,1,6,8,-2,7.1,4.8,2.2,450,5,5,5
14,0331786b,3,207,2,2,2,1,3,0,2,4,-2,3.8,3.5,0.3,270,3,3,3
15,03622183,1,1,0,0,0,1,5,0,0,1,-1,0.0,0.6,-0.6,360,4,4,4
16,038aa94a,1,29,0,1,0,0,0,0,0,2,-2,0.4,0.6,-0.3,180,2,2,2
17,03e7a498,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,720,8,8,8
18,042e8a49,7,544,6,7,2,0,2,2,17,7,10,15.9,8.9,7.0,540,6,6,6
19,046a255f,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,540,6,6,6
20,048a1cbc,8,666,7,8,5,0,0,1,15,8,7,10.3,9.0,1.3,360,4,4,4
21,04965583,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,90,1,1,1
22,04e17fd5,8,388,4,4,2,4,0,1,9,9,0,6.1,7.7,-1.6,540,6,6,6
23,05439de2,9,810,9,9,9,0,0,2,25,10,15,20.1,13.6,6.5,90,1,1,1
24,056269d7,5,243,2,3,2,2,1,1,7,2,5,8.1,2.5,5.6,180,2,2,2
25,05a84d52,9,742,8,9,2,0,1,1,11,6,5,11.2,9.5,1.7,540,6,6,6
26,05d548d8,9,791,8,9,8,0,0,1,15,13,2,12.5,12.2,0.3,540,6,6,6
27,060faf9d,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,840,9,9,9
28,0630eb63,2,92,1,1,0,1,0,0,0,3,-3,0.1,1.8,-1.7,540,6,6,6
29,0670ee51,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,1080,12,12,12
30,06ad4793,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,450,5,5,5
31,06f33dc8,4,244,2,3,1,1,0,0,2,10,-8,2.0,5.5,-3.5,1080,12,12,12
32,07af2284,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,90,1,1,1
33,08511d65,5,423,4,5,4,0,0,2,9,6,3,9.0,7.9,1.1,270,3,3,3
34,0880e10b,1,90,1,1,1,0,4,0,1,2,-1,2.7,3.5,-0.8,720,8,8,8
35,08aa9cd1,1,6,0,0,0,1,2,1,0,0,0,0.0,0.0,0.0,180,2,2,2
