,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
383,83534f30,5,338,3,5,3,0,0,0,2,9,-7,3.4,7.2,-3.9,0,0,0,0
384,8417953b,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
385,8494acc4,3,262,2,3,2,0,0,0,1,4,-3,4.5,3.1,1.5,0,0,0,0
386,849c826a,6,377,4,4,3,2,0,0,4,9,-5,4.3,6.5,-2.2,0,0,0,0
387,84ad89fa,3,270,3,3,5,0,0,2,8,8,0,3.3,4.7,-1.4,0,0,0,0
388,852351df,6,462,5,5,4,1,4,0,6,9,-3,6.2,8.4,-2.1,0,0,0,0
389,854ee61a,5,166,1,2,0,3,0,0,3,3,0,3.1,4.2,-1.1,0,0,0,0
390,85613cf0,1,90,1,1,1,0,0,1,1,2,-1,1.9,1.4,0.4,0,0,0,0
391,85686f86,5,34,0,0,0,5,2,1,0,3,-3,0.1,2.1,-2.0,0,0,0,0
392,85b0c4c6,3,32,0,0,0,3,0,0,0,1,-1,0.2,1.0,-0.7,0,0,0,0
393,862fa9fb,4,104,1,1,1,3,3,3,3,2,1,2.7,2.1,0.6,0,0,0,0
394,8637e09a,6,495,5,6,3,0,0,1,12,6,6,7.6,6.6,1.0,0,0,0,0
395,864db10a,8,720,8,8,8,0,0,1,13,10,3,10.4,10.7,-0.3,0,0,0,0
396,867239d3,5,278,3,3,1,2,0,1,3,3,0,6.9,4.2,2.6,0,0,0,0
397,86c75897,8,664,7,7,5,1,0,1,11,10,1,9.6,12.1,-2.5,0,0,0,0
398,86dd77d1,7,630,7,7,7,0,3,2,14,6,8,10.9,6.7,4.2,0,0,0,0
399,86e7deaf,6,522,5,6,5,0,1,2,22,6,16,12.2,5.5,6.7,0,0,0,0
400,874d7a32,4,360,4,4,4,0,0,0,0,10,-10,2.7,7.4,-4.7,0,0,0,0
401,87575fd9,3,221,2,2,1,1,0,1,3,1,2,4.9,2.2,2.8,0,0,0,0
402,8778c910,1,90,1,1,1,0,0,3,3,0,3,4.2,0.8,3.4,0,0,0,0
403,8794e251,8,677,7,8,6,0,0,1,24,9,15,16.4,9.2,7.2,0,0,0,0
404,87d8b5a3,5,287,3,3,2,2,3,1,4,7,-3,3.6,5.6,-1.9,0,0,0,0
405,881e5db7,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
406,881ef58c,3,68,0,0,0,3,3,2,5,1,4,1.7,1.3,0.4,0,0,0,0
407,8827bf46,6,220,2,2,0,4,4,1,3,3,0,2.5,3.1,-0.6,0,0,0,0
408,89565ac5,4,271,3,3,2,1,0,0,4,6,-2,4.2,4.7,-0.5,0,0,0,0
409,89ac64a6,6,540,6,6,6,0,0,2,11,5,6,8.8,8.5,0.4,0,0,0,0
410,89b2c8a9,6,480,5,5,5,1,0,1,11,9,2,9.7,7.5,2.2,0,0,0,0
411,89d10e53,3,170,1,2,1,1,3,2,4,1,3,3.2,1.8,1.3,0,0,0,0
412,89f951b5,10,758,8,8,7,2,0,2,14,6,8,10.8,8.5,2.2,0,0,0,0
413,8a08491a,10,830,9,9,6,1,0,1,14,11,3,16.1,12.3,3.8,0,0,0,0
414,8a7a5ad7,7,630,7,7,7,0,1,1,9,10,-1,8.5,11.9,-3.4,0,0,0,0
415,8aadeaef,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
416,8b788c01,8,343,3,4,0,4,0,2,8,1,7,11.7,4.1,7.7,0,0,0,0
417,8b8a56ce,6,540,6,6,6,0,0,1,9,12,-3,7.7,9.3,-1.6,0,0,0,0
418,8b8e759d,1,5,0,0,0,1,0,3,1,0,1,0.4,0.0,0.4,0,0,0,0
419,8b9ebd03,8,429,4,4,4,4,0,1,13,5,8,9.0,3.7,5.4,0,0,0,0
420,8ce30c57,6,530,5,6,5,0,0,2,11,5,6,8.7,8.5,0.2,0,0,0,0
421,8d78e732,11,955,10,11,9,0,0,2,23,11,12,25.7,12.5,13.2,0,0,0,0
422,8e92be30,1,8,0,0,0,1,3,1,0,0,0,1.3,0.1,1.3,0,0,0,0
423,8f62b6ee,7,630,7,7,7,0,0,2,15,8,7,10.8,12.0,-1.2,0,0,0,0
424,8f898ba8,5,134,1,1,0,4,0,0,1,6,-5,2.4,3.4,-1.0,0,0,0,0
425,8f8c6934,2,180,2,2,2,0,8,0,1,2,-1,1.6,2.6,-1.0,0,0,0,0
426,8fd9996f,6,532,5,6,5,0,0,1,15,9,6,9.7,7.0,2.7,0,0,0,0
427,8fe2101a,1,46,0,1,0,0,3,0,0,0,0,0.1,0.7,-0.7,0,0,0,0
428,8ff2354e,6,472,5,6,4,0,0,1,8,8,0,8.3,5.9,2.4,0,0,0,0
429,9001138b,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
