id,MP,Min,90s,Starts,Compl,Subs,unSub,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
d0a39bdf,5,312,3,3,3,2,1,6,6,0,2.4,5.7,-3.3,0,0,0,0
d0b8e745,2,22,0,0,0,2,1,0,2,-2,0.8,0.7,0.1,0,0,0,0
d0d8dd44,4,260,2,3,1,1,3,4,5,-1,2.9,4.0,-1.1,0,0,0,0
d19ef4ef,3,56,0,0,0,3,3,2,0,2,1.6,0.6,1.0,0,0,0,0
d1eda5f0,5,60,0,0,0,5,1,0,2,-2,0.6,2.5,-1.8,0,0,0,0
d2416c2e,4,43,0,0,0,4,1,1,1,0,0.6,0.9,-0.4,0,0,0,0
d2424d1b,6,498,5,6,3,0,2,9,3,6,9.7,4.5,5.1,0,0,0,0
d248cd8f,8,533,5,7,3,1,0,17,1,16,11.4,6.5,4.9,0,0,0,0
d2fd7c14,6,229,2,3,0,3,0,3,4,-1,3.6,3.5,0.1,0,0,0,0
d3dc62d1,1,90,1,1,1,0,5,0,5,-5,0.5,2.4,-1.9,90,1,1,1
d436eb94,8,720,8,8,8,0,0,8,11,-3,8.2,17.0,-8.8,720,8,8,8
d4c9725f,7,585,6,7,4,0,0,12,4,8,10.5,6.3,4.1,0,0,0,0
d557d734,2,76,0,1,0,1,4,0,1,-1,0.7,0.6,0.1,0,0,0,0
d5dd5f1f,6,403,4,6,0,0,0,10,3,7,6.8,3.4,3.4,0,0,0,0
d5f2f82b,8,653,7,8,6,0,0,15,8,7,9.7,8.2,1.4,0,0,0,0
d60cf08d,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,0
d61759ec,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,0,0
d697a2d0,1,12,0,0,0,1,0,0,0,0,0.0,0.1,-0.1,0,0,0,0
d6e53a3a,5,434,4,5,4,0,1,13,0,13,9.6,3.8,5.8,0,0,0,0
d70ce98e,7,613,6,7,5,0,0,15,9,6,9.3,8.5,0.8,0,0,0,0
d720e834,1,4,0,0,0,1,2,1,0,1,1.0,0.0,1.0,0,0,0,0
d781d855,7,495,5,5,4,2,0,14,0,14,10.4,6.1,4.3,0,0,0,0
d820a7c8,2,148,1,2,0,0,0,1,7,-6,1.0,4.0,-2.9,0,0,0,0
d92ab59f,6,290,3,2,2,4,0,4,11,-7,4.0,7.1,-3.1,0,0,0,0
d97cccc9,4,191,2,2,0,2,0,1,3,-2,2.2,3.6,-1.5,0,0,0,0
d9d43555,1,64,0,1,0,0,0,1,1,0,1.3,0.6,0.6,0,0,0,0
da011f18,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
da7b447d,2,21,0,0,0,2,6,0,1,-1,0.8,0.9,-0.1,0,0,0,0
da9018ca,6,469,5,5,5,1,0,7,19,-12,5.8,8.0,-2.2,0,0,0,0
da974c7b,6,514,5,6,5,0,1,9,3,6,9.4,4.5,4.9,0,0,0,0
daa2eab3,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
db092d3b,7,412,4,6,0,1,0,11,7,4,7.9,6.2,1.7,0,0,0,0
db3cb6ee,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
db4ed67b,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
dbfbdf06,3,44,0,0,0,3,3,0,1,-1,0.5,1.2,-0.7,0,0,0,0
dc62b55d,5,122,1,0,0,5,0,1,2,-1,4.7,2.2,2.5,0,0,0,0
dc7f8a28,4,138,1,1,0,3,3,4,1,3,4.3,0.8,3.5,0,0,0,0
dccd127f,4,324,3,4,3,0,1,1,10,-9,3.9,6.4,-2.5,0,0,0,0
dcfb17f4,4,121,1,1,0,3,0,0,3,-3,2.5,3.5,-1.0,0,0,0,0
dd0daf32,7,525,5,6,3,1,0,9,6,3,7.9,7.4,0.5,0,0,0,0
de39485a,6,274,3,3,1,3,0,3,6,-3,6.7,5.0,1.7,0,0,0,0
de9aee9d,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
dea88efd,6,449,5,6,0,0,1,16,3,13,13.3,5.4,7.9,0,0,0,0
df064106,6,492,5,6,3,0,0,5,23,-18,5.1,14.2,-9.0,0,0,0,0
df3cda47,4,200,2,2,0,2,0,2,3,-1,1.8,2.2,-0.5,0,0,0,0
df525574,1,25,0,0,0,1,3,0,1,-1,0.4,1.1,-0.7,0,0,0,0
df69b544,6,406,4,4,3,2,0,5,9,-4,7.7,8.5,-0.8,0,0,0,0
df8b52a5,8,543,6,6,4,2,0,5,5,0,8.2,6.3,1.9,0,0,0,0
dff153a4,4,354,3,4,3,0,0,5,7,-2,4.0,6.4,-2.4,0,0,0,0
e06683ca,7,630,7,7,7,0,0,19,11,8,14.2,8.5,5.7,0,0,0,0
e0782abd,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
