id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
d5c04323,Benedikt Höwedes,de GER,DF,Juventus,29,1988,2.7,3,1.09,3,0,0,0,0,0,1,0.36,1,0,0,0,0,0,Matches
f2c1300a,Vitor Hugo,br BRA,DF,Fiorentina,26,1991,13.4,9,0.67,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2f3452eb,Elseid Hysaj,al ALB,DF,Napoli,23,1994,34.7,60,1.73,50,4,3,0,0,3,6,0.17,5,0,1,0,0,0,Matches
43b78598,Mauro Icardi,ar ARG,FW,Inter,24,1993,32.9,70,2.13,57,0,5,4,4,0,12,0.36,8,0,1,1,2,0,Matches
0861b8d6,Pietro Iemmello,it ITA,FW,Benevento,25,1992,9.8,12,1.23,9,0,0,3,0,0,3,0.31,2,0,0,1,0,0,Matches
68252d6d,Josip Iličić,si SVN,"MF,FW",Atalanta,29,1988,22.2,146,6.57,81,31,17,10,7,0,19,0.85,14,0,4,1,0,0,Matches
4431aed2,Ciro Immobile,it ITA,FW,Lazio,27,1990,29.8,88,2.95,63,0,8,9,8,0,22,0.74,12,0,4,1,5,0,Matches
4133cfcf,Svante Ingelsson,se SWE,MF,Udinese,19,1998,3.6,10,2.76,8,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6c1f7328,Roberto Inglese,it ITA,FW,Chievo,25,1991,30.9,64,2.07,47,0,9,3,4,1,4,0.13,3,0,1,0,0,0,Matches
2f557579,Lorenzo Insigne,it ITA,FW,Napoli,26,1991,34.3,224,6.52,186,1,20,14,1,2,20,0.58,14,0,3,3,0,0,Matches
cedb3e36,Artur Ioniță,md MDA,MF,Cagliari,26,1990,29.7,44,1.48,42,0,2,0,0,0,4,0.13,3,0,1,0,0,0,Matches
89976232,Armando Izzo,it ITA,DF,Genoa,25,1992,15.4,11,0.71,6,1,0,1,3,0,0,0.00,0,0,0,0,0,0,Matches
1ea5f91c,Jakub Jankto,cz CZE,"MF,FW",Udinese,21,1996,29.5,106,3.60,78,13,6,3,5,1,10,0.34,7,2,0,0,1,0,Matches
958a601f,Paweł Jaroszyński,pl POL,DF,Chievo,22,1994,9.0,12,1.33,10,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
79083382,Juan Jesus,br BRA,DF,Roma,26,1991,18.4,10,0.54,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
