id,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
343f753a,Luigi Sepe,it ITA,GK,Salernitana,31-307,1991,17.0,27,4,0,0,0,30.2,0.27,+3.2,+0.19,76,274,27.7,490,84,40.6,35.9,154,48.7,41.0,222,16,7.2,13,0.76,14.2,Matches
0d422df7,Marco Silvestri,it ITA,GK,Udinese,32-009,1991,25.0,30,3,1,2,2,28.3,0.30,+0.3,+0.01,103,259,39.8,533,91,35.1,33.3,201,35.8,34.5,335,6,1.8,13,0.52,13.3,Matches
ab4449d6,Łukasz Skorupski,pl POL,GK,Bologna,31-310,1991,25.0,34,6,1,4,2,36.7,0.28,+4.7,+0.19,108,279,38.7,657,137,31.7,32.9,186,38.2,34.8,331,20,6.0,20,0.80,13.5,Matches
ac4003af,Marco Sportiello,it ITA,GK,Atalanta,30-305,1992,6.9,9,0,1,2,0,7.8,0.30,-1.2,-0.17,31,77,40.3,181,45,19.3,28.5,61,68.9,48.9,86,7,8.1,14,2.02,19.9,Matches
01b8a2b2,Wojciech Szczęsny,pl POL,GK,Juventus,32-327,1990,17.5,16,0,0,4,0,15.0,0.29,-1.0,-0.06,75,178,42.1,402,73,33.8,34.5,90,46.7,41.0,218,6,2.8,18,1.03,16.8,Matches
b056e3da,Ciprian Tătărușanu,ro ROU,GK,Milan,37-030,1986,16.0,22,2,2,4,1,16.8,0.25,-4.2,-0.26,95,196,48.5,473,75,32.3,32.9,83,51.8,41.8,195,9,4.6,13,0.81,14.4,Matches
e1b0a70d,Pietro Terracciano,it ITA,GK,Fiorentina,33-003,1990,22.0,29,3,0,3,1,23.3,0.27,-4.7,-0.21,114,277,41.2,646,83,32.7,33.3,147,44.9,40.0,199,10,5.0,44,2.00,18.7,Matches
77d6fd4d,Guglielmo Vicario,it ITA,GK,Empoli,26-155,1996,24.0,31,2,0,7,1,32.3,0.28,+2.3,+0.10,117,346,33.8,869,123,32.0,33.3,138,49.3,42.7,489,28,5.7,15,0.63,10.7,Matches
cc1a0c57,Jeroen Zoet,nl NED,GK,Spezia,32-064,1991,1.7,1,0,0,0,0,0.7,0.11,-0.3,-0.19,15,43,34.9,57,5,63.2,41.7,8,87.5,56.6,24,1,4.2,3,1.74,15.7,Matches
54f6afe3,Petar Zovko,ba BIH,GK,Spezia,20-351,2002,0.8,2,0,0,0,0,1.7,0.55,-0.3,-0.42,7,21,33.3,23,3,47.8,35.1,13,76.9,51.1,24,1,4.2,2,2.47,17.0,Matches
