id,MP,Min,90s,Starts,Compl,Subs,unSub,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
ca45605e,23,1159,12,13,2,10,13,20,20,0,17.6,17.6,-0.1,0,0,0,0
ca990d30,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
cc2d7ad5,31,2731,30,30,30,1,0,28,48,-20,34.0,47.2,-13.2,0,0,0,0
cc3b8e78,4,180,2,2,1,2,29,2,1,1,1.7,2.7,-1.0,0,0,0,0
cc700722,28,2183,24,25,17,3,5,26,38,-12,27.5,32.8,-5.4,0,0,0,0
cc70a1d5,9,765,8,8,8,1,29,12,13,-1,8.7,8.9,-0.2,765,9,8,8
cd1acf9d,32,2853,31,32,30,0,2,80,22,58,74.1,30.0,44.1,0,0,0,0
cd4256d3,3,146,1,1,0,2,13,3,4,-1,1.9,2.6,-0.8,0,0,0,0
cde3309f,8,720,8,8,8,0,26,10,15,-5,6.6,11.5,-4.9,720,8,8,8
ce048fb8,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
ce4246f5,24,2078,23,24,22,0,3,33,29,4,26.2,30.3,-4.2,0,0,0,0
ce5143da,25,1478,16,15,8,10,1,24,16,8,22.2,16.3,5.9,0,0,0,0
cea4ee8f,21,995,11,9,5,12,16,13,23,-10,12.3,19.7,-7.300000000000001,0,0,0,0
cee31595,21,1439,16,15,11,6,1,22,15,7,18.5,13.2,5.3,0,0,0,0
d0042ab9,25,2134,23,23,22,2,10,29,42,-13,26.2,36.4,-10.2,0,0,0,0
d01231f0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
d01f8942,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
d04b94db,25,2131,23,25,19,0,4,24,18,6,24.4,32.7,-8.3,0,0,0,0
d0706b27,36,3222,35,36,35,0,1,49,43,6,44.8,37.6,7.2,0,0,0,0
d0b3ceb9,26,2340,26,26,26,0,2,24,49,-25,28.6,41.9,-13.3,2340,26,26,26
d0f72bf1,30,2687,29,30,28,0,2,27,25,2,29.2,42.4,-13.1,0,0,0,0
d102b8a2,2,150,1,0,0,2,14,2,5,-3,2.2,4.8,-2.5,0,0,0,0
d2424d1b,7,542,6,6,6,1,6,19,2,17,13.1,4.1,9.0,0,0,0,0
d313e8ff,1,4,0,0,0,1,6,2,0,2,1.1,0.0,1.1,0,0,0,0
d3ce0e89,1,90,1,1,1,0,31,5,1,4,2.5,1.4,1.1,90,1,1,1
d557d734,15,875,9,9,6,6,13,27,11,16,19.1,9.2,9.9,0,0,0,0
d56543a0,27,1465,16,18,5,9,3,21,23,-2,16.6,23.4,-6.8,0,0,0,0
d5dd5f1f,14,1037,11,12,7,2,0,17,16,1,16.6,16.4,0.2,0,0,0,0
d60c03a9,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
d7492450,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,0,0
d7553721,9,238,2,2,0,7,4,3,5,-2,4.2,2.9,1.3,0,0,0,0
d79a8c87,15,845,9,9,8,6,21,18,14,4,14.0,12.9,1.0,0,0,0,0
d86a1f3e,3,28,0,0,0,3,2,0,0,0,0.9,0.1,0.8,0,0,0,0
d8931174,30,2515,27,28,26,2,3,46,41,5,41.1,36.4,4.7,0,0,0,0
d93c2511,30,2387,26,28,20,2,1,40,37,3,39.2,38.1,1.1,0,0,0,0
d9565625,24,1801,20,19,18,5,13,28,29,-1,29.3,26.0,3.4,0,0,0,0
d9a21f02,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
da011f18,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
da052c14,31,2019,22,23,10,8,6,31,31,0,27.1,25.4,1.7,0,0,0,0
da7b447d,23,1631,18,17,17,6,14,33,16,17,34.8,17.8,17.0,0,0,0,0
da8b19e2,2,135,1,1,1,1,36,1,3,-2,1.1,2.6,-1.4,135,2,1,1
dad4b285,34,2874,31,33,26,1,1,31,39,-8,40.5,37.6,2.9,0,0,0,0
dbf053da,29,1900,21,20,11,9,3,29,28,1,29.0,29.0,0.0,0,0,0,0
dc008610,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
dc64b8b3,21,1814,20,21,20,0,1,20,26,-6,21.4,30.4,-9.0,0,0,0,0
dc6c2f02,8,208,2,1,1,7,7,5,5,0,3.1,3.5,-0.4,0,0,0,0
dc6f5bdd,13,1001,11,11,9,2,10,17,16,1,14.3,17.1,-2.8,0,0,0,0
dc7f8a28,4,123,1,1,0,3,20,6,0,6,4.5,0.4,4.2,0,0,0,0
dd323728,1,8,0,0,0,1,12,1,0,1,0.7,0.4,0.3,0,0,0,0
dd897ee7,1,10,0,0,0,1,3,1,0,1,1.0,0.0,1.0,0,0,0,0
de0f152c,15,1077,12,13,11,2,18,17,26,-9,16.7,22.0,-5.3,0,0,0,0
de112b84,33,1473,16,13,9,20,5,24,35,-11,20.2,28.3,-8.2,0,0,0,0
de31038e,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,0
de5b5570,16,904,10,10,5,6,8,15,20,-5,9.1,14.1,-5.0,0,0,0,0
dea698d9,30,2456,27,27,21,3,0,40,41,-1,44.8,38.7,6.1,0,0,0,0
def899bd,4,163,1,2,1,2,20,0,3,-3,1.1,2.3,-1.2,0,0,0,0
df04eb4b,6,130,1,0,0,6,19,3,1,2,3.0,1.7,1.4,0,0,0,0
df0a4c90,35,3054,33,35,30,0,0,44,51,-7,41.7,44.8,-3.0,0,0,0,0
df10e27c,24,1855,20,21,15,3,7,8,52,-44,17.8,44.5,-26.6,0,0,0,0
df3cda47,18,1261,14,14,4,4,0,35,11,24,25.0,12.7,12.3,0,0,0,0
df8b52a5,31,2286,25,26,17,5,3,44,26,18,41.2,24.2,17.0,0,0,0,0
e0243d23,2,25,0,0,0,2,14,0,0,0,0.3,0.3,0.0,0,0,0,0
e06683ca,34,3060,34,34,34,0,1,84,21,63,80.9,29.1,51.8,0,0,0,0
e07398f8,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
e082af5b,9,810,9,9,9,0,29,6,22,-16,6.2,20.5,-14.3,810,9,9,9
e09f279b,33,2909,32,32,32,1,0,43,47,-4,40.5,40.9,-0.4,0,0,0,0
e0bc6fdc,1,5,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
e0d1510a,3,128,1,1,1,2,7,1,6,-5,1.8,4.6,-2.8,0,0,0,0
e1618c22,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
e1df6989,20,1416,15,17,8,3,9,12,38,-26,17.8,27.5,-9.7,0,0,0,0
e28868f3,13,1024,11,10,8,3,4,13,22,-9,10.7,19.3,-8.6,0,0,0,0
e32958b7,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,0,0
e342ad68,35,2762,30,30,25,5,0,78,22,56,75.7,27.1,48.6,0,0,0,0
e34fc66d,34,2916,32,32,31,2,0,44,37,7,40.4,35.8,4.6,0,0,0,0
e3a5814e,8,268,3,2,1,6,9,2,4,-2,3.8,6.1,-2.3,0,0,0,0
e46012d4,30,2201,24,25,16,5,3,64,22,42,52.0,17.6,34.4,0,0,0,0
e4b6d914,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,0
e514ab62,33,2871,31,33,30,0,3,38,47,-9,33.0,41.4,-8.4,0,0,0,0
e541326e,32,2694,29,32,28,0,0,35,43,-8,34.8,36.4,-1.6,0,0,0,0
e58a03c6,8,38,0,0,0,8,28,1,0,1,1.5,0.3,1.2,0,0,0,0
e5a76dfe,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,0,0
e5d01ecf,27,2142,23,26,17,1,0,21,49,-28,23.6,36.5,-12.9,0,0,0,0
e61b8aee,27,2327,25,27,23,0,0,46,35,11,43.6,28.6,15.0,0,0,0,0
e717705a,1,1,0,0,0,1,31,1,0,1,1.5,0.5,0.9,0,0,0,0
e71aac2c,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,0,0
e73c9bb2,21,1660,18,18,16,3,8,26,26,0,26.3,26.9,-0.6,0,0,0,0
e7aa9d7c,22,572,6,6,2,16,15,9,7,2,7.2,9.8,-2.6,0,0,0,0
e7ca0439,8,547,6,6,5,2,19,6,11,-5,6.1,7.3,-1.2,0,0,0,0
e7ee38c3,1,90,1,1,1,0,17,2,3,-1,0.2,3.4,-3.1,90,1,1,1
e814e1cf,3,32,0,0,0,3,8,1,1,0,0.5,0.4,0.0,0,0,0,0
e8832875,28,1644,18,15,10,13,1,19,35,-16,21.3,31.0,-9.8,0,0,0,0
e9254eec,33,2897,32,33,31,0,0,20,70,-50,26.9,62.1,-35.2,0,0,0,0
e97fd090,24,1394,15,13,10,11,6,30,21,9,27.0,18.8,8.2,0,0,0,0
e9971f2d,11,735,8,10,4,1,7,11,8,3,12.0,11.0,1.0,0,0,0,0
ea1a5662,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,0
ea6bc03a,20,1574,17,17,15,3,1,21,40,-19,20.7,30.0,-9.4,0,0,0,0
eaeca114,14,923,10,10,8,4,22,19,3,16,20.3,5.3,15.0,0,0,0,0
eb7822d7,23,1382,15,16,7,7,10,22,26,-4,21.2,23.0,-1.7,0,0,0,0
ebeac9e5,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
ecad9aa5,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,0,0
ed1e53f3,28,2128,23,24,15,4,5,59,16,43,52.4,14.7,37.7,0,0,0,0
ee38d9c5,35,2459,27,28,14,7,0,48,41,7,34.2,45.5,-11.3,0,0,0,0
eeb6551f,3,30,0,0,0,3,14,0,0,0,1.2,0.2,1.0,0,0,0,0
efb9215a,5,262,2,4,2,1,14,3,4,-1,2.6,4.3,-1.7,0,0,0,0
f0caab96,4,360,4,4,4,0,12,7,6,1,4.9,5.6,-0.7,0,0,0,0
f0e4c69e,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,0,0
f0f7f62f,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,0,0
f119a610,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
f127d782,12,1080,12,12,12,0,19,13,24,-11,11.2,16.6,-5.4,1080,12,12,12
f13d02a6,1,22,0,0,0,1,2,0,0,0,0.3,0.0,0.2,0,0,0,0
f1e94cd6,14,804,8,10,1,4,14,13,18,-5,8.9,13.5,-4.6,0,0,0,0
f230bc30,28,1701,18,19,10,9,2,17,23,-6,20.4,21.2,-0.8,0,0,0,0
f23f9d20,29,2610,29,29,29,0,3,17,62,-45,26.1,55.0,-28.8,2610,29,29,29
f240e4f2,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
f25b010f,7,523,5,5,4,2,11,7,12,-5,7.0,10.5,-3.6,0,0,0,0
f25c8e3a,23,1173,13,14,4,9,6,30,6,24,28.0,12.7,15.4,0,0,0,0
