id,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
9ae9eaea,20,17,1,0,2,0,0,2,1,0,0,1,0,0
9b398aea,26,20,1,1,1,1,2,2,2,0,0,0,0,0
9b6556d2,27,20,1,2,2,1,1,6,5,0,1,0,0,0
9bb0b9f1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9c2b1f11,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9cebd6ce,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9daeac61,10,7,1,2,0,0,0,2,2,0,0,0,0,0
9e64fc85,2,2,0,0,0,0,0,0,0,0,0,0,0,0
a0434482,20,19,0,0,1,0,0,2,1,0,0,1,0,0
a046fc35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a0791826,38,24,7,4,2,1,0,2,1,1,0,0,0,0
a0b65401,25,21,0,0,2,1,1,2,2,0,0,0,0,0
a0f9b535,42,30,0,7,1,4,0,4,4,0,0,0,0,0
a2d873dd,29,17,0,2,4,5,1,5,2,0,0,0,3,0
a440d8ca,7,6,0,1,0,0,0,3,3,0,0,0,0,0
a46472d0,8,6,1,0,1,0,0,0,0,0,0,0,0,0
a4b1028a,67,56,2,6,1,1,1,8,6,0,2,0,0,0
a4c3f7af,53,30,16,1,3,1,2,4,2,1,0,1,0,0
a5db0bec,85,53,2,11,7,8,4,11,9,0,1,1,0,0
a634b9d2,10,6,2,0,1,1,0,0,0,0,0,0,0,0
a8567629,1,1,0,0,0,0,0,0,0,0,0,0,0,0
a8797cf1,17,14,1,0,0,1,1,3,3,0,0,0,0,0
a99138af,7,6,0,1,0,0,0,0,0,0,0,0,0,0
aa1a8c7e,5,2,1,1,1,0,0,0,0,0,0,0,0,0
aad56ca3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab096c6f,12,10,1,0,1,0,0,1,0,1,0,0,0,0
ac89503b,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ad7b19ef,21,16,2,1,0,1,1,1,1,0,0,0,0,0
ad82197c,22,22,0,0,0,0,0,1,1,0,0,0,0,0
ae59b359,25,21,0,3,0,0,1,1,0,0,0,0,0,1
ae7d0ecd,7,5,2,0,0,0,0,1,0,1,0,0,0,0
aef6e670,7,6,0,0,1,0,0,0,0,0,0,0,0,0
af0c835b,17,13,0,2,1,1,0,0,0,0,0,0,0,0
b0547a87,98,46,24,7,7,12,2,12,6,2,2,2,0,0
b056e3da,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2336681,4,4,0,0,0,0,0,0,0,0,0,0,0,0
b2791a55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2bd0f6c,87,49,13,11,7,6,1,7,5,0,0,1,1,0
b34c63a5,6,4,0,2,0,0,0,0,0,0,0,0,0,0
b49729cb,2,2,0,0,0,0,0,0,0,0,0,0,0,0
b4c816a9,2,2,0,0,0,0,0,0,0,0,0,0,0,0
b5bb8188,1,1,0,0,0,0,0,0,0,0,0,0,0,0
b6047994,6,4,1,0,0,0,1,0,0,0,0,0,0,0
b666421b,18,16,0,1,1,0,0,0,0,0,0,0,0,0
b66d1d8a,40,21,13,1,0,4,1,2,0,0,1,0,1,0
b684a484,11,9,0,1,0,1,0,1,1,0,0,0,0,0
b748968d,3,3,0,0,0,0,0,0,0,0,0,0,0,0
b871bf55,2,2,0,0,0,0,0,0,0,0,0,0,0,0
b8d22478,41,22,1,8,4,5,1,4,2,0,0,1,1,0
b92edde2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b94b8be1,2,1,0,1,0,0,0,0,0,0,0,0,0,0
b98cea65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b99bec05,51,39,3,1,1,2,5,2,2,0,0,0,0,0
bb67bff1,5,3,0,1,1,0,0,0,0,0,0,0,0,0
bc0bfc64,25,16,0,3,1,3,2,4,2,0,1,1,0,0
bc270726,4,3,1,0,0,0,0,0,0,0,0,0,0,0
bc50c437,3,1,0,1,0,1,0,0,0,0,0,0,0,0
bc7b4580,16,13,0,0,2,0,1,0,0,0,0,0,0,0
bcc81786,14,11,1,0,1,0,1,2,2,0,0,0,0,0
bced0375,65,54,0,3,2,3,3,5,3,0,0,0,1,1
bcf1b2e9,3,2,1,0,0,0,0,0,0,0,0,0,0,0
bdedd861,45,33,0,3,4,5,0,2,2,0,0,0,0,0
be13e5a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beae3a73,48,33,1,2,5,7,0,2,2,0,0,0,0,0
beb391dd,45,30,9,3,3,0,0,6,3,0,2,1,0,0
bef0a7ac,43,27,0,3,7,5,1,9,2,0,2,2,3,0
bef22bc4,17,12,3,0,2,0,0,1,0,0,0,1,0,0
c05d65d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1b16364,16,12,3,0,0,0,1,0,0,0,0,0,0,0
c20bdcd7,17,13,0,0,0,3,1,0,0,0,0,0,0,0
c26a3918,33,28,4,1,0,0,0,2,2,0,0,0,0,0
c3e4ecbb,7,4,0,3,0,0,0,2,1,0,1,0,0,0
c46fa34c,10,10,0,0,0,0,0,2,2,0,0,0,0,0
c47541e0,58,30,12,10,2,3,1,7,4,1,1,0,1,0
c4bbea9f,31,28,1,0,1,1,0,3,2,0,0,0,1,0
c58270f8,7,6,0,0,1,0,0,0,0,0,0,0,0,0
c5a500ca,56,34,6,7,3,5,1,6,4,0,1,0,1,0
c6056d58,11,8,0,0,3,0,0,1,1,0,0,0,0,0
c69ef855,16,12,2,0,0,1,1,1,1,0,0,0,0,0
c6e5d20f,44,38,3,0,3,0,0,9,9,0,0,0,0,0
c7526c18,5,4,0,0,1,0,0,0,0,0,0,0,0,0
c76b7567,85,64,5,5,1,10,0,7,6,0,0,0,1,0
c795c408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c801616a,84,53,26,2,3,0,0,3,2,1,0,0,0,0
c8090cb3,46,34,8,0,3,0,1,1,1,0,0,0,0,0
ca122e29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cac76a72,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cc41f558,21,11,4,3,0,3,0,3,3,0,0,0,0,0
cc77354e,20,15,0,0,3,1,1,5,5,0,0,0,0,0
cc83b74d,27,15,0,2,6,4,0,4,3,0,0,1,0,0
ccb1c3af,8,6,1,0,0,0,1,0,0,0,0,0,0,0
ccee698e,4,1,2,0,1,0,0,0,0,0,0,0,0,0
ce492295,13,12,1,0,0,0,0,2,2,0,0,0,0,0
cecbce23,5,5,0,0,0,0,0,0,0,0,0,0,0,0
cfd8dde3,4,3,0,0,0,1,0,0,0,0,0,0,0,0
d07e3b41,24,20,0,3,0,1,0,4,3,0,1,0,0,0
d14229f3,35,23,0,2,4,4,2,6,3,0,0,2,1,0
d21e361a,10,6,0,2,1,1,0,1,1,0,0,0,0,0
d2448564,46,42,0,0,2,2,0,4,4,0,0,0,0,0
d26cd32d,2,2,0,0,0,0,0,0,0,0,0,0,0,0
d33c706e,86,49,2,8,12,15,0,11,3,0,2,3,3,0
d3ce9f1f,24,21,1,1,0,1,0,1,1,0,0,0,0,0
d4133fa1,25,25,0,0,0,0,0,2,2,0,0,0,0,0
d4d35152,12,9,0,1,1,1,0,0,0,0,0,0,0,0
d504b3e1,39,30,1,5,0,2,1,7,4,0,3,0,0,0
d512db65,1,0,0,0,1,0,0,1,0,0,0,1,0,0
d520120b,53,45,1,3,2,1,1,3,3,0,0,0,0,0
d5f2f82b,24,21,1,0,2,0,0,3,2,0,0,1,0,0
d63e2912,35,27,3,1,0,4,0,1,0,0,0,0,1,0
d6f88a1d,37,24,8,3,0,1,1,3,1,2,0,0,0,0
d7bf3d19,35,24,0,4,2,3,2,2,2,0,0,0,0,0
d83f8f69,1,0,1,0,0,0,0,0,0,0,0,0,0,0
d8992b84,13,12,0,0,0,1,0,0,0,0,0,0,0,0
d8b97bb3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d9764034,11,9,0,0,1,0,1,1,1,0,0,0,0,0
d9a66c60,4,2,0,0,0,1,1,0,0,0,0,0,0,0
dab1b8dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0
db7849ca,30,26,0,2,0,1,1,4,4,0,0,0,0,0
db87a2c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dcfb17f4,3,2,1,0,0,0,0,0,0,0,0,0,0,0
de488e56,24,19,2,1,1,1,0,2,2,0,0,0,0,0
