id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
8e235926,Michael Gregoritsch,at AUT,FW,Freiburg,28-327,1994,22,21,1613,17.9,8,3,11,8,0,0,4,0,8.7,8.7,2.0,10.7,19,45,92,0.45,0.17,0.61,0.45,0.61,0.49,0.11,0.60,0.49,0.60,Matches
f9dfb7ae,Leo Greiml,at AUT,DF,Schalke 04,21-251,2001,5,2,223,2.5,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,7,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
54e4866f,Vincenzo Grifo,it ITA,"FW,MF",Freiburg,29-338,1993,22,19,1543,17.1,12,4,16,6,6,7,1,0,7.8,2.2,4.7,6.9,42,94,81,0.70,0.23,0.93,0.35,0.58,0.46,0.27,0.73,0.13,0.40,Matches
37998008,Lennart Grill,de GER,GK,Union Berlin,24-045,1999,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
14a7af33,Christian Groß,de GER,MF,Werder Bremen,34-031,1989,19,17,1377,15.3,1,0,1,1,0,0,2,0,0.1,0.1,0.3,0.4,13,48,11,0.07,0.00,0.07,0.07,0.07,0.01,0.02,0.03,0.01,0.03,Matches
ae9b998d,Brajan Gruda,de GER,MF,Mainz 05,18-284,2004,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,1.63,1.63,0.00,1.63,Matches
1fc4f3d1,Ilia Gruev,bg BUL,MF,Werder Bremen,22-309,2000,21,13,1149,12.8,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.6,16,48,10,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
f2dd9a21,Carlos Gruezo,ec ECU,MF,Augsburg,27-326,1995,13,12,961,10.7,0,0,0,0,0,0,5,0,0.0,0.0,0.3,0.3,2,29,5,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
048a1cbc,Raphaël Guerreiro,pt POR,DF,Dortmund,29-079,1993,17,17,1480,16.4,1,6,7,1,0,0,3,0,1.1,1.1,3.4,4.5,43,115,85,0.06,0.36,0.43,0.06,0.43,0.07,0.21,0.28,0.07,0.28,Matches
e6c43eec,Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,32-173,1990,13,4,524,5.8,1,0,1,1,0,0,2,0,0.2,0.2,0.4,0.7,1,19,5,0.17,0.00,0.17,0.17,0.17,0.04,0.08,0.12,0.04,0.12,Matches
923f4dda,Sehrou Guirassy,gn GUI,FW,Stuttgart,26-364,1996,13,12,976,10.8,6,0,6,5,1,1,3,1,5.1,4.3,0.8,5.1,15,19,56,0.55,0.00,0.55,0.46,0.46,0.47,0.07,0.55,0.40,0.47,Matches
bcb2ccd8,Péter Gulácsi,hu HUN,GK,RB Leipzig,32-309,1990,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
25ab9c9c,Manuel Gulde,de GER,"DF,FW",Freiburg,32-027,1991,8,2,148,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1df0c0b9,Robert Gumny,pl POL,DF,Augsburg,24-280,1998,19,17,1551,17.2,1,2,3,1,0,0,4,0,0.5,0.5,0.6,1.1,20,44,43,0.06,0.12,0.17,0.06,0.17,0.03,0.04,0.07,0.03,0.07,Matches
