id,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
fc15fb84,116,66,26,8,8,7,1,14,9,2,1,1,1,0,Matches
d93c2511,46,36,0,1,4,5,0,3,3,0,0,0,0,0,Matches
8df7a2fb,28,17,1,2,7,1,0,2,1,0,0,1,0,0,Matches
5271c8f1,41,37,1,1,2,0,0,7,5,1,0,1,0,0,Matches
1598599e,9,8,0,0,0,0,1,0,0,0,0,0,0,0,Matches
fed96827,6,5,0,0,0,1,0,1,1,0,0,0,0,0,Matches
eba42d2b,12,10,0,0,1,1,0,1,1,0,0,0,0,0,Matches
2ce2508a,59,27,27,0,2,0,3,4,3,1,0,0,0,0,Matches
2f90f6b8,28,24,1,0,1,1,1,4,4,0,0,0,0,0,Matches
6d5701f2,17,10,0,0,5,0,2,3,2,0,0,1,0,0,Matches
f833a830,3,2,0,0,1,0,0,0,0,0,0,0,0,0,Matches
8397a50c,17,16,1,0,0,0,0,1,1,0,0,0,0,0,Matches
5cbd1eb0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
dd0daf32,6,5,0,0,1,0,0,0,0,0,0,0,0,0,Matches
d4cb83cc,4,3,0,1,0,0,0,0,0,0,0,0,0,0,Matches
5cec2487,42,38,0,1,1,2,0,2,1,0,0,0,1,0,Matches
e7434f04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47b7e3af,78,56,13,4,3,2,0,7,4,1,2,0,0,0,Matches
bfae110f,32,25,0,2,4,1,0,3,3,0,0,0,0,0,Matches
80c31c97,6,3,0,1,1,0,1,0,0,0,0,0,0,0,Matches
bf59c794,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9674002f,127,78,30,5,7,7,0,18,11,4,1,0,2,0,Matches
2b622f01,90,61,0,13,4,10,2,9,4,0,4,0,0,1,Matches
d9cfca3d,29,15,0,7,4,2,1,4,3,0,0,1,0,0,Matches
f5a00fa4,125,68,56,0,1,0,0,10,7,3,0,0,0,0,Matches
f2f29dda,12,7,0,0,3,2,0,1,1,0,0,0,0,0,Matches
3f2d59fe,3,2,0,0,1,0,0,1,0,0,0,1,0,0,Matches
5343eb4e,3,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
76c131da,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
de5b5570,23,22,1,0,0,0,0,1,1,0,0,0,0,0,Matches
6b47c5db,46,40,0,2,2,1,1,3,3,0,0,0,0,0,Matches
5cdddffa,30,25,0,1,2,0,2,3,2,0,1,0,0,0,Matches
c5bdb6e3,20,11,4,2,3,0,0,1,0,0,0,1,0,0,Matches
7ba2eaa9,34,20,5,7,0,2,0,5,4,1,0,0,0,0,Matches
44bfb6c5,76,61,1,3,6,1,4,3,2,0,0,1,0,0,Matches
3631ad41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
af721f98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
a53649b7,12,6,0,2,1,2,1,1,0,0,0,0,0,1,Matches
ff527768,84,60,12,3,0,8,1,10,6,1,0,0,3,0,Matches
43439614,83,48,29,0,4,1,1,6,4,2,0,0,0,0,Matches
bdedffac,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
312626c1,29,26,0,0,2,1,0,2,2,0,0,0,0,0,Matches
caa1a7f0,20,14,0,3,2,1,0,2,2,0,0,0,0,0,Matches
74b2cd7e,11,9,0,0,1,0,1,0,0,0,0,0,0,0,Matches
43a166b4,20,9,0,6,2,3,0,3,0,0,1,1,1,0,Matches
79bc4c45,14,12,0,0,1,1,0,4,3,0,0,1,0,0,Matches
0d267745,13,10,0,0,3,0,0,1,0,0,0,1,0,0,Matches
38c7feef,51,38,0,5,4,4,0,6,3,0,2,0,1,0,Matches
16380240,75,51,18,3,2,1,0,8,7,1,0,0,0,0,Matches
e0bc6fdc,31,23,7,0,0,1,0,0,0,0,0,0,0,0,Matches
b682dcf6,6,4,0,0,1,1,0,0,0,0,0,0,0,0,Matches
4357f557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
79b0d6a0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3ca7254a,35,23,1,3,6,2,0,4,2,0,1,1,0,0,Matches
57e3f0c7,72,39,16,10,4,3,0,9,7,2,0,0,0,0,Matches
6639e500,63,50,5,5,2,1,0,8,7,1,0,0,0,0,Matches
75a72a99,74,57,3,10,1,3,0,7,6,0,0,1,0,0,Matches
75f2c59f,45,28,6,4,1,6,0,1,0,0,0,0,1,0,Matches
819aa8e7,75,58,1,8,2,5,1,15,11,1,2,0,0,1,Matches
4806ec67,5,4,1,0,0,0,0,0,0,0,0,0,0,0,Matches
9a526299,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1ef37668,26,23,2,0,1,0,0,4,4,0,0,0,0,0,Matches
7fcc71d8,10,6,0,1,1,2,0,2,0,0,1,0,1,0,Matches
867239d3,61,51,2,4,0,4,0,7,5,0,1,0,1,0,Matches
4b40d9ca,13,6,7,0,0,0,0,0,0,0,0,0,0,0,Matches
86695068,25,17,1,2,2,1,2,4,3,0,0,0,0,1,Matches
f5e6d08d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
fdd85f94,67,61,0,1,3,2,0,4,4,0,0,0,0,0,Matches
0745b37d,63,44,0,7,9,2,1,4,4,0,0,0,0,0,Matches
1bf33a9a,87,55,0,19,6,7,0,16,8,0,4,1,3,0,Matches
62437b4f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41fb0f4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
466fb2c5,3,2,1,0,0,0,0,1,1,0,0,0,0,0,Matches
6385ebfb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
a1d5bd30,95,66,2,13,4,10,0,19,12,0,3,0,4,0,Matches
ab651565,98,70,0,12,5,10,1,9,7,0,1,0,1,0,Matches
e358587b,2,1,1,0,0,0,0,0,0,0,0,0,0,0,Matches
1c7012b8,58,51,0,2,3,0,2,7,5,0,0,2,0,0,Matches
fa031b34,93,53,0,9,11,18,2,9,5,0,1,1,2,0,Matches
d9ba39fc,60,29,29,0,1,1,0,7,4,3,0,0,0,0,Matches
7a1f2c08,6,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71ef519e,56,22,29,1,2,2,0,3,2,0,1,0,0,0,Matches
ba3ca78f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59d93937,3,1,0,1,0,1,0,0,0,0,0,0,0,0,Matches
2e4f5f03,130,106,15,4,3,0,2,22,18,2,2,0,0,0,Matches
e75750a3,10,9,0,0,0,0,1,1,1,0,0,0,0,0,Matches
7399c7a8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,Matches
6434f10d,75,65,0,3,3,3,1,4,3,0,0,1,0,0,Matches
4ab53cdb,32,21,0,2,6,3,0,6,4,0,0,2,0,0,Matches
a07579ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
e0991c04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4b511457,41,35,0,2,1,0,3,1,1,0,0,0,0,0,Matches
89d10e53,17,12,2,0,0,2,1,0,0,0,0,0,0,0,Matches
89d10e53,9,8,0,0,0,1,0,0,0,0,0,0,0,0,Matches
18b896d6,13,11,0,0,2,0,0,0,0,0,0,0,0,0,Matches
3faa1780,15,12,1,0,1,1,0,0,0,0,0,0,0,0,Matches
4535e4bb,4,4,0,0,0,0,0,2,2,0,0,0,0,0,Matches
2b16cb1a,88,53,0,22,6,7,0,9,6,0,1,1,1,0,Matches
9fbbcf39,30,24,1,1,3,0,1,2,1,0,0,1,0,0,Matches
bc7dc64d,48,34,1,8,2,2,1,7,6,0,1,0,0,0,Matches
87935cf3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
e342ad68,136,94,6,17,13,5,1,15,9,2,2,1,1,0,Matches
dae8623e,17,11,0,1,1,3,1,0,0,0,0,0,0,0,Matches
50b51fac,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
da7b447d,5,4,0,0,1,0,0,0,0,0,0,0,0,0,Matches
2b114be3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
bfdb33aa,74,53,0,3,7,10,1,8,5,0,0,0,3,0,Matches
c8aa95da,25,19,1,1,3,0,1,3,1,1,0,1,0,0,Matches
a6e316c1,7,4,0,0,1,2,0,1,0,0,0,0,1,0,Matches
3312f911,20,13,1,1,2,3,0,2,2,0,0,0,0,0,Matches
53af52f3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,Matches
51b41c5c,17,15,0,1,1,0,0,0,0,0,0,0,0,0,Matches
6aa3e78b,4,4,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6421ec64,5,3,2,0,0,0,0,0,0,0,0,0,0,0,Matches
e8c9f4e9,31,22,0,5,1,3,0,2,2,0,0,0,0,0,Matches
9c94165b,47,36,4,3,1,2,1,2,2,0,0,0,0,0,Matches
3727dd3c,82,56,18,4,4,0,0,6,3,2,1,0,0,0,Matches
4c5b714f,45,37,3,0,0,2,3,5,5,0,0,0,0,0,Matches
76dd1480,91,39,32,3,12,2,3,7,3,2,1,1,0,0,Matches
3eb22ec9,110,86,3,7,11,2,1,14,11,0,1,2,0,0,Matches
e2716bd0,119,100,1,7,6,4,1,19,14,1,1,1,1,1,Matches
76fa5f80,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2acd49b9,37,33,0,3,1,0,0,4,3,0,1,0,0,0,Matches
6250083a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5e105217,9,7,0,0,2,0,0,2,2,0,0,0,0,0,Matches
20b104bc,31,28,0,1,0,2,0,1,1,0,0,0,0,0,Matches
17695062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9f4647e9,55,18,26,4,1,6,0,8,4,4,0,0,0,0,Matches
839c14e1,5,3,1,0,0,0,1,3,2,0,0,0,0,1,Matches
839c14e1,25,23,2,0,0,0,0,2,2,0,0,0,0,0,Matches
e77dc3b2,43,31,0,3,4,5,0,5,2,0,1,1,1,0,Matches
6613c819,14,12,0,0,1,1,0,2,2,0,0,0,0,0,Matches
21166ff4,21,17,1,0,2,1,0,1,1,0,0,0,0,0,Matches
1fdec858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
558807c0,19,16,1,2,0,0,0,2,2,0,0,0,0,0,Matches
6992791d,25,16,7,2,0,0,0,2,1,0,1,0,0,0,Matches
a8a3d139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
653ee42d,50,46,0,0,2,0,2,3,3,0,0,0,0,0,Matches
6adbc307,17,15,0,1,0,0,1,3,3,0,0,0,0,0,Matches
b400bde0,125,91,1,10,11,11,1,12,6,0,0,3,3,0,Matches
17d4507a,77,63,5,5,2,2,0,9,8,0,1,0,0,0,Matches
b606638c,32,28,0,2,1,1,0,3,3,0,0,0,0,0,Matches
5eecec3d,13,13,0,0,0,0,0,1,1,0,0,0,0,0,Matches
f573a8bf,5,3,0,0,1,1,0,0,0,0,0,0,0,0,Matches
1d8c99b0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,Matches
7d41b619,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
b017b770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
e9971f2d,5,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
e514ab62,60,48,8,0,1,1,2,5,4,0,0,1,0,0,Matches
15ea812b,33,27,1,0,4,0,1,8,5,1,0,2,0,0,Matches
cc2d7ad5,27,23,2,0,0,2,0,2,1,1,0,0,0,0,Matches
c2f9d19f,9,9,0,0,0,0,0,2,2,0,0,0,0,0,Matches
f1e94cd6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
75566759,24,20,0,1,2,0,1,1,1,0,0,0,0,0,Matches
b547f08c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
fc027d02,14,14,0,0,0,0,0,1,1,0,0,0,0,0,Matches
fa38722f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56f7a928,110,92,6,3,3,5,1,10,10,0,0,0,0,0,Matches
fce2302c,12,10,1,1,0,0,0,3,2,1,0,0,0,0,Matches
e7ca0439,6,6,0,0,0,0,0,1,1,0,0,0,0,0,Matches
7edfbb8a,20,19,0,0,1,0,0,2,2,0,0,0,0,0,Matches
52611641,34,26,3,2,2,1,0,2,2,0,0,0,0,0,Matches
9a104dee,3,2,0,0,1,0,0,0,0,0,0,0,0,0,Matches
9a104dee,8,6,0,1,1,0,0,0,0,0,0,0,0,0,Matches
b28bbd58,32,24,1,3,3,1,0,2,2,0,0,0,0,0,Matches
9a28eba4,111,67,0,31,1,10,2,15,11,0,3,0,1,0,Matches
fe558029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3ae14ed1,55,32,4,7,7,5,0,4,1,0,1,0,2,0,Matches
38ceb24a,90,65,11,7,4,3,0,9,5,2,1,1,0,0,Matches
552aa16c,9,8,0,0,1,0,0,2,2,0,0,0,0,0,Matches
2baec6ce,2,1,0,0,0,1,0,0,0,0,0,0,0,0,Matches
531a4aa8,9,5,1,3,0,0,0,1,0,0,1,0,0,0,Matches
c2111b45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
e06683ca,35,28,0,0,5,1,1,7,5,0,0,1,1,0,Matches
45963054,70,47,0,12,6,4,1,12,7,0,3,0,2,0,Matches
04e195ee,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
ba23a904,7,6,1,0,0,0,0,1,1,0,0,0,0,0,Matches
