id,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
d07e3b41,2,2,0,0,0,0,0,0,0,0,0,0,0,0
d0b3ceb9,9,5,4,0,0,0,0,1,0,1,0,0,0,0
d0f72bf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1c509d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d2424d1b,91,63,12,9,2,2,3,8,7,0,0,1,0,0
d2583bce,44,35,0,0,6,3,0,2,0,0,0,2,0,0
d2bff301,12,11,0,0,0,0,1,1,1,0,0,0,0,0
d328a254,68,39,12,2,9,4,2,3,2,1,0,0,0,0
d368feb8,5,5,0,0,0,0,0,0,0,0,0,0,0,0
d4cb83cc,36,29,3,0,1,2,1,8,6,0,0,0,1,1
d557d734,95,70,6,3,8,6,2,10,7,0,1,0,2,0
d56543a0,149,90,43,8,4,4,0,21,11,8,2,0,0,0
d5dd5f1f,60,42,0,7,5,5,1,11,6,0,1,2,2,0
d6f88a1d,1,1,0,0,0,0,0,0,0,0,0,0,0,0
d7492450,7,4,2,0,0,0,1,1,0,1,0,0,0,0
d79a8c87,3,3,0,0,0,0,0,0,0,0,0,0,0,0
d822a850,1,1,0,0,0,0,0,0,0,0,0,0,0,0
d8931174,45,34,2,2,5,1,1,4,2,1,0,1,0,0
d93c2511,8,5,0,1,1,1,0,0,0,0,0,0,0,0
d9565625,30,22,2,3,3,0,0,2,2,0,0,0,0,0
d9ba39fc,17,11,4,1,1,0,0,1,1,0,0,0,0,0
d9cfca3d,10,7,0,2,1,0,0,0,0,0,0,0,0,0
da052c14,33,21,0,1,5,4,2,5,3,0,0,1,0,1
da23d58d,8,7,0,0,1,0,0,3,3,0,0,0,0,0
da7b447d,14,12,0,0,2,0,0,2,0,0,0,2,0,0
da8b19e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc008610,13,7,0,1,3,2,0,1,0,0,0,1,0,0
dc10b26c,9,9,0,0,0,0,0,0,0,0,0,0,0,0
dc31b84c,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc3a9a0d,44,32,6,3,2,1,0,0,0,0,0,0,0,0
dc4cae05,79,53,5,3,7,7,4,14,8,0,2,1,2,1
dc6f5bdd,40,34,0,1,4,1,0,1,1,0,0,0,0,0
dc936144,34,29,1,0,1,3,0,2,1,0,0,0,1,0
dd0daf32,73,56,10,1,4,0,2,11,10,0,0,1,0,0
de0f152c,8,6,1,0,0,1,0,0,0,0,0,0,0,0
de112b84,2,2,0,0,0,0,0,1,1,0,0,0,0,0
def899bd,4,3,0,0,1,0,0,0,0,0,0,0,0,0
e06683ca,31,26,0,1,3,0,1,7,5,0,0,2,0,0
e082af5b,3,2,1,0,0,0,0,0,0,0,0,0,0,0
e0900238,8,4,0,2,0,2,0,2,0,0,2,0,0,0
e0991c04,3,2,0,0,1,0,0,1,0,0,0,1,0,0
e0bc6fdc,16,14,0,1,0,0,1,1,1,0,0,0,0,0
e2533c20,44,28,9,0,1,5,1,2,2,0,0,0,0,0
e2716bd0,152,124,8,6,11,3,0,19,18,1,0,0,0,0
e28868f3,70,49,1,9,3,5,3,7,2,0,1,1,3,0
e342ad68,160,104,4,26,12,14,0,21,8,1,4,3,5,0
e3a5814e,19,16,1,1,1,0,0,2,2,0,0,0,0,0
e3e6502a,3,3,0,0,0,0,0,0,0,0,0,0,0,0
e46012d4,75,52,12,6,2,3,0,6,4,1,0,0,1,0
e514ab62,41,23,13,0,2,2,1,4,3,1,0,0,0,0
e5d01ecf,35,28,4,1,0,2,0,4,4,0,0,0,0,0
e608ed4c,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e61b8aee,80,60,20,0,0,0,0,5,1,4,0,0,0,0
e726e11e,2,1,0,0,0,1,0,0,0,0,0,0,0,0
e77dc3b2,20,12,0,3,1,2,2,2,1,0,0,0,0,1
e7ca0439,16,14,1,0,1,0,0,2,2,0,0,0,0,0
e9208654,15,13,0,0,1,1,0,1,0,0,0,1,0,0
e92cd3f7,7,6,0,0,0,1,0,1,1,0,0,0,0,0
e97fd090,49,37,0,6,2,2,2,5,5,0,0,0,0,0
eaeca114,24,19,0,0,4,1,0,1,0,0,0,0,1,0
eb58eef0,57,44,3,3,3,2,2,6,5,0,0,1,0,0
eb7822d7,54,51,0,1,1,0,1,4,4,0,0,0,0,0
eba42d2b,50,39,1,2,4,4,0,3,2,0,0,0,1,0
ec9a28ce,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ecbb3fdf,44,36,0,2,4,2,0,2,1,0,0,1,0,0
ed1e53f3,16,11,0,3,0,2,0,1,1,0,0,0,0,0
ee38d9c5,190,87,54,13,10,25,1,13,9,2,1,0,1,0
ef619b0b,48,41,0,3,3,0,1,10,9,0,1,0,0,0
f13d02a6,38,26,2,5,0,4,1,4,4,0,0,0,0,0
f1e8372d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f25b010f,11,9,1,0,0,0,1,2,2,0,0,0,0,0
f25c8e3a,41,34,0,2,4,1,0,5,5,0,0,0,0,0
f2f29dda,35,23,0,0,3,9,0,2,1,0,0,0,1,0
f4290206,66,55,1,0,5,4,1,10,6,0,0,2,2,0
f522d7ec,28,20,2,3,1,2,0,1,1,0,0,0,0,0
f573a8bf,41,28,0,2,1,8,2,1,1,0,0,0,0,0
f5a00fa4,141,90,46,0,1,1,3,15,9,6,0,0,0,0
f5deef4c,13,10,0,1,1,0,1,1,1,0,0,0,0,0
f5e6d08d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f5efb153,9,8,1,0,0,0,0,0,0,0,0,0,0,0
f72293fc,71,40,17,1,8,5,0,9,6,1,0,2,0,0
f7750aa0,31,25,2,0,0,1,3,1,1,0,0,0,0,0
f7d50789,34,29,0,1,4,0,0,2,2,0,0,0,0,0
f7ee69fb,7,7,0,0,0,0,0,0,0,0,0,0,0,0
