id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
875898c7,Wesley Hoedt,nl NED,DF,Southampton,24,1994,13.0,2,0,0,15,15,0,2,23,12,0,0,2,80,33,24,57.9,Matches
9306d5ea,Jonathan Hogg,eng ENG,MF,Huddersfield,29,1988,26.3,8,1,0,58,35,1,6,73,41,0,0,0,234,31,33,48.4,Matches
33af5b9e,Junior Hoilett,ca CAN,"MF,FW",Cardiff City,28,1990,23.8,4,0,0,35,38,8,85,32,27,1,0,0,114,19,51,27.1,Matches
d79a8c87,Rob Holding,eng ENG,DF,Arsenal,22,1995,9.0,1,0,0,6,2,0,1,12,7,0,1,0,54,21,9,70.0,Matches
12aa7661,José Holebas,gr GRE,DF,Watford,34,1984,26.6,12,1,0,34,14,2,209,21,40,0,0,0,134,61,40,60.4,Matches
d0042ab9,Mason Holgate,eng ENG,DF,Everton,21,1996,4.5,1,0,0,2,7,1,0,3,4,0,0,0,21,14,16,46.7,Matches
15f3ec41,Callum Hudson-Odoi,eng ENG,FW,Chelsea,17,2000,4.4,0,0,0,1,6,3,22,3,6,0,0,0,27,2,2,50.0,Matches
a0666d3e,Will Hughes,eng ENG,MF,Watford,23,1995,26.9,5,0,0,54,71,0,21,25,43,0,0,0,160,22,37,37.3,Matches
3be1a627,Emerson Hyndman,us USA,MF,Bournemouth,22,1996,0.4,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0.0,Matches
8b04d6c1,Pierre Højbjerg,dk DEN,MF,Southampton,22,1995,30.7,8,2,1,47,48,0,29,60,49,0,0,0,269,47,29,61.8,Matches
9f736ed2,Jordon Ibe,eng ENG,"MF,DF",Bournemouth,22,1995,8.9,1,0,0,8,10,0,27,4,5,0,0,0,33,2,6,25.0,Matches
ad1ffcfd,Vicente Iborra,es ESP,MF,Leicester City,30,1988,2.5,0,0,0,6,1,0,0,8,1,0,0,0,22,8,3,72.7,Matches
c92e1a31,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,21,1996,10.5,2,0,0,14,7,8,6,2,5,1,0,0,34,14,36,28.0,Matches
07802f7f,Danny Ings,eng ENG,FW,Southampton,26,1992,18.3,1,0,0,16,22,6,14,5,14,3,0,0,74,19,58,24.7,Matches
6ca5ec4b,Alex Iwobi,ng NGA,"FW,MF",Arsenal,22,1996,21.9,0,0,0,8,13,2,57,12,14,0,0,0,90,4,21,16.0,Matches
ca2bc3df,José Izquierdo,co COL,"MF,FW",Brighton,26,1992,8.8,1,0,0,6,5,4,6,5,9,1,0,0,46,3,15,16.7,Matches
3233eefd,Phil Jagielka,eng ENG,DF,Everton,35,1982,3.7,0,1,0,2,3,0,0,2,5,0,0,0,14,14,15,48.3,Matches
08452314,Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,24,1993,11.3,2,0,0,19,8,6,23,11,18,0,1,0,76,11,18,37.9,Matches
45da6694,Daryl Janmaat,nl NED,DF,Watford,29,1989,16.9,3,0,0,16,1,1,61,33,24,0,0,0,103,20,13,60.6,Matches
31dce0c8,Vincent Janssen,nl NED,FW,Tottenham,24,1994,0.4,0,0,0,2,0,1,1,0,1,0,0,0,1,3,2,60.0,Matches
874125a3,Carl Jenkinson,eng ENG,DF,Arsenal,26,1992,1.8,0,0,0,1,0,0,3,0,2,0,0,0,8,1,2,33.3,Matches
b66315ae,Gabriel Jesus,br BRA,FW,Manchester City,21,1997,11.5,1,0,0,12,18,13,4,3,3,0,0,0,39,15,39,27.8,Matches
b561db50,Raúl Jiménez,mx MEX,FW,Wolves,27,1991,34.6,4,0,0,42,38,33,27,26,18,1,0,0,139,77,104,42.5,Matches
a48da055,Stefan Johansen,no NOR,MF,Fulham,27,1991,4.6,4,0,0,6,2,0,9,3,3,0,0,0,35,3,6,33.3,Matches
9319781b,Ben Johnson,eng ENG,DF,West Ham,18,2000,0.7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
4701e130,Tyreke Johnson,eng ENG,MF,Southampton,19,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
def899bd,Phil Jones,eng ENG,DF,Manchester Utd,26,1992,14.0,1,0,0,8,10,0,1,23,13,0,0,0,92,46,18,71.9,Matches
45db685d,Jorginho,it ITA,MF,Chelsea,26,1991,35.1,8,0,0,33,22,0,2,64,38,0,0,0,274,12,21,36.4,Matches
6265208f,Joselu,es ESP,FW,Newcastle Utd,28,1990,6.6,1,0,0,5,7,4,3,3,8,0,0,0,22,43,40,51.8,Matches
178ae8f8,Diogo Jota,pt POR,"FW,MF",Wolves,21,1996,26.2,11,0,0,42,55,6,36,13,16,0,0,0,138,27,68,28.4,Matches
0db5d2c8,Mathias Jørgensen,dk DEN,DF,Huddersfield,28,1990,23.9,6,0,0,33,14,0,4,69,31,0,1,0,152,36,51,41.4,Matches
914ab9a1,Christian Kabasele,be BEL,DF,Watford,27,1991,17.6,4,1,1,22,14,0,1,38,14,0,2,0,60,60,43,58.3,Matches
5bddccc9,Elias Kachunga,cd COD,"FW,MF",Huddersfield,26,1992,13.1,2,0,0,24,21,9,15,4,9,0,1,0,43,23,29,44.2,Matches
4047c976,Aboubakar Kamara,mr MTN,FW,Fulham,23,1995,7.7,2,0,0,24,4,7,18,1,4,1,0,0,28,12,14,46.2,Matches
21a66f6a,Harry Kane,eng ENG,FW,Tottenham,25,1993,26.9,5,0,0,31,52,10,12,1,6,1,0,0,58,47,67,41.2,Matches
b9fbae28,N'Golo Kanté,fr FRA,MF,Chelsea,27,1991,34.4,3,0,0,35,13,6,19,44,41,0,0,0,238,27,41,39.7,Matches
26679cdf,Beram Kayal,il ISR,MF,Brighton,30,1988,10.4,4,0,0,18,7,0,10,15,17,0,1,0,56,15,26,36.6,Matches
c5b7c315,Michael Keane,eng ENG,DF,Everton,25,1993,33.0,2,0,0,22,7,0,4,43,25,0,0,0,161,191,122,61.0,Matches
