id,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
0000acda,6,1,0,25,21,2,0,1,0
00528660,0,0,0,5,7,0,0,0,0
008a6e6d,2,0,0,7,4,0,0,0,0
00b0bb87,3,0,0,11,6,0,0,1,0
01b8a2b2,0,0,0,0,1,0,0,0,0
01efac19,0,0,0,4,3,0,0,0,0
023937a9,9,0,0,41,33,2,0,0,0
02b2937c,3,0,0,6,9,0,0,0,0
02caf6e0,7,0,0,28,61,0,1,0,0
02febfdc,4,0,0,11,39,0,0,0,0
0375723e,0,0,0,13,8,1,0,0,0
03760df0,0,0,0,0,2,0,0,0,0
03f946ed,8,0,0,44,46,6,1,0,0
0412b9cd,0,0,0,1,0,0,0,0,0
048877f5,2,0,0,0,4,0,0,0,0
0497a545,0,0,0,1,1,0,0,0,0
05e19d6a,8,0,0,48,30,3,0,1,0
06050480,0,0,0,2,2,0,0,0,0
060606ec,3,0,0,21,28,3,0,0,0
07767f42,4,1,1,37,39,0,0,2,0
07abb358,2,1,1,28,26,5,0,0,0
07ea0ef2,4,0,0,23,6,0,0,1,1
07f55871,0,0,0,0,0,0,0,0,0
0821331c,8,1,1,31,34,2,0,1,1
0830a4f9,0,0,0,1,0,0,0,0,0
085e71a7,2,0,0,1,4,0,0,1,0
089550f5,6,0,0,27,69,0,0,0,0
08aa9cd1,2,0,0,30,30,8,0,0,0
08f5afaa,4,0,0,0,1,0,0,0,0
091795f2,0,0,0,0,0,0,0,0,0
09538fdb,2,0,0,32,35,22,4,0,0
098139eb,2,0,0,9,4,0,0,0,0
0a3065c8,5,1,0,46,36,3,0,0,0
0a447501,1,0,0,19,15,2,1,0,0
0ab1f153,4,0,0,15,39,1,0,0,0
0acda699,0,0,0,0,0,0,0,0,0
0b5a292a,5,1,1,17,17,3,0,0,0
0cd0e21b,1,0,0,4,1,2,0,0,0
0d077b88,8,1,1,43,24,1,0,1,0
0d82903c,7,0,0,49,49,2,0,1,0
0e21fc3c,4,0,0,20,23,0,0,0,0
0f933743,2,0,0,7,3,0,0,0,1
