id,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks
819b3158,413,12,7,5,0,6,2,3,0,1,0,2,6
821233cc,32,0,0,0,0,0,0,0,0,0,0,0,0
82dbf623,65,1,0,0,0,0,0,0,0,0,0,0,0
8320fe65,153,2,2,0,0,0,0,0,0,0,0,0,1
8325870c,207,7,7,0,6,0,0,0,0,0,0,5,0
833fb62e,13,1,1,0,0,1,0,0,0,0,0,1,0
834b5c4c,56,44,7,0,0,0,0,0,0,0,0,1,0
83534f30,290,14,10,1,8,4,3,1,0,1,0,1,0
8494acc4,157,6,3,0,1,1,3,0,0,0,0,0,0
849c826a,158,22,1,3,3,20,9,12,11,0,1,0,8
84ad89fa,160,6,6,0,0,2,0,0,0,0,0,0,2
852351df,255,61,11,0,6,8,50,0,0,0,0,0,6
854ee61a,40,0,0,0,0,0,0,0,0,0,0,0,0
85613cf0,11,2,0,0,0,0,0,0,0,0,0,0,0
85686f86,19,1,0,0,0,0,1,0,0,0,0,0,0
85b0c4c6,19,0,0,0,0,0,0,0,0,0,0,0,1
862fa9fb,57,1,1,0,0,0,0,0,0,0,0,0,1
8637e09a,134,1,0,2,0,0,0,0,0,0,0,0,5
864db10a,268,58,3,0,0,24,55,0,0,0,0,2,8
867239d3,227,6,3,2,1,1,3,0,0,0,0,0,5
86c75897,364,13,12,0,6,0,1,0,0,0,0,1,2
86dd77d1,526,49,7,2,4,14,42,0,0,0,0,1,8
86e7deaf,342,10,8,0,2,0,2,0,0,0,0,1,3
874d7a32,202,8,8,0,1,1,0,0,0,0,0,0,2
87575fd9,125,1,1,0,0,1,0,0,0,0,0,0,2
8778c910,21,3,0,0,0,0,0,0,0,0,0,0,0
8794e251,511,11,11,1,2,1,0,0,0,0,0,0,5
87d8b5a3,99,16,2,1,1,7,14,0,0,0,0,0,8
881ef58c,77,1,0,0,0,2,1,0,0,0,0,1,1
8827bf46,62,2,1,0,1,2,0,1,1,0,0,0,3
89565ac5,193,21,3,0,0,7,17,1,0,1,0,0,2
89ac64a6,255,5,5,0,2,1,0,0,0,0,0,1,0
89b2c8a9,122,7,0,7,0,3,1,0,0,0,0,0,5
89d10e53,90,24,4,0,2,14,14,6,2,1,1,0,3
89f951b5,722,46,20,3,14,19,3,23,14,2,1,2,5
8a08491a,202,9,2,6,5,2,0,0,0,0,0,1,5
8a7a5ad7,287,71,6,0,1,15,65,0,0,0,0,0,9
8b788c01,156,4,0,2,3,12,3,0,0,0,0,1,6
8b8a56ce,255,4,4,0,3,0,0,0,0,0,0,1,0
8b8e759d,8,0,0,0,0,0,0,0,0,0,0,0,1
8b9ebd03,203,13,4,1,3,12,0,9,2,2,0,2,6
8ce30c57,269,47,18,0,4,0,29,0,0,0,0,2,10
8d78e732,214,5,1,3,1,9,0,0,0,0,0,2,14
8e92be30,0,0,0,0,0,0,0,0,0,0,0,0,0
8f62b6ee,174,72,20,0,1,0,0,0,0,0,0,0,0
8f898ba8,37,4,0,0,0,0,0,0,0,0,0,1,1
8f8c6934,46,34,8,0,1,0,0,0,0,0,0,0,0
8fd9996f,251,2,2,0,2,0,0,0,0,0,0,0,3
8fe2101a,15,0,0,0,0,0,0,0,0,0,0,0,0
8ff2354e,251,51,4,0,0,9,47,0,0,0,0,2,5
90339309,225,16,4,0,7,1,12,0,0,0,0,0,3
903b6e8b,109,49,12,0,0,0,0,0,0,0,0,0,0
90f3beec,126,27,2,0,1,3,25,0,0,0,0,2,6
9139bb12,264,32,12,2,2,20,2,18,2,12,0,1,8
91976866,6,0,0,0,0,1,0,0,0,0,0,0,0
92e7e919,123,2,0,1,0,4,0,1,0,0,0,2,2
935e6b8f,581,22,15,6,5,10,3,4,1,3,0,6,5
942b4f90,174,21,0,0,0,5,1,0,0,0,0,0,3
947e036f,158,10,6,2,2,7,0,3,1,2,0,0,2
94b2001f,381,36,4,2,2,4,32,0,0,0,0,1,7
96094cbc,416,43,23,1,8,27,1,15,3,9,1,2,7
962e54cb,4,1,0,0,0,0,0,0,0,0,0,0,1
963a328b,224,8,7,1,3,1,0,1,0,0,0,0,2
96e0490d,142,12,0,0,0,6,12,0,0,0,0,0,8
972d595a,80,42,8,0,1,0,0,0,0,0,0,1,0
97333cf5,105,9,3,0,2,7,0,6,2,2,0,0,1
9744ff80,363,33,5,2,0,46,8,20,11,6,0,3,6
97bfa797,56,8,0,0,1,3,2,0,0,0,0,0,3
980522ec,288,38,15,6,4,29,2,18,8,8,0,1,11
981869fc,135,27,4,0,1,11,23,0,0,0,0,0,6
984a5a64,17,0,0,0,0,1,0,0,0,0,0,0,0
98e0ad35,161,37,4,0,0,9,33,0,0,0,0,3,7
99813635,54,3,2,0,0,1,1,0,0,0,0,0,1
99b1d0e6,32,13,3,0,0,2,10,0,0,0,0,0,0
9a104dee,113,9,0,0,0,0,0,0,0,0,0,4,3
9a2e0ccc,137,31,6,0,0,26,3,22,7,11,0,7,5
9bcd6455,141,10,0,0,1,1,2,0,0,0,0,0,4
9c824717,253,27,16,2,2,20,0,11,3,7,1,2,3
9c94165b,51,6,0,0,0,2,6,0,0,0,0,0,3
9d12e142,205,49,15,0,0,0,0,0,0,0,0,0,0
9d60028d,13,1,0,0,0,0,0,0,0,0,0,0,0
9d73993b,159,19,1,0,2,0,0,0,0,0,0,1,5
9d8586c4,223,44,4,0,3,8,40,0,0,0,0,2,11
9d8ba8ec,157,7,7,0,2,0,0,0,0,0,0,1,2
9efa1d25,241,18,2,1,1,21,2,14,6,7,0,0,3
9f31b1d3,96,4,4,1,0,1,0,0,0,0,0,0,1
9f8e9423,522,21,20,0,7,1,1,0,0,0,0,3,4
9fb640a8,65,8,2,0,0,0,1,0,0,0,0,3,0
Bruno-Costa,0,0,0,0,0,0,0,0,0,0,0,0,0
a022e78c,78,5,0,0,0,4,3,2,0,1,0,2,2
a02543c3,215,14,12,0,2,2,1,1,0,1,0,0,5
a0b4bb3e,639,33,5,7,13,30,3,19,7,4,1,3,7
a1232f4e,160,5,4,0,0,0,1,0,0,0,0,0,0
a1c2666d,10,1,0,0,0,0,0,1,0,0,0,0,0
a1d5bd30,131,12,0,3,4,19,2,10,6,3,0,0,5
a274dccb,10,0,0,0,0,0,0,0,0,0,0,0,0
a372a9f2,333,8,7,0,0,2,0,1,0,1,0,0,4
a382462b,78,4,4,0,1,3,0,0,0,0,0,0,3
a39bb753,268,5,0,1,6,9,1,1,0,0,0,2,9
a3e1d20d,92,1,1,0,1,0,0,0,0,0,0,0,0
a40d5a0c,335,23,4,0,0,46,4,15,7,3,0,1,14
a45eac1f,72,4,0,0,0,2,1,0,0,0,0,0,3
a49fd565,232,4,4,0,0,1,0,0,0,0,0,0,2
a4aa453f,49,1,0,0,0,1,0,1,0,1,0,0,3
a4effc55,57,2,2,0,1,0,0,0,0,0,0,0,0
a4f642c5,27,1,0,3,0,0,0,0,0,0,0,0,1
a5296e55,180,3,3,1,2,3,0,0,0,0,0,6,4
a58bb1e1,129,1,0,0,4,10,1,0,0,0,0,1,4
a6154613,295,19,0,1,2,4,3,0,0,0,0,3,13
a65ce836,413,6,3,0,4,9,3,0,0,0,0,1,3
a6997e06,130,17,2,0,2,4,15,0,0,0,0,0,3
a72c139d,73,0,0,0,3,0,0,0,0,0,0,0,0
a78ff07f,8,0,0,0,0,0,0,0,0,0,0,0,0
a7a9d95a,53,0,0,1,0,0,0,0,0,0,0,0,2
a8542814,297,23,13,2,2,3,1,0,0,0,0,0,6
a8741470,28,1,1,0,0,0,0,0,0,0,0,0,0
a8c62306,46,16,2,0,1,8,0,5,2,3,0,0,1
a92669f6,120,3,3,0,0,0,0,0,0,0,0,0,1
a96e5dc0,187,29,5,0,0,5,24,0,0,0,0,2,7
a9e68c94,137,30,5,1,3,20,1,13,4,9,0,0,6
aae44006,1,1,0,0,0,0,1,0,0,0,0,0,0
ab4b3e35,308,24,4,0,0,20,2,18,2,9,0,0,10
ab6928f2,121,42,3,0,1,6,39,0,0,0,0,0,6
abe66106,48,7,1,0,0,6,1,5,1,3,0,0,5
ac861941,353,10,10,1,5,2,0,0,0,0,0,0,5
ad1d334f,380,22,12,2,18,15,1,9,2,0,5,1,9
ad28ee23,2,0,0,0,0,0,0,0,0,0,0,0,0
ad6295d4,45,17,0,0,2,9,17,0,0,0,0,1,1
ad6df2d5,398,53,33,1,6,25,1,19,10,7,0,2,2
ade993b9,106,6,3,1,0,4,2,1,1,0,0,1,4
adfbe1f5,0,0,0,0,0,0,0,0,0,0,0,0,0
adfc9123,539,21,21,0,7,0,0,0,0,0,0,0,0
ae4e2852,230,37,7,0,3,8,30,0,0,0,0,0,2
ae8ec371,73,0,0,0,0,5,0,0,0,0,0,0,2
aef6e670,90,5,5,0,0,0,0,0,0,0,0,0,3
af00baef,190,6,6,0,2,0,0,0,0,0,0,0,2
af245161,125,97,32,0,0,0,0,0,0,0,0,0,0
af45e954,75,5,0,2,0,2,0,0,0,0,0,0,1
af7e69d1,121,21,1,0,3,8,16,4,1,2,0,1,6
afa0d4e0,158,9,1,1,1,5,7,0,0,0,0,1,5
b0616e3d,536,125,20,0,2,17,105,0,0,0,0,1,13
b15780e3,170,83,28,0,0,0,0,0,0,0,0,1,1
b182a240,189,16,4,1,1,15,4,7,4,1,0,0,6
b19db005,55,2,1,0,0,0,1,0,0,0,0,0,1
b1f4086c,199,35,8,0,3,9,27,0,0,0,0,0,5
b20ce5eb,135,5,5,0,2,0,0,0,0,0,0,1,0
