id,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
73000a79,84,78,6,1,0,0,1,5,0,0,0,0,76,0,1
733e7ad8,140,133,5,4,0,0,6,1,0,0,0,0,109,2,6
73d6a176,5,4,1,0,0,0,0,1,0,0,0,0,4,0,0
73fc8cc3,4,3,1,1,0,0,0,0,0,0,0,0,2,0,0
74419746,224,169,55,9,0,0,0,0,0,0,0,0,189,0,0
7460ca0d,600,520,77,45,5,15,39,2,30,6,14,2,505,3,10
746b64a7,272,252,20,20,0,2,0,0,0,0,0,0,226,0,2
746fec7d,47,38,8,3,0,0,6,4,1,1,0,0,27,1,3
7483d9f9,86,85,1,1,0,0,0,0,0,0,0,0,72,0,0
76d5857d,68,61,7,1,0,2,1,6,0,0,0,0,54,0,0
77d7c96f,88,68,20,0,0,0,4,20,0,0,0,0,58,0,5
77e84962,835,809,25,20,4,22,0,2,2,0,0,0,759,1,7
78841da9,273,249,23,7,0,5,28,4,12,2,10,0,223,1,2
79c0821a,395,378,15,12,3,3,3,2,1,0,0,0,354,2,5
7a11550b,515,491,23,13,0,7,7,10,0,0,0,0,439,1,2
7a2e46a8,173,142,31,3,0,1,0,0,0,0,0,0,159,0,0
7a4cea18,70,62,8,3,0,1,6,1,1,1,0,0,62,0,1
7b075c75,32,27,4,0,0,0,0,4,0,0,0,0,26,1,1
7bcc0708,99,91,8,3,0,1,15,1,4,2,2,0,72,0,4
7c104bb7,23,22,1,0,1,0,0,1,0,0,0,0,18,0,1
7c3ed041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7c56da38,217,181,34,5,1,0,32,3,23,19,3,0,163,2,6
7edfbb8a,263,253,9,5,0,6,0,4,0,0,0,0,226,1,1
7f3b388c,399,389,10,9,1,3,1,1,0,0,0,0,349,0,6
7f97771d,332,325,6,6,0,1,1,0,0,0,0,0,309,1,0
7fa4e703,26,25,1,0,0,0,2,1,0,0,0,0,22,0,1
7fcc71d8,170,162,7,1,1,4,16,4,2,0,1,0,120,1,4
7ff93107,11,11,0,0,0,0,1,0,0,0,0,0,8,0,0
80490d7f,240,230,8,8,0,8,1,0,0,0,0,0,185,2,1
807e869a,29,27,1,1,0,0,1,0,0,0,0,0,19,1,0
808d48f3,124,102,21,3,0,0,3,18,0,0,0,0,90,1,1
808df563,73,67,6,0,0,0,1,6,0,0,0,0,62,0,0
8104e41e,175,146,27,1,4,2,18,17,9,2,7,0,109,2,3
810e40c1,6,5,1,0,0,0,3,1,0,0,0,0,4,0,0
819b3158,720,695,23,14,4,0,12,1,7,4,0,0,662,2,7
82518f62,120,115,5,5,0,0,0,0,0,0,0,0,97,0,3
8263d615,4,3,1,0,0,0,0,1,0,0,0,0,4,0,0
82a8d4cc,28,28,0,0,0,0,2,0,0,0,0,0,16,0,3
82b1198a,62,47,15,4,0,1,0,0,0,0,0,0,54,0,0
82dbf623,40,40,0,0,0,0,0,0,0,0,0,0,28,0,0
82efe6fa,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
834d0be5,45,40,5,0,0,0,0,0,0,0,0,0,37,0,1
8387afe6,103,82,20,5,0,0,1,15,0,0,0,0,74,1,4
