id,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
04ac8285,0,4,2,28.6,1.6,104,242,351,69,94,195,6,14,13969.8,5132.4,224.0
10072610,0,1,2,18.6,1.6,109,272,405,53,99,251,6,9,16159.5,4742.1,99.0
17a1299d,0,0,0,0.6,-0.4,5,10,31,2,3,17,1,0,902.1,147.9,0.0
1840e36d,1,2,0,33.3,4.3,74,251,936,188,199,467,21,31,26956.8,6825.7,480.5
30061f53,1,0,0,1.5,-1.5,1,10,21,6,10,13,0,1,716.1,327.0,12.5
3061e1ec,0,0,0,3.6,1.6,5,10,57,13,23,39,3,0,1328.1,772.8,0.0
3318286e,0,7,2,56.0,3.0,232,730,839,149,335,574,29,54,35741.4,17587.5,950.4
374ee424,1,5,0,31.4,-0.6,195,466,1015,125,241,465,18,48,33393.5,10869.1,787.2
4535e4bb,0,3,0,4.1,-0.9,16,55,88,14,19,57,3,3,3467.2,885.4,41.1
4eae5bc4,0,0,0,0.0,0.0,0,6,4,0,2,5,1,0,244.0,136.0,0.0
58bc7d18,0,1,0,17.2,0.2,75,218,348,77,136,217,8,15,12667.2,5548.8,228.0
5dcf3e90,0,2,1,31.9,1.9,145,371,692,189,243,529,29,35,23389.6,10278.9,532.0
5f0241b2,0,4,2,21.4,-5.6,94,201,270,50,90,194,2,5,10638.0,4356.0,63.0
605eb473,0,1,1,27.2,2.2,140,357,453,67,188,333,14,9,18346.5,8253.2,104.4
625c144a,0,2,1,28.2,1.2,131,333,1073,161,214,478,22,52,31868.1,8003.6,858.0
67669ce7,0,0,0,4.2,-1.8,35,88,91,13,37,41,3,10,4004.0,1894.4,161.0
6c4776b1,0,10,0,52.8,1.8,272,792,840,119,313,586,42,28,38640.0,18842.6,338.8
6f51e382,0,6,0,30.1,-3.9,130,255,1072,147,205,342,15,34,28836.8,6949.5,520.2
73683fa9,0,4,2,50.3,3.3,158,429,859,207,298,616,35,43,29034.2,11532.6,589.1
87b498b0,0,0,0,1.0,-2.0,4,10,32,9,2,16,0,5,921.6,142.0,131.5
8f29e08b,0,1,1,1.1,-0.9,8,26,32,6,9,17,1,7,1395.2,554.4,154.0
8f8c6934,0,5,1,40.9,0.9,366,863,888,101,292,571,25,45,41380.8,15797.2,675.0
924ff27e,0,0,1,3.6,-0.4,9,27,51,7,16,36,1,5,1744.2,585.6,94.5
97852360,0,9,0,51.8,-8.2,331,693,721,85,308,545,24,43,32084.5,15584.8,675.1
9970da54,0,1,0,5.9,1.9,29,69,67,9,40,66,2,3,3008.3,2060.0,43.8
9f0ea33f,0,1,0,8.9,-0.1,15,52,170,38,56,105,3,14,4760.0,1803.2,235.2
a01c3d54,0,8,0,23.5,-5.5,59,154,286,66,92,177,9,21,10353.2,3210.8,380.1
a2c1a8d3,0,0,0,5.0,0.0,13,31,56,12,26,48,1,6,1853.6,936.0,105.0
a4995f48,0,10,1,48.1,1.1,388,850,852,78,306,529,23,64,39618.0,17901.0,1158.4
a9dc785c,1,1,0,4.1,0.1,17,34,106,18,24,42,0,4,3349.6,700.8,72.0
ac295d9e,0,0,0,4.1,-0.9,24,58,191,27,33,66,4,12,5825.5,1181.4,210.0
b5bdf144,0,0,0,2.4,1.4,9,27,33,5,10,30,3,0,1346.4,572.0,0.0
b6160ad0,0,1,2,43.3,2.3,303,804,1176,131,283,452,36,37,47392.8,14829.2,529.1
c67cd65c,0,0,0,0.0,0.0,2,4,3,0,1,4,0,0,171.0,65.0,0.0
c818c4d9,0,1,0,12.0,-1.0,42,94,178,42,53,90,9,6,6158.8,2469.8,66.0
c9cb972b,0,1,1,4.3,1.3,29,67,75,7,32,66,1,2,3195.0,1683.2,18.6
d4b73232,0,2,0,21.1,1.1,115,314,346,64,149,273,13,29,14324.4,8001.3,472.7
d6e3d7fb,0,0,0,0.8,-0.2,9,21,20,2,3,8,0,2,1066.0,204.9,35.2
e1846dde,1,5,0,41.5,-4.5,92,296,525,85,198,332,10,26,19215.0,7068.6,405.6
e4346678,0,5,0,37.3,2.3,182,408,618,106,210,399,17,41,22309.8,10332.0,664.2
ea83bfa6,0,2,0,20.5,-0.5,92,275,557,104,176,341,18,32,18436.7,7321.6,502.4
ee8508c0,2,4,3,32.3,-7.7,170,598,810,155,283,477,27,29,31590.0,13753.8,400.2
f38284bb,0,0,0,0.8,-0.2,2,6,17,0,8,19,0,0,530.4,167.2,0.0
f6798fc3,2,6,0,26.6,2.6,152,378,829,116,241,420,27,24,27439.9,9929.2,307.2
fc70e345,0,3,1,37.7,1.7,182,554,711,151,230,405,35,35,29933.1,12305.0,486.5
