id,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
778ccc44,Thomas Kastanaras,gr GRE,"FW,DF",Stuttgart,20-061,2003,0.8,14,17,82.4,175,38,8,9,88.9,3,3,100.0,1,1,100.0,0,0.1,0.0,-0.1,1,2,1,1,2,Matches
de4cac2d,Silas Katompa,cd COD,"FW,DF",Stuttgart,24-156,1998,16.0,215,294,73.1,3278,802,115,143,80.4,78,99,78.8,11,20,55.0,2,1.2,1.9,+0.8,13,14,12,3,30,Matches
d2c580ce,Yannik Keitel,de GER,MF,Freiburg,23-024,2000,4.9,150,186,80.6,2625,517,70,76,92.1,62,80,77.5,16,23,69.6,2,0.1,0.2,+1.9,3,15,2,0,20,Matches
815c314f,Marc-Oliver Kempf,de GER,DF,Hertha BSC,28-042,1995,22.3,782,1009,77.5,14745,6152,301,346,87.0,391,462,84.6,80,156,51.3,0,0.2,0.5,-0.2,4,46,5,0,63,Matches
099e666f,Jonjoe Kenny,eng ENG,DF,Hertha BSC,25-361,1997,17.8,663,904,73.3,12256,5810,267,319,83.7,309,393,78.6,71,141,50.4,1,1.1,1.2,-0.1,11,66,7,5,73,Matches
59e4b92e,Rani Khedira,de GER,MF,Union Berlin,29-043,1994,21.3,519,692,75.0,8464,2003,241,291,82.8,228,284,80.3,33,72,45.8,0,0.3,0.8,-0.3,5,42,4,1,47,Matches
610aa1e9,Luca Kilian,de GER,DF,Köln,23-191,1999,12.2,578,673,85.9,11467,3267,142,162,87.7,376,396,94.9,55,99,55.6,0,0.1,0.2,-0.1,2,36,0,0,48,Matches
49296448,Joshua Kimmich,de GER,MF,Bayern Munich,28-031,1995,20.6,1548,1831,84.5,28886,9443,657,699,94.0,652,730,89.3,211,344,61.3,4,3.7,5.5,+0.3,46,190,44,2,210,Matches
ca8033cb,Lukas Klostermann,de GER,DF,RB Leipzig,26-281,1996,4.2,259,301,86.0,4899,1465,90,101,89.1,146,157,93.0,21,36,58.3,0,0.0,0.1,0.0,0,10,2,0,13,Matches
19a967ab,Ansgar Knauff,de GER,DF,Eint Frankfurt,21-060,2002,11.5,342,522,65.5,5224,2263,177,228,77.6,138,204,67.6,19,43,44.2,1,1.3,1.5,-0.3,4,22,10,4,30,Matches
6bd5cd5d,Robin Knoche,de GER,DF,Union Berlin,30-293,1992,22.0,951,1181,80.5,20265,7833,258,290,89.0,540,597,90.5,146,256,57.0,0,0.1,0.2,-0.1,2,60,1,0,61,Matches
cd59b9df,Gregor Kobel,ch SUI,GK,Dortmund,25-095,1997,18.0,588,727,80.9,15123,9116,105,105,100.0,315,319,98.7,165,298,55.4,0,0.0,0.0,0.0,0,8,0,0,0,Matches
0fbecd11,Dominik Kohr,de GER,MF,Mainz 05,29-039,1994,17.5,593,821,72.2,9737,3364,287,351,81.8,241,316,76.3,41,99,41.4,0,0.5,0.9,-0.5,11,81,10,0,104,Matches
c0b3669f,Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,24-096,1998,19.8,274,434,63.1,3611,784,165,242,68.2,79,117,67.5,11,21,52.4,10,3.5,2.8,+6.5,23,17,17,2,40,Matches
ab096c6f,Timothée Kolodziejczak,fr FRA,DF,Schalke 04,31-161,1991,0.3,14,17,82.4,289,157,8,8,100.0,3,5,60.0,3,4,75.0,0,0.0,0.0,0.0,0,4,0,0,0,Matches
86574238,Kouadio Koné,fr FRA,MF,M'Gladbach,21-298,2001,21.3,896,1047,85.6,14128,4586,467,515,90.7,357,395,90.4,51,78,65.4,1,1.2,1.1,-0.2,16,107,12,0,129,Matches
1f3afdcb,Odilon Kossonou,ci CIV,DF,Leverkusen,22-066,2001,9.9,518,621,83.4,8545,2986,236,263,89.7,241,270,89.3,30,56,53.6,1,0.1,0.5,+0.9,3,37,2,1,40,Matches
b1cd37e6,Filip Kostić,rs SRB,"DF,MF",Eint Frankfurt,30-130,1992,0.8,23,40,57.5,469,260,8,11,72.7,12,16,75.0,3,11,27.3,0,0.1,0.1,-0.1,1,1,1,0,4,Matches
dc366c36,Tomáš Koubek,cz CZE,GK,Augsburg,30-197,1992,4.0,108,166,65.1,4145,3368,7,7,100.0,47,47,100.0,54,112,48.2,0,0.0,0.0,0.0,0,10,0,0,0,Matches
f1e855eb,Soichiro Kozuki,jp JPN,"FW,MF",Schalke 04,22-079,2000,4.2,52,85,61.2,950,298,27,36,75.0,17,31,54.8,8,12,66.7,0,0.3,0.4,-0.3,4,3,3,2,10,Matches
e717705a,Alex Král,cz CZE,MF,Schalke 04,24-296,1998,15.2,300,457,65.6,5290,1745,120,176,68.2,136,176,77.3,28,62,45.2,0,0.2,0.6,-0.2,4,32,3,1,45,Matches
