id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
8637e09a,Vincent Aboubakar,cm CMR,FW,pt Porto,25,1992,5.5,178,1,10,106,63,20,178,8,2,25.0,6,75.0,127,463,140,4,6,2,8,15,154,38,Matches
81442ecb,Marcos Acuña,ar ARG,"FW,DF",pt Sporting CP,25,1991,4.8,210,5,35,114,70,3,210,16,9,56.3,7,43.8,118,706,259,12,6,0,14,9,125,19,Matches
c81d773d,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,19,1997,1.0,98,5,28,68,3,0,98,0,0,,0,,86,220,95,0,0,0,0,0,82,0,Matches
9d8586c4,Adriano,br BRA,DF,tr Beşiktaş,32,1984,5.4,321,16,102,170,50,0,321,7,4,57.1,3,42.9,129,843,491,14,6,0,2,1,154,11,Matches
2557c196,Luiz Adriano,br BRA,"FW,MF",ru Spartak Moscow,30,1987,6.0,218,16,22,111,87,15,218,8,6,75.0,2,25.0,121,558,190,8,5,2,20,9,156,35,Matches
42a632ba,Ansi Agolli,al ALB,DF,az Qarabağ FK,34,1982,4.0,262,26,84,138,42,0,262,3,2,66.7,1,33.3,151,630,296,6,3,0,0,2,174,14,Matches
4d034881,Sergio Agüero,ar ARG,FW,eng Manchester City,29,1988,4.9,186,0,4,72,113,36,184,11,7,63.6,4,36.4,137,764,370,17,9,10,9,13,148,37,Matches
0ff9eabc,Karim El Ahmadi,ma MAR,MF,nl Feyenoord,32,1985,4.0,228,6,62,148,22,0,228,0,0,,0,,135,602,187,1,1,0,3,5,140,1,Matches
5d91cf0f,Valon Ahmedi,al ALB,"MF,FW",si NK Maribor,22,1994,2.5,104,0,12,46,48,3,104,8,2,25.0,6,75.0,67,502,204,9,6,2,4,6,76,12,Matches
2b1c4abd,Albian Ajeti,ch SUI,FW,ch Basel,20,1997,1.1,16,0,0,8,8,1,16,0,0,,0,,8,53,17,0,0,0,1,2,11,2,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,ch Basel,22,1995,6.0,326,30,165,153,11,6,326,2,1,50.0,1,50.0,191,1243,740,7,3,0,1,1,208,0,Matches
42ec696a,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6.0,190,169,189,1,0,0,190,0,0,,0,,82,470,398,0,0,0,0,0,72,0,Matches
05439de2,David Alaba,at AUT,DF,de Bayern Munich,25,1992,6.9,448,18,80,185,185,15,448,2,0,0.0,2,100.0,255,1149,611,20,17,2,5,3,293,62,Matches
4601e194,Jordi Alba,es ESP,DF,es Barcelona,28,1989,7.1,628,32,146,311,174,7,628,5,2,40.0,3,60.0,359,1263,573,7,9,1,6,1,451,61,Matches
4bd414c1,Raúl Albiol,es ESP,DF,it Napoli,31,1985,5.0,433,26,163,260,12,6,433,0,0,,0,,261,1366,783,3,0,0,1,0,323,1,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,es Barcelona,23,1993,1.1,63,0,8,29,26,6,63,1,0,0.0,1,100.0,40,135,28,0,1,0,0,3,50,11,Matches
77e84962,Thiago Alcántara,es ESP,MF,de Bayern Munich,26,1991,6.7,655,13,111,407,148,6,655,24,19,79.2,5,20.8,404,1778,943,9,12,1,9,10,499,18,Matches
f7d50789,Toby Alderweireld,be BEL,DF,eng Tottenham,28,1989,3.3,204,25,100,98,6,2,204,0,0,,0,,111,479,196,1,1,0,1,1,130,1,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,18,1998,9.1,704,30,166,357,188,9,704,13,5,38.5,8,61.5,407,1694,1086,21,23,1,3,4,421,54,Matches
