id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
4e6dbac4,Sergej Milinković-Savić,rs SRB,MF,Lazio,28-012,1995,23,1920,83,85.3,21.3,22,86,15,1,27,1,1.83,36,16,+20,+0.94,+0.39,27.7,25.0,+2.6,+0.12,-0.64,Matches
9fa26bc2,Vanja Milinković-Savić,rs SRB,GK,Torino,26-019,1997,25,2250,90,100.0,25.0,25,90,25,0,,0,1.36,27,29,-2,-0.08,,27.4,28.9,-1.5,-0.06,,Matches
e0f8151c,Kim Min-jae,kr KOR,DF,Napoli,26-116,1996,24,2115,88,94.0,23.5,24,88,23,0,,1,2.58,56,16,+40,+1.70,+0.37,43.3,19.4,+23.9,+1.02,-1.01,Matches
a9aa0d1d,Aleksei Miranchuk,ru RUS,MF,Torino,27-145,1995,19,1432,75,63.6,15.9,17,80,9,2,32,0,1.42,19,19,0,0.00,+0.22,16.3,17.6,-1.3,-0.08,-0.06,Matches
30223b33,Antonio Mirante,it ITA,GK,Milan,39-246,1983,0,,,,,0,,0,0,,25,,,,,,,,,,,,Matches
34693494,Fabio Miretti,it ITA,"MF,FW",Juventus,19-220,2003,18,829,46,36.8,9.2,9,69,1,9,23,4,1.94,8,4,+4,+0.43,-0.58,10.9,9.4,+1.5,+0.17,-0.35,Matches
2d3d7c0d,Filippo Missori,it ITA,DF,Roma,18-352,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
dd0daf32,Henrikh Mkhitaryan,am ARM,MF,Inter,34-049,1989,23,1518,66,64.9,16.9,18,77,5,5,27,1,1.91,34,15,+19,+1.13,+1.35,28.4,13.0,+15.4,+0.96,+0.52,Matches
54ab971f,Salvatore Molina,it ITA,DF,Monza,31-069,1992,5,229,46,10.2,2.5,1,79,0,4,38,2,0.20,1,6,-5,-1.97,-1.97,2.4,4.3,-1.8,-0.73,-0.74,Matches
ca73910d,Daniele Montevago,it ITA,FW,Sampdoria,19-358,2003,6,231,39,10.3,2.6,3,63,1,3,14,3,0.50,0,4,-4,-1.56,-0.49,1.7,2.1,-0.5,-0.19,+0.52,Matches
c1d95617,Lorenzo Montipò,it ITA,GK,Hellas Verona,27-019,1996,24,2160,90,96.0,24.0,24,90,24,0,,0,0.71,20,37,-17,-0.71,-0.71,24.1,30.3,-6.2,-0.26,-0.13,Matches
ff579c7e,Nikola Moro,hr CRO,MF,Bologna,24-364,1998,13,541,42,24.0,6.0,5,76,3,8,20,9,1.77,8,7,+1,+0.17,+0.38,6.9,9.5,-2.6,-0.44,-0.30,Matches
919dd4b1,Raúl Moro,es ESP,FW,Lazio,20-096,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
efc9e31f,Dany Mota,pt POR,"FW,MF",Monza,24-313,1998,18,1146,64,50.9,12.7,12,79,4,6,34,2,1.44,16,15,+1,+0.08,+0.57,15.1,16.5,-1.4,-0.11,-0.09,Matches
b64073a0,Andrei Motoc,ro ROU,MF,Salernitana,20-332,2002,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
c2409cf4,Mattia Motolese,it ITA,DF,Bologna,18-332,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
a0aee24e,João Moutinho,pt POR,"DF,FW",Spezia,25-058,1998,4,58,15,2.5,0.6,0,,0,4,15,1,1.00,0,2,-2,-3.10,-2.43,0.1,1.4,-1.3,-1.99,-1.46,Matches
da77b0e7,Endri Muhameti,al ALB,MF,Atalanta,18-242,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
1295552e,Mert Müldür,tr TUR,DF,Sassuolo,23-342,1999,1,6,6,0.3,0.1,1,6,0,0,,2,0.00,0,0,0,0.00,+0.28,0.0,0.0,0.0,0.00,+0.10,Matches
eb2fe5b6,Luis Muriel,co COL,FW,Atalanta,31-329,1991,16,652,41,29.0,7.2,6,68,0,10,24,2,1.50,10,5,+5,+0.69,+0.18,11.8,6.3,+5.4,+0.75,+0.33,Matches
b233e8e4,Jeison Murillo,co COL,DF,Sampdoria,30-288,1992,13,820,63,36.4,9.1,10,76,5,3,20,9,0.46,3,16,-13,-1.43,-0.48,5.0,11.5,-6.4,-0.70,-0.07,Matches
