id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
5d133e96,Ricard Artero,es ESP,"MF,FW",Girona,20-079,2003,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
759d8dd7,Santiago Arzamendia,py PAR,"DF,MF",Cádiz,24-355,1998,4.3,0,0,0,4,2,0,8,1,6,0,0,0,37,5,6,45.5,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,Valladolid,33-301,1989,10.0,0,0,0,0,4,0,0,0,0,0,0,0,22,0,0,,Matches
45af8a54,Marco Asensio,es ESP,"FW,MF",Real Madrid,27-094,1996,11.6,1,0,0,10,12,4,63,5,9,1,1,0,33,3,2,60.0,Matches
7dcf86f6,Iago Aspas,es ESP,FW,Celta Vigo,35-267,1987,28.4,5,0,0,14,56,11,35,7,2,0,0,0,90,26,39,40.0,Matches
d5dd5f1f,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,33-311,1989,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
9fec8860,Ludwig Augustinsson,se SWE,DF,Mallorca,29-004,1994,1.3,0,0,0,1,1,0,6,1,0,0,0,0,12,3,1,75.0,Matches
253a06b9,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,29-078,1994,16.3,7,1,0,22,33,12,75,6,4,0,0,0,51,32,41,43.8,Matches
bfd381b3,Iddrisu Baba,gh GHA,MF,Mallorca,27-093,1996,14.1,5,0,0,27,23,0,0,10,14,0,0,0,99,25,19,56.8,Matches
075fe5a3,Srđan Babić,rs SRB,DF,Almería,27-003,1996,26.3,4,0,0,21,5,0,2,24,11,0,0,0,103,45,33,57.7,Matches
114bbdee,Loïc Bade,fr FRA,DF,Sevilla,23-014,2000,11.0,3,0,0,9,4,0,4,17,11,0,0,0,62,21,19,52.5,Matches
e4346678,Édgar Badía,es ESP,GK,Elche,31-072,1992,29.0,2,0,0,1,4,0,0,0,0,0,1,0,27,5,0,100.0,Matches
518f2234,Alex Baena,es ESP,"MF,FW",Villarreal,21-279,2001,17.2,12,1,1,47,50,1,19,5,13,1,1,0,78,1,21,4.5,Matches
5ccc9672,Alejandro Balde,es ESP,DF,Barcelona,19-189,2003,21.4,3,0,0,20,21,5,53,10,22,0,0,0,114,16,15,51.6,Matches
1fe67e86,Mikel Balenziaga,es ESP,DF,Athletic Club,35-055,1988,1.3,0,0,0,3,0,0,3,1,4,0,0,0,6,0,0,,Matches
cee88597,Iván Balliu,al ALB,DF,Rayo Vallecano,31-114,1992,28.1,6,0,0,35,26,5,87,22,24,0,2,2,118,23,30,43.4,Matches
35f6db55,Léo Baptistão,br BRA,"FW,MF",Almería,30-242,1992,16.8,7,0,0,28,18,10,14,18,17,0,0,0,91,20,34,37.0,Matches
03049c8c,Keidi Bare,al ALB,MF,Espanyol,25-240,1997,4.1,0,0,0,9,9,0,4,11,4,0,0,0,20,5,9,35.7,Matches
aad53e64,Kike Barja,es ESP,"FW,MF",Osasuna,26-024,1997,10.7,1,0,0,16,12,5,91,4,5,0,0,0,52,7,5,58.3,Matches
200e89e1,Ander Barrenetxea,es ESP,"DF,FW",Real Sociedad,21-119,2001,6.1,3,0,0,19,9,0,7,5,12,0,0,0,49,7,11,38.9,Matches
