id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
bdc74a8f,Gonzalo Villar,es ESP,MF,Sampdoria,25-047,1998,15,696,46,22.7,7.7,8,64,1,7,26,2,0.40,5,14,-9,-1.16,+0.05,6.5,12.1,-5.6,-0.73,+0.07,Matches
08eb3b58,Matías Viña,uy URU,DF,Roma,25-181,1997,3,55,18,1.8,0.6,1,45,0,2,5,17,2.00,1,1,0,0.00,-0.36,1.3,0.3,+1.0,+1.72,+1.03,Matches
79443529,Dušan Vlahović,rs SRB,FW,Juventus,23-101,2000,25,1769,71,57.8,19.7,20,84,10,5,18,1,1.84,32,16,+16,+0.81,+0.26,28.6,22.1,+6.5,+0.33,-0.07,Matches
aa8e289e,Nikola Vlašić,hr CRO,"MF,FW",Torino,25-217,1997,30,2400,80,78.4,26.7,25,88,20,5,42,0,1.30,27,28,-1,-0.04,+0.24,29.9,30.8,-0.9,-0.03,-0.15,Matches
b3ef6517,Joel Voelkerling Persson,se SWE,"FW,MF",Lecce,20-114,2003,8,98,12,3.2,1.1,0,,0,8,12,19,0.63,0,1,-1,-0.92,-0.55,0.8,0.9,-0.1,-0.13,+0.04,Matches
be2706c0,Mërgim Vojvoda,xk KVX,DF,Torino,28-097,1995,26,1484,57,48.5,16.5,15,81,10,11,24,5,1.38,19,20,-1,-0.06,+0.05,20.2,16.9,+3.2,+0.20,+0.38,Matches
72f87f25,Cristian Volpato,it ITA,MF,Roma,19-175,2003,7,227,32,7.4,2.5,2,59,0,5,22,23,0.86,3,0,+3,+1.19,+0.90,3.0,1.8,+1.2,+0.48,-0.24,Matches
f052fb01,Lukáš Vorlický,cz CZE,"MF,FW",Atalanta,21-111,2002,3,24,8,0.8,0.3,0,,0,3,8,5,0.33,1,1,0,0.00,-0.44,0.6,0.4,+0.2,+0.67,+0.26,Matches
f86cd5df,Aster Vranckx,be BEL,MF,Milan,20-217,2002,9,240,27,7.8,2.7,2,82,1,7,11,21,2.11,4,3,+1,+0.37,-0.10,4.2,3.1,+1.1,+0.42,+0.01,Matches
d0d8dd44,Stefan de Vrij,nl NED,DF,Inter,31-093,1992,23,1683,73,55.0,18.7,19,85,16,4,16,11,1.65,36,20,+16,+0.86,+0.14,34.9,16.4,+18.5,+0.99,+0.10,Matches
2a0e06a2,Sebastian Wade,es ESP,DF,Torino,20-030,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
26db8853,Walace,br BRA,MF,Udinese,28-035,1995,33,2874,87,93.9,31.9,33,87,25,0,,0,1.39,40,38,+2,+0.06,-0.91,39.6,43.6,-3.9,-0.12,-1.00,Matches
217875a4,Sebastian Walukiewicz,pl POL,DF,Empoli,23-034,2000,9,482,54,15.8,5.4,4,90,4,5,24,20,1.44,8,7,+1,+0.19,+0.68,6.9,9.6,-2.8,-0.51,+0.07,Matches
eb58eef0,Georginio Wijnaldum,nl NED,MF,Roma,32-179,1990,10,583,58,19.1,6.5,7,80,4,3,8,2,1.90,11,7,+4,+0.62,+0.33,10.7,6.2,+4.5,+0.69,-0.02,Matches
2f7acede,Harry Winks,eng ENG,MF,Sampdoria,27-096,1996,17,1446,85,47.3,16.1,16,89,12,1,29,1,0.47,12,28,-16,-1.00,+0.40,15.3,27.5,-12.3,-0.76,+0.03,Matches
