id,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
ee3519f5,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
ee926a02,171,164,5,5,0,0,0,0,0,0,0,0,135,2,4
ee950928,326,296,29,9,0,3,24,6,14,5,2,0,225,1,16
eeb032db,2,2,0,0,1,0,0,0,0,0,0,0,2,0,0
eec32585,24,20,4,1,0,0,2,0,0,0,0,0,19,0,1
ef13f203,192,168,24,24,0,5,1,0,0,0,0,0,138,0,3
ef2e5e1a,283,277,6,4,1,1,2,1,1,0,0,0,246,0,2
ef322658,269,241,27,6,2,3,21,15,6,3,2,0,221,1,2
ef5b337e,118,103,15,4,0,1,11,4,7,5,1,0,88,0,3
ef619b0b,354,340,12,6,1,0,8,3,2,0,0,0,297,2,4
ef88f778,123,114,8,1,0,1,4,3,0,0,0,0,90,1,6
ef8cafeb,183,178,5,5,0,4,0,0,0,0,0,0,151,0,1
ef8f266e,4,4,0,0,0,1,0,0,0,0,0,0,3,0,0
ef9c1c95,401,384,16,10,0,2,2,0,0,0,0,0,308,1,7
efc33b33,76,72,3,2,0,1,0,1,0,0,0,0,62,1,1
f08a8947,395,383,8,7,0,4,1,1,0,0,0,0,325,4,0
f0e3b343,64,54,10,1,0,1,0,0,0,0,0,0,49,0,3
f15b778f,329,318,10,8,0,0,1,2,0,0,0,0,288,1,5
f1eee8b3,5,5,0,0,0,0,0,0,0,0,0,0,2,0,1
f2428fd4,219,166,52,4,1,0,2,48,0,0,0,0,172,1,2
f26e3c59,238,197,40,1,0,0,19,39,0,0,0,0,184,1,5
f27680d9,53,42,11,4,0,0,2,7,0,0,0,0,37,0,1
f294b8cc,24,22,2,1,0,0,2,0,1,1,0,0,22,0,0
f2d063ec,102,92,10,3,1,0,4,2,5,3,0,0,88,0,0
f2eaebe9,88,77,10,2,0,0,10,2,6,5,1,0,59,1,7
f301f363,268,211,54,18,0,1,52,8,24,10,13,0,178,3,11
f315ca93,225,182,42,6,0,2,16,32,4,0,4,0,168,1,5
f346787e,244,186,56,6,1,1,16,50,0,0,0,0,156,2,9
f373db50,434,406,24,24,0,8,1,0,0,0,0,0,391,4,4
f3a97d02,183,112,70,15,0,1,0,0,0,0,0,0,108,1,0
f4021366,204,193,8,8,0,1,0,0,0,0,0,0,172,3,0
f4290206,286,242,44,10,1,2,12,34,0,0,0,0,249,0,5
f45eb18d,333,308,24,11,3,2,15,1,12,4,7,0,260,1,5
f47009ce,44,36,7,0,0,1,4,7,0,0,0,0,34,1,2
f4b852b5,277,264,12,12,0,7,0,0,0,0,0,0,229,1,2
f50a668a,75,74,1,1,0,0,0,0,0,0,0,0,69,0,1
f553b2b3,16,13,3,0,0,0,1,0,0,0,0,0,13,0,1
f5eedf74,79,75,4,1,0,0,8,2,1,0,1,0,54,0,4
f5efb153,427,402,25,24,0,6,0,1,0,0,0,0,379,0,3
f631c17f,35,30,5,1,0,0,1,0,0,0,0,0,27,0,3
f6c579bd,18,16,2,0,0,0,0,1,0,0,0,0,10,0,2
f7036e1c,35,32,3,0,0,0,0,0,0,0,0,0,28,0,0
f70e46e6,38,34,4,1,0,0,0,0,0,0,0,0,33,0,0
f7223718,29,29,0,0,0,0,2,0,0,0,0,0,25,0,1
f7288611,229,218,10,10,0,4,2,0,0,0,0,0,183,1,3
f73abe54,60,59,1,0,0,0,3,0,1,0,1,0,46,0,2
f7e87032,402,342,57,23,1,1,41,8,26,11,6,1,304,3,11
f80f8e10,29,28,1,0,0,0,1,1,0,0,0,0,23,0,0
f820504e,134,126,8,5,1,3,0,3,0,0,0,0,111,0,0
f8280175,120,99,21,6,0,0,6,15,0,0,0,0,94,0,5
f833a830,147,141,6,1,0,0,3,1,3,3,0,0,109,0,3
f83c8d6c,118,108,9,1,1,1,0,1,0,0,0,0,96,1,2
f93c876b,199,192,7,7,0,4,0,0,0,0,0,0,161,0,1
f94eb380,177,153,24,11,0,3,22,2,8,5,2,0,118,0,7
f95cb908,153,147,2,0,0,1,0,0,0,0,0,0,88,4,3
f99b71de,166,163,3,2,0,1,2,1,0,0,0,0,144,0,2
f9acca3a,589,509,78,12,0,0,20,61,5,3,1,1,498,2,15
f9bd541e,169,140,27,2,0,4,8,25,0,0,0,0,109,2,8
fa14dd4f,153,149,2,0,0,2,9,1,1,0,0,0,109,2,8
fa73ccc7,160,158,1,1,1,0,5,0,0,0,0,0,129,1,7
fa937f7a,686,588,93,55,7,13,47,4,34,12,11,3,562,5,5
faa1b07d,219,211,6,6,0,1,1,0,0,0,0,0,188,2,0
fad3e13e,48,41,5,0,0,0,2,0,0,0,0,0,34,2,1
fae880d5,227,219,8,7,0,4,1,0,0,0,0,0,202,0,3
fb054320,240,196,44,13,1,2,41,7,24,9,12,0,183,0,6
