id,GA,PKA,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
326d09ef,5,0,0,0,0,3.7,-1.3,7,13,31,6,9,23,0,0,911.4,387.9,0.0
649b01d8,54,7,1,6,1,51.9,-1.1,213,543,986,180,259,563,12,34,34510.0,11732.7,503.2
ec1f737d,0,0,0,0,0,0.0,0.0,5,9,7,0,4,6,0,0,301.0,266.0,0.0
e40d028b,5,2,1,0,0,5.5,0.5,25,62,245,45,61,122,1,9,6713.0,1525.0,136.8
72be9309,7,1,0,2,0,4.4,-2.6,17,30,41,6,11,27,0,0,1537.5,543.4,0.0
8cabdc1e,56,4,0,4,1,53.6,-1.4,118,319,1114,172,240,513,26,34,30857.8,5784.0,513.4
e66ebabb,91,5,2,9,2,72.1,-16.9,195,502,1134,164,306,555,18,36,36061.2,10159.2,543.6
18736214,9,1,1,0,0,8.6,-0.4,27,53,240,24,43,86,5,10,6624.0,1130.9,150.0
f554e29b,53,5,1,7,0,54.2,1.2,175,429,688,139,274,530,19,22,23048.0,11508.0,312.4
4dea2f2c,0,0,0,0,0,0.4,0.4,7,11,29,4,11,14,0,1,762.7,308.0,18.7
08f5afaa,38,2,2,6,1,35.7,-1.3,152,365,1021,148,207,556,29,43,29609.0,6975.9,636.4
085e71a7,55,8,1,10,1,56.2,2.2,180,496,789,160,260,486,24,27,29903.1,11336.0,359.1
c195ae4a,1,0,0,0,0,0.9,-0.1,8,13,26,9,10,20,0,1,808.6,367.0,11.5
82328faf,7,0,0,1,0,5.6,-1.4,17,51,122,31,30,50,4,2,4160.2,1116.0,23.0
7033ca08,0,0,0,0,0,0.0,0.0,1,1,1,0,1,0,0,0,44.0,15.0,0.0
f0f7f62f,26,4,0,3,1,24.9,-0.1,92,232,550,87,116,234,6,39,17930.0,5765.2,678.6
74419746,33,4,1,3,1,31.6,-0.4,91,200,911,159,167,441,13,22,24323.7,5143.6,327.8
4a6914ff,0,0,0,0,0,0.2,0.2,1,5,29,7,5,17,0,1,742.4,168.0,11.0
20b9f052,29,3,1,4,3,25.4,-0.6,59,166,562,107,101,174,7,30,16410.4,3595.6,576.0
e4b39692,1,0,0,1,0,0.9,-0.1,1,5,24,9,7,19,2,3,614.4,258.3,39.0
f794b426,11,0,0,1,0,8.6,-2.4,11,30,103,17,34,48,1,6,2513.2,1033.6,87.0
9413b19f,29,2,1,3,1,26.2,-1.8,35,77,510,96,93,241,8,13,12699.0,2166.9,170.3
9fa26bc2,6,1,0,0,0,5.4,-0.6,20,72,143,17,32,64,1,10,5162.3,1430.4,191.0
30223b33,19,2,1,0,0,15.8,-3.2,46,106,309,63,83,162,1,23,9548.1,2373.8,420.9
c1d95617,74,4,0,8,6,62.3,-5.7,204,578,966,178,271,620,19,21,35548.8,11761.4,243.6
a111cf41,51,13,2,2,0,51.0,0.0,165,380,760,171,254,484,26,18,25004.0,8813.8,239.4
82b1198a,12,3,0,0,0,13.9,1.9,57,119,488,51,57,192,15,11,13956.8,1305.3,138.6
cf1c23d8,1,1,0,0,0,1.3,0.3,0,0,9,1,4,5,0,1,161.1,58.0,20.0
94a3606c,3,0,0,0,0,2.9,-0.1,7,30,59,11,19,33,1,2,2041.4,678.3,22.2
457cb02f,6,0,0,1,0,4.8,-1.2,16,56,79,9,22,37,3,5,2693.9,1346.4,84.0
f058ed1f,0,0,0,0,0,0.1,0.1,0,1,14,2,8,15,1,1,267.4,112.0,15.3
4c62d0c8,44,7,0,5,2,47.5,5.5,187,554,882,140,275,540,19,18,32722.2,10560.0,226.8
f6a06749,1,0,0,0,0,1.0,0.0,0,0,9,0,2,2,0,1,188.1,28.0,28.0
277da414,55,6,1,4,0,48.0,-7.0,185,489,1244,132,157,298,9,46,42544.8,6594.0,791.2
67f649be,1,0,0,0,0,0.4,-0.6,0,2,47,12,9,28,0,3,991.7,125.1,41.7
dd06d56c,5,0,0,0,0,5.9,0.9,12,35,91,10,16,37,1,2,2948.4,444.8,25.2
6662d731,10,1,0,1,1,7.2,-1.8,8,23,114,17,23,33,0,8,2918.4,501.4,209.6
e358587b,41,8,0,6,2,37.4,-1.6,131,295,983,125,145,372,9,17,30276.4,3697.5,234.6
41bd99ea,2,1,0,0,0,1.7,-0.3,8,17,19,5,9,26,0,0,742.9,437.4,0.0
343f753a,76,2,0,8,3,56.8,-16.2,298,554,1165,182,274,619,16,24,40076.0,10001.0,333.6
0d422df7,42,6,1,6,2,36.6,-3.4,191,679,694,77,266,444,9,20,29911.4,15428.0,248.0
10dc46f0,62,8,1,6,0,50.4,-11.6,168,418,734,108,271,486,11,21,24662.4,10270.9,306.6
ab4449d6,46,5,1,8,1,47.4,2.4,92,257,724,168,231,443,23,21,21864.8,5405.4,264.6
ac4003af,21,1,0,2,0,17.3,-3.7,40,91,318,74,57,143,8,27,8999.4,2485.2,440.1
339fe0e8,14,2,0,1,0,12.8,-1.2,50,90,287,49,57,119,4,5,8409.1,1345.2,71.0
01b8a2b2,32,4,0,4,2,29.8,-0.2,76,149,836,132,179,399,12,37,22154.0,3938.0,599.4
b056e3da,3,1,0,2,0,2.4,-0.6,1,3,22,8,4,12,0,0,433.4,121.2,0.0
e1b0a70d,4,0,0,1,1,3.0,0.0,28,66,56,10,32,52,2,1,2570.4,1907.2,11.1
96640846,1,0,0,0,0,0.3,-0.7,2,5,20,5,6,19,0,0,618.0,156.0,0.0
77d6fd4d,6,0,0,2,0,4.9,-1.1,26,54,81,17,25,71,1,0,2883.6,1410.0,0.0
cc1a0c57,12,3,0,2,0,10.0,-2.0,37,101,275,46,31,72,6,11,9102.5,1159.4,195.8
