id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
32c2d95f,Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,34,2983,88,87.2,33.1,34,88,33,0,,0,1.12,38,41,-3,-0.09,-0.50,31.8,41.3,-9.5,-0.29,-0.46,Matches
82464ce3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,31,2462,79,72.0,27.4,29,82,19,2,38,1,1.10,26,44,-18,-0.66,+0.56,28.9,36.2,-7.3,-0.27,-0.20,Matches
31626657,Laurent Abergel,fr FRA,MF,Lorient,28,1993,34,2956,87,86.4,32.8,34,87,26,0,,0,0.82,27,59,-32,-0.97,-1.75,35.5,45.7,-10.2,-0.31,-0.50,Matches
469d3d84,Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,1,45,45,1.3,0.5,1,45,0,0,,0,1.00,0,0,0,0.00,+0.93,0.5,0.3,+0.2,+0.40,+0.94,Matches
0e46fa2f,Matthis Abline,fr FRA,FW,Rennes,18,2003,7,103,15,3.0,1.1,1,45,0,6,10,9,1.14,0,1,-1,-0.87,-2.04,0.9,1.8,-1.0,-0.86,-1.42,Matches
1e93fc5d,Mohamed Achi,fr FRA,MF,Nantes,19,2002,1,10,10,0.3,0.1,0,,0,1,10,4,1.00,0,0,0,0.00,-0.18,0.0,0.0,0.0,+0.14,+0.33,Matches
7587446d,Martin Adeline,fr FRA,"MF,FW",Reims,17,2003,8,352,44,10.3,3.9,2,76,1,6,34,3,1.13,4,5,-1,-0.26,-0.26,3.4,4.9,-1.5,-0.39,-0.18,Matches
26777636,Yacine Adli,fr FRA,"MF,FW",Bordeaux,21,2000,36,2260,63,66.1,25.1,25,78,10,11,28,1,0.75,33,59,-26,-1.04,-0.03,26.6,43.4,-16.8,-0.67,-0.27,Matches
8bc8829a,Lucien Agoume,fr FRA,MF,Brest,19,2002,27,1868,69,54.6,20.8,21,83,13,6,21,4,1.30,27,32,-5,-0.24,-0.07,27.5,31.5,-3.9,-0.19,+0.33,Matches
288e1e13,Nayef Aguerd,ma MAR,DF,Rennes,25,1996,31,2735,88,80.0,30.4,31,88,28,0,,0,1.94,66,29,+37,+1.22,+0.56,49.4,33.1,+16.2,+0.53,+0.06,Matches
3dd738a1,Ruben Aguilar,fr FRA,DF,Monaco,28,1993,28,2140,76,62.6,23.8,22,88,19,6,33,8,1.96,44,24,+20,+0.84,+0.49,37.2,25.0,+12.2,+0.51,+0.04,Matches
713fc6da,Aymeric Ahmed,km COM,MF,Strasbourg,17,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
eab957a3,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,22,1999,15,1350,90,39.5,15.0,15,90,15,0,,0,0.67,18,38,-20,-1.33,-0.51,20.0,22.9,-2.9,-0.19,+0.63,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,27,1994,25,1004,40,29.4,11.2,11,64,0,14,22,6,1.76,17,12,+5,+0.45,0.00,16.5,12.7,+3.7,+0.33,+0.02,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Strasbourg,27,1994,36,2738,76,80.1,30.4,31,84,20,5,26,0,1.64,46,36,+10,+0.33,-0.60,44.6,34.1,+10.5,+0.35,+0.13,Matches
b625b241,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,19,2002,7,54,8,1.6,0.6,0,,0,7,8,4,1.57,1,2,-1,-1.67,-2.36,1.0,1.2,-0.2,-0.37,-0.88,Matches
5314e067,Sofiane Alakouch,ma MAR,"DF,MF",Metz,23,1998,4,158,40,4.6,1.8,0,,0,4,40,13,1.00,0,2,-2,-1.14,-0.26,1.6,3.2,-1.6,-0.92,-0.04,Matches
3d738df0,Josué Albert,gf GUF,DF,Clermont Foot,29,1992,2,22,11,0.6,0.2,0,,0,2,11,15,0.50,0,1,-1,-4.09,-3.30,1.0,0.3,+0.7,+2.85,+3.08,Matches
9e17ccff,Doğan Alemdar,tr TUR,GK,Rennes,18,2002,12,1080,90,31.6,12.0,12,90,12,0,,7,1.58,29,13,+16,+1.33,+0.33,20.4,14.0,+6.4,+0.53,+0.01,Matches
f8405304,Mohamed Ali Cho,fr FRA,FW,Angers,17,2004,32,1837,57,53.7,20.4,21,76,0,11,23,0,1.19,27,25,+2,+0.10,+0.84,26.2,23.8,+2.4,+0.12,+0.45,Matches
bdedd861,Rachid Alioui,ma MAR,FW,Angers,29,1992,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
1956b948,Jim Allevinah,ga GAB,FW,Clermont Foot,26,1995,30,1488,50,43.5,16.5,13,77,3,17,29,1,0.93,15,32,-17,-1.03,-0.38,18.8,23.4,-4.5,-0.27,-0.11,Matches
9260926b,Ibrahim Amadou,fr FRA,"DF,MF",Metz,28,1993,10,812,81,23.7,9.0,10,81,7,0,,1,0.40,3,13,-10,-1.11,-0.28,5.4,13.2,-7.8,-0.86,+0.02,Matches
22721b88,Jordan Amavi,fr FRA,DF,Nice,27,1994,8,413,52,12.1,4.6,4,77,1,4,27,5,2.25,9,3,+6,+1.31,+1.01,8.6,2.3,+6.2,+1.35,+1.14,Matches
22721b88,Jordan Amavi,fr FRA,"DF,FW",Marseille,27,1994,2,128,64,3.7,1.4,2,64,0,0,,14,1.00,1,1,0,0.00,-0.68,0.3,1.4,-1.2,-0.82,-1.38,Matches
ef9c1c95,Benjamin André,fr FRA,MF,Lille,30,1990,33,2752,83,80.5,30.6,33,83,21,0,,0,1.36,35,41,-6,-0.20,-1.00,40.5,30.4,+10.1,+0.33,+0.27,Matches
a5db0bec,Houssem Aouar,fr FRA,"MF,FW",Lyon,23,1998,36,2504,70,73.2,27.8,29,81,17,7,21,0,1.64,47,37,+10,+0.36,-0.13,50.8,41.7,+9.2,+0.33,+0.01,Matches
b94b8be1,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,19,2002,35,1081,31,31.6,12.0,11,61,0,24,17,2,0.83,14,25,-11,-0.92,+0.01,13.7,21.5,-7.7,-0.65,-0.18,Matches
feb5d3ab,Dennis Appiah,fr FRA,DF,Nantes,29,1992,32,2099,66,61.4,23.3,22,87,19,10,18,4,1.50,31,27,+4,+0.17,-0.03,25.9,33.2,-7.3,-0.31,-0.33,Matches
bdf1db39,Rocco Ascone,fr FRA,FW,Lille,17,2003,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
b026bbf6,Lorenz Assignon,tg TOG,DF,Rennes,21,2000,20,616,31,18.0,6.8,5,90,5,15,11,16,1.70,23,6,+17,+2.48,+1.68,13.7,6.0,+7.7,+1.13,+0.74,Matches
6a827d8e,Youcef Atal,dz ALG,DF,Nice,25,1996,17,1140,67,33.3,12.7,13,78,6,4,31,4,1.29,20,12,+8,+0.63,+0.32,19.3,11.4,+7.9,+0.63,+0.42,Matches
97bfa797,Jean-Kévin Augustin,fr FRA,"FW,MF",Nantes,24,1997,7,84,12,2.5,0.9,0,,0,7,12,7,1.14,1,1,0,0.00,-0.19,0.5,1.2,-0.7,-0.76,-0.58,Matches
9c3bfb21,Eric Ayiah,gh GHA,FW,Monaco,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
eaf71a5e,Karim Azamoum,fr FRA,DF,Troyes,31,1990,7,388,55,11.3,4.3,4,75,3,3,29,0,0.71,4,6,-2,-0.46,-0.05,3.9,5.0,-1.1,-0.25,+0.06,Matches
a81f33b5,Ousmane Ba,sn SEN,GK,Metz,19,2002,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
