id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
feb5d3ab,Dennis Appiah,fr FRA,"DF,MF",Nantes,30-275,1992,15,795,53,34.0,8.8,9,76,3,6,18,0,0.87,8,16,-8,-0.91,-0.96,10.0,12.5,-2.4,-0.28,-0.14,Matches
209528d3,Ylies Aradj,fr FRA,DF,Toulouse,17-279,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
c5e6c017,Taïryk Arconte,fr FRA,FW,Brest,19-119,2003,4,128,32,5.5,1.4,1,66,0,3,21,16,0.25,2,2,0,0.00,+0.61,1.0,2.3,-1.3,-0.90,-0.48,Matches
508a9011,Mohamed El Arouch,fr FRA,MF,Lyon,18-339,2004,1,2,2,0.1,0.0,0,,0,1,2,5,3.00,1,0,+1,+45.00,+44.63,0.6,0.1,+0.6,+53.78,+53.45,Matches
b026bbf6,Lorenz Assignon,tg TOG,DF,Rennes,22-262,2000,6,194,32,8.3,2.2,2,81,1,4,8,9,2.33,4,3,+1,+0.46,-0.17,3.4,1.4,+2.0,+0.94,+0.68,Matches
6a827d8e,Youcef Atal,dz ALG,"DF,MF",Nice,26-298,1996,13,637,49,27.2,7.1,7,67,2,6,28,2,1.38,9,5,+4,+0.57,+0.14,11.5,7.0,+4.5,+0.63,+0.47,Matches
6b5edd5d,Valentin Atangana Edoa,fr FRA,MF,Reims,17-198,2005,1,3,3,0.1,0.0,0,,0,1,3,1,3.00,0,0,0,0.00,-0.31,0.1,0.0,+0.1,+1.79,+1.47,Matches
7dfbba27,Mathias Autret,fr FRA,"MF,FW",Auxerre,32-010,1991,20,1259,63,53.8,14.0,16,72,0,4,26,4,0.70,15,26,-11,-0.79,+0.46,14.7,19.8,-5.1,-0.36,+0.01,Matches
a94d93be,Cédric Avinel,gp GLP,DF,Ajaccio,36-181,1986,17,1372,81,58.6,15.2,15,88,14,2,26,6,0.82,10,27,-17,-1.12,-0.19,16.5,19.1,-2.7,-0.17,-0.03,Matches
114bbdee,Loïc Bade,fr FRA,DF,Rennes,22-334,2000,1,90,90,3.8,1.0,1,90,1,0,,4,3.00,2,1,+1,+1.00,+0.40,1.2,1.4,-0.2,-0.25,-0.58,Matches
06df8256,Benoît Badiashile,fr FRA,DF,Monaco,21-350,2001,11,839,76,35.9,9.3,9,87,8,2,27,2,1.55,20,15,+5,+0.54,-0.30,14.5,15.2,-0.7,-0.07,-0.73,Matches
a1232f4e,Eric Bailly,ci CIV,DF,Marseille,28-333,1994,9,422,47,18.0,4.7,4,66,1,5,32,4,2.33,8,5,+3,+0.64,-0.35,8.9,6.2,+2.7,+0.57,+0.07,Matches
5065d67d,Dénys Bain,fr FRA,DF,Auxerre,29-252,1993,2,126,63,5.4,1.4,1,90,1,1,36,14,0.50,2,3,-1,-0.71,+0.30,1.8,1.5,+0.3,+0.20,+0.60,Matches
7e3e825e,Brandon Baiye,be BEL,MF,Clermont Foot,22-074,2000,7,51,7,2.2,0.6,0,,0,7,7,8,1.71,2,2,0,0.00,+0.31,0.8,1.6,-0.7,-1.26,-0.75,Matches
0af4dcf0,Cédric Bakambu,cd COD,MF,Marseille,31-334,1991,3,59,20,2.5,0.7,0,,0,3,20,2,2.33,1,1,0,0.00,-0.95,1.5,1.6,-0.1,-0.14,-0.66,Matches
a30cb0d4,Ibrahima Baldé,fr FRA,FW,Lens,20-053,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
3975195f,Thierno Balde,fr FRA,DF,Troyes,20-274,2002,21,1524,73,65.1,16.9,18,82,9,3,13,1,0.81,22,38,-16,-0.94,-0.39,17.3,32.4,-15.1,-0.89,-0.20,Matches
a1390d2f,Carlos Baleba,cm CMR,MF,Lille,19-067,2004,12,277,23,11.4,3.1,3,68,0,9,8,10,2.08,4,2,+2,+0.65,+0.19,5.2,2.7,+2.5,+0.82,+0.15,Matches
7c3ed041,Leonardo Balerdi,ar ARG,DF,Marseille,24-044,1999,26,2035,78,87.0,22.6,23,83,19,3,38,0,2.12,43,23,+20,+0.88,-0.30,39.3,27.8,+11.5,+0.51,-0.01,Matches
31822f8c,Folarin Balogun,eng ENG,FW,Reims,21-251,2001,25,1943,78,83.0,21.6,22,84,10,3,29,0,1.56,31,18,+13,+0.60,+1.74,37.2,25.8,+11.4,+0.53,+1.24,Matches
7fecbcdb,Abdoulaye Bamba,ci CIV,DF,Angers,32-320,1990,9,555,62,23.7,6.2,4,90,4,5,39,14,0.33,7,18,-11,-1.78,-0.47,8.0,9.9,-1.9,-0.32,+0.23,Matches
b2bd0f6c,Jonathan Bamba,fr FRA,FW,Lille,26-350,1996,23,1886,82,77.6,21.0,21,88,16,2,24,0,1.70,40,34,+6,+0.29,-0.87,36.1,24.2,+11.9,+0.60,-0.35,Matches
a0d55a09,Bradley Barcola,fr FRA,"FW,MF",Lyon,20-190,2002,17,687,40,28.3,7.6,7,79,3,10,13,5,1.47,14,6,+8,+1.05,+0.89,10.9,7.8,+3.1,+0.47,+0.16,Matches
1ddbc7ca,Melvin Bard,fr FRA,DF,Nice,22-125,2000,21,1588,76,67.9,17.6,17,87,14,4,27,2,1.48,21,18,+3,+0.17,-0.91,23.5,22.2,+1.4,+0.08,-0.68,Matches
3a24769f,Ross Barkley,eng ENG,"FW,MF",Nice,29-096,1993,18,638,35,27.3,7.1,6,70,2,12,18,2,1.72,8,9,-1,-0.14,-0.83,9.0,9.3,-0.3,-0.04,-0.45,Matches
e3844ecb,Mickaël Barreto,fr FRA,MF,Ajaccio,32-052,1991,10,535,54,22.9,5.9,5,80,2,5,27,2,0.80,3,10,-7,-1.18,-0.18,4.1,6.2,-2.2,-0.37,-0.26,Matches
9e03d22e,Yacouba Barry,fr FRA,MF,Lens,20-106,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
0d836298,Teddy Bartouche,fr FRA,GK,Lorient,25-279,1997,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
20e0dd86,Cyrille Bayala,bf BFA,MF,Ajaccio,26-291,1996,25,1520,61,65.0,16.9,19,73,5,6,22,0,0.80,7,33,-26,-1.54,-1.43,16.3,22.2,-6.0,-0.35,-0.55,Matches
30db8574,Mads Bech Sørensen,dk DEN,DF,Nice,24-063,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
5e6355f8,Yanis Begraoui,fr FRA,"FW,MF",Toulouse,21-250,2001,3,65,22,2.8,0.7,1,45,0,2,10,11,0.00,1,4,-3,-4.15,-4.07,0.3,2.2,-1.9,-2.65,-2.57,Matches
4a5e83ad,Alexis Beka Beka,fr FRA,MF,Nice,21-347,2001,8,276,35,11.8,3.1,3,63,0,5,17,16,1.00,1,6,-5,-1.63,-2.37,3.2,4.1,-0.9,-0.29,-0.67,Matches
5680bf3f,Jérémie Bela,ao ANG,"DF,MF",Clermont Foot,29-337,1993,14,643,46,27.5,7.1,7,73,2,7,19,2,1.07,7,8,-1,-0.14,+0.23,5.6,11.0,-5.5,-0.76,-0.33,Matches
705a1642,Reda Belahyane,fr FRA,MF,Nice,18-283,2004,1,12,12,0.5,0.1,0,,0,1,12,5,1.00,0,0,0,0.00,-0.46,0.1,0.0,+0.1,+0.60,+0.30,Matches
1a248246,Youcef Belaïli,dz ALG,"MF,FW",Ajaccio,30-362,1992,14,952,68,40.7,10.6,12,76,2,2,21,0,1.00,12,21,-9,-0.85,+0.32,16.1,14.5,+1.6,+0.15,+0.53,Matches
1a248246,Youcef Belaïli,dz ALG,"FW,MF",Brest,30-362,1992,6,356,59,15.2,4.0,4,69,0,2,40,1,0.83,6,10,-4,-1.01,-0.51,4.5,7.2,-2.7,-0.68,-0.27,Matches
2b1bed19,Haris Belkebla,dz ALG,MF,Brest,29-042,1994,26,1692,65,72.3,18.8,18,86,14,8,18,0,0.88,16,34,-18,-0.96,-1.37,18.1,31.1,-13.0,-0.69,-0.86,Matches
e21d1928,Yassin Belkhdim,fr FRA,MF,Angers,21-025,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
10f0fdd3,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,24-257,1998,19,1589,84,67.9,17.7,19,84,14,0,,0,0.79,23,33,-10,-0.57,-0.09,20.7,31.2,-10.5,-0.59,+0.03,Matches
d1b7117c,Paul Bellon,fr FRA,MF,Lorient,23-055,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
c678ddd7,Jeanöel Belocian,fr FRA,DF,Rennes,18-022,2005,2,98,49,4.2,1.1,1,90,1,1,8,15,3.00,2,0,+2,+1.84,+1.27,2.0,1.0,+1.0,+0.94,+0.65,Matches
3bd65247,Eliesse Ben Seghir,fr FRA,"FW,MF",Monaco,18-023,2005,9,612,68,26.2,6.8,8,71,0,1,45,1,2.22,16,9,+7,+1.03,+0.40,11.6,6.4,+5.2,+0.77,+0.51,Matches
1f6298f2,Salim Ben Seghir,fr FRA,MF,Marseille,20-015,2003,1,4,4,0.2,0.0,0,,0,1,4,3,3.00,0,0,0,0.00,-0.92,0.4,0.0,+0.4,+6.60,+6.11,Matches
942b4f90,Wissam Ben Yedder,fr FRA,FW,Monaco,32-211,1990,22,1333,61,57.0,14.8,18,69,6,4,23,4,1.77,36,20,+16,+1.08,+0.81,26.3,20.1,+6.2,+0.42,+0.06,Matches
3189f61a,Nabil Bentaleb,dz ALG,MF,Angers,28-107,1994,22,1815,83,77.6,20.2,21,86,16,1,15,0,0.41,17,48,-31,-1.54,-0.51,21.5,32.8,-11.3,-0.56,-0.32,Matches
e4114f5d,Patrick Berg,no NOR,"MF,FW",Lens,25-107,1997,3,25,8,1.1,0.3,0,,0,3,8,1,3.00,0,2,-2,-7.20,-8.02,0.3,1.2,-0.9,-3.19,-3.90,Matches
0b2c9aec,Mitchell van Bergen,nl NED,"FW,DF",Reims,23-196,1999,21,717,34,30.6,8.0,5,78,2,16,20,2,1.52,12,12,0,0.00,-0.44,14.0,10.3,+3.7,+0.46,+0.21,Matches
3916b09c,Quentin Bernard,fr FRA,DF,Auxerre,33-247,1989,7,630,90,26.9,7.0,7,90,7,0,,10,0.86,8,12,-4,-0.57,+0.59,6.1,10.7,-4.6,-0.66,-0.40,Matches
28dabd43,Paul Bernardoni,fr FRA,GK,Angers,25-327,1997,18,1620,90,69.2,18.0,18,90,18,0,,8,0.22,13,43,-30,-1.67,-0.79,19.1,29.5,-10.4,-0.58,-0.29,Matches
433dc9a2,Juan Bernat,es ESP,DF,Paris S-G,30-010,1993,19,1069,56,45.7,11.9,11,81,7,8,22,6,2.47,25,11,+14,+1.18,-0.73,22.1,16.6,+5.4,+0.46,-0.95,Matches
380a15e2,Dimitry Bertaud,fr FRA,GK,Montpellier,24-278,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
03e91055,Jason Berthomier,fr FRA,MF,Clermont Foot,33-064,1990,2,23,12,1.0,0.3,0,,0,2,12,2,3.00,0,0,0,0.00,+0.31,0.1,0.6,-0.5,-2.14,-1.63,Matches
47c609d5,El Bilal Touré,ml MLI,FW,Reims,21-159,2001,3,91,30,3.9,1.0,1,63,0,2,14,2,0.33,0,4,-4,-3.96,-4.44,0.8,0.8,+0.1,+0.06,-0.27,Matches
a3e1d20d,Jean-Claude Billong,cm CMR,MF,Clermont Foot,29-073,1993,1,23,23,1.0,0.3,0,,0,1,23,3,0.00,0,0,0,0.00,+0.31,0.0,0.5,-0.5,-1.80,-1.29,Matches
636247ca,Veljko Birmančević,rs SRB,"FW,MF",Toulouse,25-006,1998,18,324,18,13.8,3.6,1,54,0,17,16,3,1.11,5,8,-3,-0.83,-0.74,4.3,6.0,-1.7,-0.48,-0.38,Matches
3d214e5f,Marco Bizot,nl NED,GK,Brest,32-001,1991,25,2250,90,96.2,25.0,25,90,25,0,,0,0.88,27,42,-15,-0.60,-0.60,27.3,39.4,-12.2,-0.49,-0.91,Matches
967f34d3,Rubén Blanco,es ESP,GK,Marseille,27-229,1995,4,360,90,15.4,4.0,4,90,4,0,,22,1.25,7,5,+2,+0.50,-0.50,6.2,4.7,+1.6,+0.40,-0.13,Matches
6191093d,Ludovic Blas,fr FRA,"FW,MF",Nantes,25-070,1997,25,1937,77,82.8,21.5,21,87,14,4,29,1,1.12,24,22,+2,+0.09,+2.10,27.0,24.5,+2.5,+0.11,+1.74,Matches
3cdfc63e,Miha Blažič,si SVN,DF,Angers,29-307,1993,20,1682,84,71.9,18.7,19,86,17,1,45,5,0.50,13,34,-21,-1.12,+1.06,20.0,26.8,-6.8,-0.36,+0.45,Matches
6a9e4913,Joaquín Blázquez,ar ARG,GK,Brest,22-042,2001,1,90,90,3.8,1.0,1,90,1,0,,23,1.00,0,0,0,0.00,+0.60,1.5,1.0,+0.4,+0.43,+0.91,Matches
5b479568,Myron Boadu,nl NED,FW,Monaco,22-056,2001,7,130,19,5.6,1.4,1,45,0,6,14,10,2.00,4,5,-1,-0.69,-1.51,3.6,3.0,+0.6,+0.43,+0.04,Matches
2db2fd7b,Jérôme Boateng,de GER,DF,Lyon,34-189,1988,6,315,53,13.0,3.5,4,73,1,2,12,8,2.00,5,3,+2,+0.57,+0.19,4.4,4.2,+0.2,+0.05,-0.34,Matches
7d937aa1,Antonin Bobichon,fr FRA,MF,Angers,27-178,1995,3,18,6,0.8,0.2,0,,0,3,6,3,0.33,0,0,0,0.00,+1.43,0.4,0.3,+0.1,+0.57,+1.07,Matches
f6496133,Quentin Boisgard,fr FRA,MF,Lorient,25-359,1997,5,184,37,7.9,2.0,1,67,0,4,29,7,1.20,2,0,+2,+0.98,+0.98,2.6,1.6,+0.9,+0.44,+0.89,Matches
41da04f7,Edvin Bongemba,fr FRA,MF,Montpellier,19-056,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
0df854bb,Kayne Bonnevie,fr FRA,GK,Lyon,21-232,2001,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
27c91f71,Nolan Bonte,fr FRA,FW,Lens,19-051,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
9f936061,Neto Borges,br BRA,DF,Clermont Foot,26-179,1996,23,1981,86,84.7,22.0,23,86,20,0,,0,1.43,22,29,-7,-0.32,-0.07,23.2,33.9,-10.7,-0.49,+0.27,Matches
101fc260,Théo Borne,fr FRA,GK,Angers,20-239,2002,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
c03b7266,Kenji-Van Boto,mg MAD,DF,Auxerre,27-004,1996,1,90,90,3.8,1.0,1,90,1,0,,11,3.00,2,1,+1,+1.00,+2.08,1.3,1.0,+0.3,+0.29,+0.69,Matches
65fcf987,Kouamé Botué,bf BFA,"FW,MF",Ajaccio,20-216,2002,8,229,29,9.8,2.5,2,59,0,6,19,5,0.38,1,5,-4,-1.57,-0.59,3.0,5.1,-2.0,-0.81,-0.72,Matches
0400dd2f,Badredine Bouanani,dz ALG,FW,Nice,18-093,2004,7,259,37,11.1,2.9,2,66,0,5,26,3,2.14,6,2,+4,+1.39,+1.04,5.8,2.9,+2.9,+1.01,+0.80,Matches
f9d5908e,Hicham Boudaoui,dz ALG,MF,Nice,23-169,1999,16,1031,64,44.1,11.5,12,76,6,4,30,2,2.06,14,3,+11,+0.96,+0.89,17.0,12.5,+4.5,+0.40,+0.18,Matches
4fb18ca4,Franci Bouebari,fr FRA,DF,Strasbourg,19-180,2003,2,76,38,3.2,0.8,0,,0,2,38,8,1.50,2,1,+1,+1.18,+1.78,1.1,2.4,-1.3,-1.50,-0.93,Matches
b0c71810,Sofiane Boufal,ma MAR,"FW,MF",Angers,29-175,1993,13,834,64,35.6,9.3,9,79,2,4,31,0,0.54,12,23,-11,-1.19,+0.37,13.5,15.6,-2.1,-0.23,+0.40,Matches
02e63f80,Teddy Boulhendi,fr FRA,GK,Nice,21-336,2001,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches
62e02107,Ismaëlben Boura,fr FRA,"DF,FW",Lens,22-209,2000,9,93,10,4.0,1.0,0,,0,9,10,13,1.78,5,2,+3,+2.90,+2.26,2.6,3.3,-0.7,-0.71,-1.43,Matches
20e73fac,Benjamin Bourigeaud,fr FRA,"MF,FW",Rennes,29-056,1994,25,2026,81,86.6,22.5,25,81,9,0,,0,1.72,40,25,+15,+0.67,+0.38,35.4,28.3,+7.1,+0.32,0.00,Matches
02bcaf8e,Bilal Brahimi,dz ALG,"FW,MF",Nice,22-362,2000,18,503,28,21.5,5.6,3,64,1,15,21,7,1.56,7,3,+4,+0.72,+0.32,7.6,7.2,+0.4,+0.07,-0.28,Matches
5b146df3,Lilian Brassier,fr FRA,DF,Brest,23-129,1999,24,2013,84,86.0,22.4,23,87,21,1,3,2,0.96,26,37,-11,-0.49,+0.61,26.4,36.0,-9.6,-0.43,+0.17,Matches
b088d5d3,Andreas Bruus,dk DEN,"DF,FW",Troyes,24-054,1999,18,1196,66,51.1,13.3,13,85,8,5,19,1,0.72,18,27,-9,-0.68,+0.27,14.5,26.9,-12.4,-0.94,-0.25,Matches
af69e7f0,Joe Bryan,eng ENG,"MF,DF",Nice,29-175,1993,5,166,33,7.1,1.8,2,69,0,3,9,8,2.00,3,1,+2,+1.08,+0.67,3.2,1.5,+1.7,+0.93,+0.68,Matches
3b676989,Adam Buksa,pl POL,"FW,MF",Lens,26-242,1996,4,63,16,2.7,0.7,0,,0,4,16,1,1.75,0,0,0,0.00,-0.75,0.1,1.5,-1.4,-1.96,-2.70,Matches
7b082ec2,Maxime Busi,be BEL,DF,Reims,23-148,1999,11,637,58,27.2,7.1,7,78,3,4,22,7,1.09,9,8,+1,+0.14,-0.23,10.7,10.1,+0.6,+0.09,-0.31,Matches
db87a2c4,Marcin Bułka,pl POL,GK,Nice,23-158,1999,2,180,90,7.7,2.0,2,90,2,0,,9,0.50,1,2,-1,-0.50,-1.04,2.6,2.3,+0.2,+0.11,-0.20,Matches
148e136f,Rémy Cabella,fr FRA,"MF,FW",Lille,33-003,1990,21,1644,78,67.7,18.3,18,86,11,3,33,1,1.76,34,19,+15,+0.82,+1.05,34.1,15.3,+18.9,+1.09,+1.12,Matches
46359159,Jimmy Cabot,fr FRA,"DF,MF",Lens,28-327,1994,11,511,46,21.8,5.7,5,81,3,6,17,0,2.18,8,6,+2,+0.35,-0.48,11.2,6.7,+4.5,+0.78,+0.15,Matches
928a4a61,Jens Cajuste,se SWE,MF,Reims,23-213,1999,20,958,48,40.9,10.6,8,76,2,12,29,0,1.70,10,9,+1,+0.09,-0.36,13.3,14.1,-0.8,-0.08,-0.67,Matches
94f8d10c,Duje Ćaleta-Car,hr CRO,DF,Marseille,26-175,1996,1,8,8,0.3,0.1,0,,0,1,8,3,3.00,0,0,0,0.00,-0.93,0.0,0.1,0.0,-0.25,-0.76,Matches
8577e60a,Mahdi Camara,fr FRA,MF,Brest,24-254,1998,20,1381,69,59.0,15.3,17,76,4,3,27,2,0.70,14,25,-11,-0.72,-0.34,17.3,24.4,-7.1,-0.46,-0.02,Matches
489e80e3,Mohamed Camara,ml MLI,MF,Monaco,23-064,2000,19,1473,78,62.9,16.4,17,81,12,2,45,1,2.05,38,23,+15,+0.92,+0.50,28.2,21.5,+6.7,+0.41,+0.05,Matches
5a6b06cd,Ousmane Camara,gn GUI,"FW,MF",Auxerre,21-128,2001,3,24,8,1.0,0.3,0,,0,3,8,1,0.00,0,0,0,0.00,+1.01,1.2,0.0,+1.1,+4.09,+4.51,Matches
7d3dfdfd,Ousmane Camara,fr FRA,DF,Angers,20-005,2003,6,363,61,15.5,4.0,4,79,3,2,24,10,0.00,5,14,-9,-2.23,-0.96,5.9,7.9,-2.0,-0.49,0.00,Matches
c7511849,Ousoumane Camara,fr FRA,MF,Auxerre,24-082,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
9f4a940f,Axel Camblan,fr FRA,"FW,MF",Brest,19-193,2003,7,68,10,2.9,0.8,0,,0,7,10,9,0.86,1,0,+1,+1.32,+1.96,0.7,1.0,-0.3,-0.40,+0.06,Matches
79b2399c,Pierrick Capelle,fr FRA,"MF,DF",Angers,35-330,1987,19,958,50,40.9,10.6,10,78,5,9,19,3,0.37,6,19,-13,-1.22,+0.34,9.8,16.1,-6.4,-0.60,-0.19,Matches
f81ef10d,Maxence Caqueret,fr FRA,MF,Lyon,23-024,2000,25,1913,77,78.7,21.3,22,83,13,3,29,1,1.48,31,23,+8,+0.38,-0.15,29.2,24.3,+4.9,+0.24,-0.42,Matches
5e080f73,Irvin Cardona,fr FRA,"FW,MF",Brest,25-215,1997,10,233,23,10.0,2.6,1,73,0,9,18,4,0.90,1,8,-7,-2.70,-2.36,2.3,5.4,-3.1,-1.19,-0.82,Matches
