id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
9260926b,2,3,1,0,0,0,0,1,1,0,0
2f965a72,25,102,77,26,6,2,17,3,1,1,1
b7e7937d,0,6,6,2,0,0,3,0,0,0,0
8a2248b4,36,113,76,12,8,8,7,5,3,2,0
15285503,2,4,2,0,0,0,0,0,0,0,0
e65dd8dc,6,17,11,2,0,1,0,0,0,0,0
96908f80,1,7,6,0,0,1,0,0,0,0,0
26975a92,22,68,48,6,5,8,4,3,3,0,0
950ff24d,16,41,26,3,1,6,3,0,0,0,0
2434f24a,45,123,75,16,7,13,10,8,4,4,0
26383ea5,5,15,10,0,2,1,0,1,1,0,0
a3d524cb,14,35,22,1,1,7,2,3,3,0,0
0e12089d,3,5,2,0,0,1,0,1,1,0,0
4d3e9033,6,13,7,2,1,1,1,0,0,0,0
bc270726,41,171,130,12,9,16,11,4,4,0,0
a56bd2ee,59,171,111,12,11,15,11,7,5,2,0
3814120d,32,86,54,4,6,9,2,2,2,0,0
a4527d33,60,167,106,5,7,17,2,2,0,2,0
faf873a7,11,20,10,0,1,3,0,1,1,0,0
dc366c36,36,127,91,16,8,10,10,5,2,2,1
4e7db402,54,158,106,9,10,19,12,6,6,0,0
2fa2a875,33,117,84,11,18,9,14,6,5,0,1
96fcd380,17,44,28,2,7,4,1,2,2,0,0
f00de885,37,137,101,21,8,5,14,8,5,2,1
c121a641,3,6,3,0,0,1,0,2,2,0,0
fcb38f57,53,160,107,10,7,17,5,5,3,2,0
1d2d5cc8,37,114,77,18,9,4,11,5,3,1,1
e39f8724,13,26,14,1,2,3,1,2,2,0,0
28a65a2c,6,29,23,1,0,2,1,1,1,0,0
ae7d0ecd,29,71,41,3,5,8,2,5,4,1,0
76806215,10,27,18,4,2,1,3,1,1,0,0
b0547a87,1,2,1,0,0,0,0,0,0,0,0
1061c207,3,9,6,0,0,2,0,0,0,0,0
bcf1b2e9,73,201,128,13,9,16,5,14,11,3,0
cac76a72,44,150,106,14,10,11,12,6,5,1,0
cfe852d8,31,101,70,6,3,12,5,3,2,1,0
60d90c55,4,19,15,1,1,1,2,1,1,0,0
f6db3bd5,41,125,85,21,8,5,10,4,4,0,0
8417953b,4,16,12,1,0,1,1,1,1,0,0
b056e3da,38,133,96,14,10,13,12,3,2,0,1
ce17b5eb,4,17,13,3,0,1,1,2,2,0,0
1d0900d4,48,132,88,9,7,19,11,4,4,0,0
e750cba4,28,92,64,3,3,11,3,2,2,0,0
