id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
1d2d5cc8,45,127,83,16,12,9,8,3,3,0,0
20de219a,1,2,1,1,0,0,0,0,0,0,0
2434f24a,56,156,100,13,6,19,14,8,7,1,0
28a65a2c,42,100,60,8,9,12,9,4,4,0,0
28dabd43,58,139,82,12,8,18,9,8,7,1,0
2b9b37b2,4,11,7,1,1,1,1,1,1,0,0
2c127b6f,3,7,4,0,0,1,0,1,1,0,0
2d70dbe5,43,111,68,6,4,13,3,5,4,0,1
2fa2a875,27,68,42,18,5,5,13,3,3,0,0
33887998,1,1,0,0,1,0,0,0,0,0,0
380a15e2,11,42,31,4,2,1,3,1,1,0,0
3814120d,14,32,19,2,0,6,2,1,1,0,0
4e7db402,55,168,113,9,13,16,5,12,10,1,1
58ad9383,49,162,112,9,15,13,10,7,4,2,1
5ee6e943,10,23,13,0,1,3,0,3,3,0,0
5f0241b2,9,36,28,5,1,2,5,0,0,0,0
667b65da,8,28,19,4,1,3,3,4,2,1,1
74733221,14,54,40,9,4,2,5,0,0,0,0
76806215,2,5,3,0,0,1,0,0,0,0,0
834b5c4c,13,26,13,1,2,3,0,2,2,0,0
8a2248b4,53,176,123,15,7,16,9,7,7,0,0
a4527d33,31,91,59,8,7,9,8,5,3,1,1
abc06eb3,33,93,59,2,6,13,3,4,3,1,0
ae7d0ecd,38,127,89,12,10,12,8,10,9,1,0
b052b8bf,30,66,36,2,2,8,3,3,1,1,1
b49729cb,62,169,108,10,7,18,6,10,8,1,1
bcf1b2e9,71,196,122,9,8,21,8,10,6,3,1
be13e5a8,4,4,0,0,0,1,0,1,0,0,1
c4173f1a,14,33,19,5,1,3,2,2,2,0,0
c631f952,51,155,106,10,10,11,2,11,11,0,0
cecbce23,35,107,74,7,6,14,5,7,6,0,1
db87a2c4,1,3,2,0,0,1,0,0,0,0,0
ecada4fc,18,92,73,21,3,5,14,2,1,1,0
edbe46dc,51,136,88,15,12,10,8,10,10,0,0
eedea60b,1,6,5,0,0,1,0,1,1,0,0
f00de885,43,134,92,22,10,6,11,7,5,1,1
fbf83734,25,56,32,5,5,5,2,6,6,0,0
fcb38f57,23,107,85,24,11,3,21,2,1,1,0
