id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
42dcf26d,Álvaro González,es ESP,DF,Marseille,30,1990,31.5,17,0.54,12,1,0,1,2,1,4,0.13,1,0,0,1,1,1,Matches
aad56ca3,Amine Gouiri,fr FRA,"FW,MF",Nice,20,2000,30.5,134,4.39,81,16,12,12,10,3,14,0.46,6,3,0,2,2,1,Matches
3cd7820a,Lucas Gourna-Douath,fr FRA,MF,Saint-Étienne,16,2003,14.7,15,1.02,10,0,0,0,1,4,2,0.14,2,0,0,0,0,0,Matches
06c48679,Jonathan Gradit,fr FRA,DF,Lens,27,1992,31.4,29,0.92,23,0,4,0,1,1,2,0.06,2,0,0,0,0,0,Matches
49136c42,Andrew Gravillon,gp GLP,DF,Lorient,22,1998,25.2,11,0.44,10,1,0,0,0,0,4,0.16,4,0,0,0,0,0,Matches
4a987ffa,Adrian Grbić,at AUT,FW,Lorient,23,1996,10.7,14,1.31,6,0,0,4,4,0,4,0.37,0,0,0,1,3,0,Matches
667b65da,Etienne Green,eng ENG,GK,Saint-Étienne,20,2000,8.0,1,0.12,1,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
8b298f56,Clément Grenier,fr FRA,"MF,FW",Rennes,29,1991,12.0,53,4.43,33,15,1,2,2,0,8,0.67,6,1,0,0,1,0,Matches
b73f17f8,Evann Guessand,fr FRA,FW,Nice,19,2001,0.3,1,3.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
fe296c72,Kelyan Guessoum,fr FRA,DF,Nîmes,21,1999,12.5,4,0.32,1,0,0,1,1,1,1,0.08,0,0,0,0,1,0,Matches
9d5dcc23,Lamine Gueye,sn SEN,"FW,MF",Metz,22,1998,16.2,42,2.60,22,8,3,6,2,1,3,0.19,2,0,0,1,0,0,Matches
7155e3e1,Pape Gueye,sn SEN,MF,Marseille,21,1999,22.9,38,1.66,32,0,0,2,2,2,4,0.17,3,0,0,1,0,0,Matches
5d8d7454,Frederic Guilbert,fr FRA,DF,Strasbourg,25,1994,12.4,29,2.34,15,8,0,2,3,1,5,0.40,4,0,0,1,0,0,Matches
82518f62,Bruno Guimarães,br BRA,MF,Lyon,22,1997,19.5,66,3.38,61,1,2,1,1,0,10,0.51,8,1,0,0,1,0,Matches
923f4dda,Sehrou Guirassy,gn GUI,FW,Rennes,24,1996,19.6,54,2.76,40,0,5,2,7,0,5,0.26,2,0,2,0,1,0,Matches
d56b9520,Malo Gusto,fr FRA,"DF,MF",Lyon,17,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5167c97e,Massadio Haïdara,ml MLI,DF,Lens,27,1992,23.7,37,1.56,30,1,2,2,2,0,3,0.13,2,0,0,1,0,0,Matches
a99da9ec,Pierre-Yves Hamel,fr FRA,FW,Lorient,26,1994,9.4,18,1.91,13,0,0,1,1,3,2,0.21,1,0,0,0,0,1,Matches
0b4d8274,Romain Hamouma,fr FRA,"FW,MF",Saint-Étienne,33,1987,19.7,62,3.15,33,17,5,3,4,0,3,0.15,2,0,0,1,0,0,Matches
f45f9427,Dalbert Henrique,br BRA,DF,Rennes,26,1993,4.1,6,1.45,6,0,0,0,0,0,1,0.24,1,0,0,0,0,0,Matches
f36d5624,Luis Henrique,br BRA,"FW,DF",Marseille,18,2001,7.5,26,3.47,22,0,2,1,1,0,5,0.67,5,0,0,0,0,0,Matches
3681cfff,Christophe Hérelle,mq MTQ,DF,Brest,27,1992,15.3,13,0.85,10,0,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
a84f9a4b,Jérôme Hergault,fr FRA,"DF,MF",Lorient,34,1986,18.1,17,0.94,12,1,0,0,4,0,1,0.06,0,0,0,0,1,0,Matches
436a9dd0,Ander Herrera,es ESP,MF,Paris S-G,30,1989,20.6,54,2.62,51,1,0,0,1,1,8,0.39,8,0,0,0,0,0,Matches
c4bbea9f,Vitorino Hilton,br BRA,DF,Montpellier,42,1977,23.5,16,0.68,12,3,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches
db7849ca,Franck Honorat,fr FRA,"MF,FW",Brest,23,1996,27.3,113,4.14,79,19,6,7,2,0,9,0.33,5,1,1,2,0,0,Matches
29aee77c,Fraser Hornby,sct SCO,"FW,MF",Reims,20,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
d14229f3,Adrien Hunou,fr FRA,"FW,MF",Rennes,26,1994,6.5,14,2.14,10,0,0,2,2,0,0,0.00,0,0,0,0,0,0,Matches
885b7aa7,Didier Ibrahim Ndong,ga GAB,MF,Dijon,26,1994,29.0,32,1.10,30,0,1,0,0,1,1,0.03,1,0,0,0,0,0,Matches
43b78598,Mauro Icardi,ar ARG,FW,Paris S-G,27,1993,12.0,24,2.00,15,0,1,4,4,0,6,0.50,3,0,0,1,2,0,Matches
