id,Player,Nation
a74d2999,Federico Dionisi,it ITA
7f622eef,Assane Dioussé,sn SEN
933d3b51,Koffi Djidji,ci CIV
6eee05f1,Berat Djimsiti,al ALB
b8673e18,Johan Djourou,ch SUI
08f5afaa,Gianluigi Donnarumma,it ITA
384dd218,Godfred Donsah,gh GHA
c1bcb2df,Riccardo Doratiotto,it ITA
085e71a7,Bartłomiej Drągowski,pl POL
528492ea,Alfred Duncan,gh GHA
e5cd9da6,Riza Durmisi,dk DEN
e0921a4f,Paulo Dybala,ar ARG
3bb7f478,Edin Džeko,ba BIH
756959aa,Blerim Džemaili,ch SUI
8697c095,Simone Edera,it ITA
f503ea63,Albin Ekdal,se SWE
ae82fa48,Valentin Eysseric,fr FRA
a39b9ef6,Diego Falcinelli,it ITA
440c84ed,Iago Falque,es ESP
9085dd7c,Paolo Faragò,it ITA
b7a5bc86,Mohamed Fares,dz ALG
157d29b6,Diego Farias,br BRA
44510fde,Andrea Favilli,it ITA
4e358a2d,Federico Fazio,ar ARG
15d0c248,Luiz Felipe,it ITA
3bb625ac,Edimilson Fernandes,ch SUI
d0dbca9f,Alex Ferrari,it ITA
df301450,Sergio Floccari,it ITA
e288d4b3,Alessandro Florenzi,it ITA
5313ed43,Seko Fofana,ci CIV
71dac2c2,Pierluigi Frattali,it ITA
98d2c2c4,Remo Freuler,ch SUI
6378443d,Nicolas Frey,fr FRA
8f866fe8,Manolo Gabbiadini,it ITA
3b387cc7,Gianluca Gaetano,it ITA
ce30bfc8,Roberto Gagliardini,it ITA
173061c0,Riccardo Gagliolo,se SWE
93390969,Marcello Gazzola,it ITA
8827bf46,Gerson,br BRA
e468c053,Gervinho,ci CIV
71dc23da,Paolo Ghiglione,it ITA
c5adc293,Faouzi Ghoulam,dz ALG
1c50f354,Emanuele Giaccherini,it ITA
635b0bae,Massimo Gobbi,it ITA
4b029b31,Edoardo Goldaniga,it ITA
f0f7f62f,Pierluigi Gollini,it ITA
6e4df551,Papu Gómez,ar ARG
cecbce23,Alfred Gomis,sn SEN
117beb8f,Giancarlo González,cr CRC
7d86864c,Mirko Gori,it ITA
2d970560,Robin Gosens,de GER
94230890,Paolo Gozzi Iweru,it ITA
6cc97b6a,Alberto Grassi,it ITA
a1bedc05,Sergej Grubac,me MNE
77e401c7,Guido Guerrieri,it ITA
f1f1f238,Koray Günter,de GER
86015b20,Emil Hallfreðsson,is ISL
e6ad16b2,Marek Hamšík,sk SVK
4fac8f81,Dávid Hancko,sk SVK
74419746,Samir Handanović,si SVN
3b333ac3,Hans Hateboer,nl NED
27f0ddef,Filip Helander,se SWE
f45f9427,Dalbert Henrique,br BRA
90b70194,Përparim Hetemaj,fi FIN
8a08491a,Gonzalo Higuaín,ar ARG
98e958af,Oscar Hiljemark,se SWE
f2c1300a,Vitor Hugo,br BRA
2f3452eb,Elseid Hysaj,al ALB
63071a3f,Simone Iacoponi,it ITA
82efe6fa,Roger Ibanez,br BRA
43b78598,Mauro Icardi,ar ARG
514f0896,Salvador Ichazo,uy URU
68252d6d,Josip Iličić,si SVN
4431aed2,Ciro Immobile,it ITA
4133cfcf,Svante Ingelsson,se SWE
6c1f7328,Roberto Inglese,it ITA
2f557579,Lorenzo Insigne,it ITA
cedb3e36,Artur Ioniță,md MDA
89976232,Armando Izzo,it ITA
85ea4399,Jandrei,br BRA
9866afec,Marko Janković,me MNE
1ea5f91c,Jakub Jankto,cz CZE
958a601f,Paweł Jaroszyński,pl POL
79083382,Juan Jesus,br BRA
41ff002d,Bruno Jordão,pt POR
570bb4b9,Hamed Junior Traorè,ci CIV
7737dee2,Musa Juwara,gm GAM
8b66d9cc,Yann Karamoh,fr FRA
550985aa,Ibrahim Karamoko,fr FRA
85b011bb,Orestis Karnezis,gr GRE
9f84febe,Rick Karsdorp,nl NED
2a82aa85,Grigoris Kastanos,cy CYP
3d50bcdb,Moise Kean,it ITA
05e19d6a,Franck Kessié,ci CIV
38ac43d3,Sami Khedira,de GER
ce1806be,Sofian Kiyine,ma MAR
008a6e6d,Ragnar Klavan,ee EST
4c3a6744,Justin Kluivert,nl NED
eda40760,Aleksandar Kolarov,rs SRB
58e933d2,Christian Kouamé,ci CIV
da974c7b,Kalidou Koulibaly,sn SEN
be5e1c4c,Dawid Kownacki,pl POL
2b71b88a,Luka Krajnc,si SVN
58027adc,Ladislav Krejčí,cz CZE
817c6964,Rade Krunić,ba BIH
5aaef9ef,Juraj Kucka,sk SVK
df3cda47,Dejan Kulusevski,se SWE
144607cc,Jasmin Kurtić,si SVN
822a7761,Antonino La Gumina,it ITA
4e7db402,Alban Lafont,fr FRA
8e809937,Abdou Lahat Diakhate,sn SEN
2ead2809,Gianluca Lapadula,pe PER
fed5f993,Danilo Larangeira,br BRA
09538fdb,Kevin Lasagna,it ITA
3535098b,Vincent Laurini,fr FRA
f26e3c59,Diego Laxalt,uy URU
5128bde4,Darko Lazović,rs SRB
02caf6e0,Manuel Lazzari,it ITA
4c78b5ed,Lucas Leiva,br BRA
dbe5a587,Mauricio Lemos,uy URU
