id,Gls,Sh,SoT,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG
ae3e6d85,0,2,0,0.0,0.0,22.7,0.0,0,0,0.1,0.1,-0.1,-0.1
06eae126,1,4,3,0.25,0.33,0.0,0.0,0,0,0.0,0.0,0.0,0.0
653010fb,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
97b87472,0,1,0,0.0,0.0,11.1,0.0,0,0,0.2,0.2,-0.2,-0.2
e09436fb,0,2,1,0.0,0.0,26.7,0.0,0,0,0.1,0.1,-0.1,-0.1
4f5a953e,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
c3853da6,1,5,1,0.2,1.0,18.9,0.0,0,0,0.3,0.3,0.7,0.7
2f3452eb,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
8b04d6c1,0,3,1,0.0,0.0,16.9,1.0,0,0,0.2,0.2,-0.2,-0.2
82efe6fa,2,4,2,0.5,1.0,11.6,0.0,0,0,0.3,0.3,1.7,1.7
ad1ffcfd,0,4,0,0.0,0.0,13.2,0.0,0,0,0.2,0.2,-0.2,-0.2
55a480e4,0,1,0,0.0,0.0,27.9,0.0,0,0,0.0,0.0,0.0,0.0
6fa87bf4,1,3,1,0.33,1.0,27.0,0.0,0,0,0.1,0.1,0.9,0.9
4cde5509,0,8,5,0.0,0.0,18.3,2.0,0,1,1.5,0.8,-1.5,-0.8
34caa4b3,0,2,1,0.0,0.0,16.5,0.0,0,0,0.4,0.4,-0.4,-0.4
86878265,0,6,2,0.0,0.0,21.0,0.0,0,0,0.6,0.6,-0.6,-0.6
c92e1a31,3,9,5,0.33,0.6,16.3,0.0,0,0,1.9,1.9,1.1,1.1
8ff4872e,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
42eaa028,3,14,4,0.21,0.75,17.0,1.0,0,0,1.6,1.6,1.4,1.4
55bd7d45,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
