id,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
11ced928,173,160,12,1,1,0,0,0,0,0,0,0,112,1,3
6e7f1353,892,858,29,15,3,10,64,7,7,1,5,0,719,5,18
5e22e2a4,1337,1321,14,12,2,33,12,2,0,0,0,0,1079,2,30
9744ff80,681,648,30,3,8,2,53,8,18,10,6,0,525,3,14
1a4b9094,1357,1136,220,25,0,4,100,185,10,3,6,0,1092,1,26
4315f30d,1180,1112,67,30,0,17,3,37,0,0,0,0,1063,1,5
a0b65401,529,519,10,9,0,12,2,1,0,0,0,0,373,0,4
6bde367b,948,852,95,46,1,26,84,3,46,19,21,3,707,1,13
834b5c4c,854,578,274,73,0,4,0,0,0,0,0,0,580,2,1
8b28686a,41,40,1,1,0,2,0,0,0,0,0,0,35,0,0
ea540835,44,44,0,0,0,0,0,0,0,0,0,0,39,0,0
9c2b1f11,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
d6f88a1d,851,786,64,49,1,7,20,2,13,3,8,0,728,1,6
4914ed4a,98,78,20,0,0,0,5,20,0,0,0,0,66,0,2
bef22bc4,241,223,17,6,1,2,16,3,8,2,3,0,171,1,7
86e7deaf,1505,1465,38,31,1,16,2,6,0,0,0,0,1434,2,3
fcb27134,881,765,115,15,0,15,26,100,0,0,0,0,670,1,13
5f3eaaf5,679,645,31,4,2,2,71,15,5,4,0,0,491,3,38
0f8418aa,654,636,17,10,0,14,19,6,0,0,0,0,535,1,14
e4bb1f08,7,7,0,0,0,0,0,0,0,0,0,0,3,0,0
d9a66c60,27,27,0,0,0,0,0,0,0,0,0,0,18,0,0
ffec9769,536,506,28,0,8,2,20,5,0,0,0,0,364,2,21
0670ee51,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
7b075c75,350,341,9,8,0,0,0,1,0,0,0,0,337,0,0
ae59b359,758,741,16,14,0,5,3,1,0,0,0,0,677,1,7
85e2d218,139,122,17,4,1,1,17,0,12,4,6,0,94,0,4
4e0afc5d,1076,822,253,14,0,3,74,239,0,0,0,0,808,1,39
84549a07,46,44,2,1,0,0,6,1,0,0,0,0,39,0,2
bb67bff1,29,28,1,0,0,0,2,0,0,0,0,0,21,0,1
ef2e5e1a,966,917,47,36,3,4,6,11,0,0,0,0,823,2,13
0c291a1a,27,15,12,0,0,0,0,12,0,0,0,0,19,0,3
1bab7b66,534,517,17,15,0,1,0,2,0,0,0,0,461,0,4
b99bec05,1487,1195,289,42,0,5,95,244,3,0,2,0,1076,3,27
d8b97bb3,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0
ff3a6a60,18,18,0,0,0,0,0,0,0,0,0,0,14,0,2
a0f9b535,410,391,16,3,1,0,20,8,4,4,0,0,299,3,18
814ac171,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
8da74c05,230,226,4,4,1,3,4,0,0,0,0,0,195,0,3
53e585f2,14,12,2,0,0,0,3,0,2,1,1,0,9,0,0
b056e3da,61,52,9,2,0,0,0,0,0,0,0,0,56,0,0
d520120b,541,498,41,5,1,0,17,16,0,0,0,0,348,2,15
4f255115,696,679,15,15,1,3,1,0,0,0,0,0,589,2,12
4f255115,24,22,2,2,0,0,0,0,0,0,0,0,21,0,1
5148dcc5,444,411,33,14,5,6,22,2,14,8,4,0,341,0,7
77d7c96f,857,713,144,11,0,1,48,133,0,0,0,0,680,0,29
2b9fdeea,12,12,0,0,0,0,0,0,0,0,0,0,12,0,0
f4bc42b1,701,669,31,7,1,4,52,15,2,0,1,0,546,1,22
275e2c51,1178,1120,55,54,0,12,0,1,0,0,0,0,1005,3,6
c76b7567,963,893,66,17,3,4,60,15,5,2,2,0,732,4,32
7d9397f8,378,367,11,10,1,2,1,1,0,0,0,0,329,0,5
2c92d3c0,43,41,2,1,2,1,2,1,0,0,0,0,32,0,2
5ceba7fc,195,186,8,1,0,1,18,3,0,0,0,0,149,1,7
ef7cd87a,1340,1324,13,12,1,15,10,0,0,0,0,0,1122,3,20
71ec39ef,947,930,17,16,3,11,13,0,1,0,0,0,796,0,15
1a6f2a66,484,411,71,18,3,1,44,5,39,19,13,1,394,2,4
1a6f2a66,13,12,1,1,0,0,0,0,0,0,0,0,11,0,0
c47541e0,584,511,69,22,2,8,77,10,35,21,3,1,433,4,12
de488e56,1112,881,228,23,0,4,33,205,0,0,0,0,815,3,15
a4b1028a,1569,1258,310,23,3,6,60,285,2,0,0,0,1246,1,23
b666421b,1046,1004,40,40,1,2,2,0,0,0,0,0,874,2,6
e4b72e34,844,665,177,13,0,8,26,159,5,4,1,0,620,2,17
cc41f558,599,467,131,19,0,2,38,112,0,0,0,0,432,1,10
a2d873dd,415,411,3,0,1,4,8,0,0,0,0,0,341,1,8
92cd4bef,985,963,22,18,0,14,11,2,1,0,0,0,874,0,9
e562a02e,36,35,0,0,0,1,0,0,0,0,0,0,30,1,0
95981861,34,31,3,1,0,0,1,1,1,0,1,0,24,0,2
254c927d,6,6,0,0,0,0,1,0,0,0,0,0,3,0,1
c8090cb3,701,650,48,28,0,13,41,1,19,6,13,0,535,3,19
e9743d8a,63,50,13,0,0,0,8,13,0,0,0,0,42,0,1
1467af0d,1744,1669,74,51,11,6,11,22,1,0,0,0,1608,1,4
b2791a55,46,44,2,2,0,0,0,0,0,0,0,0,36,0,0
a440d8ca,324,315,9,9,0,3,1,0,0,0,0,0,270,0,1
808df563,145,130,15,2,0,1,8,13,0,0,0,0,111,0,3
0984c5d5,24,24,0,0,0,0,0,0,0,0,0,0,23,0,0
8eec784d,31,28,2,0,1,0,2,0,0,0,0,0,21,1,2
f3600c02,458,447,10,10,1,10,6,0,0,0,0,0,387,1,9
f5c8b425,457,355,97,23,6,5,72,12,60,31,23,0,315,5,14
698b37b8,56,52,4,0,0,0,3,0,0,0,0,0,41,0,2
e2f9bb5f,522,511,8,7,3,12,8,1,0,0,0,0,416,3,7
3225654e,15,15,0,0,0,0,0,0,0,0,0,0,12,0,0
242b350c,15,15,0,0,0,2,1,0,0,0,0,0,13,0,0
095e4199,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
775185ae,155,149,5,0,2,3,14,5,0,0,0,0,105,1,7
a8797cf1,545,529,16,14,1,6,3,0,0,0,0,0,434,0,3
