id,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks
de488e56,329,92,5,0,1,5,87,0,0,0,0,0,6
deba6b05,519,11,8,2,7,6,3,0,0,0,0,3,21
dff0c299,10,0,0,0,0,0,0,0,0,0,0,0,0
dff153a4,908,27,25,1,4,0,2,0,0,0,0,2,4
e0bc6fdc,1553,265,27,1,4,69,210,28,7,19,0,2,26
e0f3a1f6,1147,61,28,1,7,8,33,0,0,0,0,0,5
e2f9bb5f,706,28,21,3,21,21,0,3,1,1,1,2,13
e3d0b0c4,823,19,17,1,8,0,2,0,0,0,0,0,2
e3e05edf,280,77,5,0,0,23,71,0,0,0,0,0,11
e3e32fbb,605,171,5,0,3,68,166,0,0,0,0,1,31
e4114f5d,215,3,2,0,3,2,1,0,0,0,0,0,1
e42d61c7,1619,208,26,1,3,52,180,2,0,0,0,3,32
e4448c8c,82,3,1,1,2,3,1,0,0,0,0,0,3
e472a6f6,1212,29,28,1,9,5,1,0,0,0,0,1,12
e4b72e34,584,122,11,1,7,46,111,0,0,0,0,4,23
e4bb1f08,76,24,4,0,1,1,20,0,0,0,0,1,2
e50623a0,498,23,22,1,7,2,1,0,0,0,0,0,6
e5c1e0ca,634,15,15,1,3,0,0,0,0,0,0,3,5
e6c43eec,809,15,13,2,9,6,2,0,0,0,0,3,7
e6eadfb8,391,48,4,2,7,33,44,0,0,0,0,0,12
e768de1f,550,25,4,0,9,22,21,0,0,0,0,2,9
e7986081,402,37,4,5,2,2,6,0,0,0,0,3,19
e7d59f4f,657,44,12,2,4,28,12,16,4,9,0,2,5
e8c5dd4d,268,146,34,0,0,0,0,0,0,0,0,0,0
e97150c0,288,8,5,0,3,1,3,0,0,0,0,0,4
ea02beaf,612,73,22,4,15,67,31,19,13,4,0,9,29
ea0aa7e0,826,224,24,5,13,61,200,0,0,0,0,5,25
ea0ff634,444,45,2,1,2,15,5,0,0,0,0,1,16
eab85789,293,5,0,1,0,15,4,1,0,0,0,1,8
eab957a3,826,31,23,0,7,6,8,0,0,0,0,1,3
eaf71a5e,139,9,2,0,0,1,7,0,0,0,0,0,5
eb58eef0,725,17,12,2,2,1,5,0,0,0,0,4,11
ecada4fc,392,155,23,0,0,0,0,0,0,0,0,0,1
ed39121c,1806,237,127,3,48,135,15,95,60,29,0,5,17
ed45c4a5,1783,163,34,5,11,7,127,0,0,0,0,4,26
edbe46dc,495,239,40,0,4,0,0,0,0,0,0,1,0
edd81e2a,1090,92,64,4,11,12,28,0,0,0,0,3,12
ee158be5,53,1,1,0,1,1,0,0,0,0,0,0,1
ee45fd85,542,45,4,1,6,28,38,3,2,0,0,4,19
ee644761,664,25,23,0,4,0,2,0,0,0,0,2,6
ee95585f,132,4,4,0,0,0,0,0,0,0,0,0,4
eef2d8ce,837,218,17,3,10,39,201,0,0,0,0,2,22
ef9c1c95,1705,55,44,4,19,19,11,0,0,0,0,6,33
f00de885,840,289,69,0,1,0,1,0,0,0,0,0,0
f066022d,1398,48,45,1,21,2,3,0,0,0,0,8,9
f20e4cc9,975,153,19,0,3,39,127,7,3,1,1,3,22
f28474a4,683,110,6,0,0,21,104,0,0,0,0,3,10
f3600c02,798,76,47,5,13,34,1,27,13,11,0,4,11
f36d5624,203,11,1,0,3,12,10,0,0,0,0,0,5
f4bc42b1,451,73,2,2,4,32,70,1,0,1,0,3,7
f520049f,579,14,13,0,2,0,1,0,0,0,0,1,2
f54d2149,402,30,20,0,10,19,0,10,6,4,0,2,12
f5b6fb78,46,6,1,0,0,0,5,0,0,0,0,0,0
f5c8b425,205,38,11,2,5,32,1,22,11,10,0,2,5
f5dfc256,0,0,0,0,0,0,0,0,0,0,0,0,0
f5efb153,534,17,17,0,3,0,0,0,0,0,0,1,3
f6496133,349,45,12,1,1,46,4,29,10,14,0,2,12
f6b94e8d,554,18,11,0,10,3,7,0,0,0,0,1,4
f7691f63,1145,289,47,2,31,188,186,56,6,44,0,1,26
f7d3a773,149,123,35,0,0,0,0,0,0,0,0,1,0
f81ef10d,1511,30,14,6,8,20,6,9,4,3,0,7,30
f83c8d6c,72,5,1,0,0,2,0,1,1,0,0,0,3
f8405304,304,9,2,1,0,23,3,0,0,0,0,1,12
f86ca403,1032,46,27,2,10,10,8,0,0,0,0,1,20
f8ce97ca,430,178,7,0,0,41,171,0,0,0,0,1,30
f98b15f0,6,1,0,0,0,1,0,0,0,0,0,0,1
f9d5908e,656,7,2,0,2,49,4,1,0,0,0,2,23
fb14aa28,413,11,2,1,2,16,4,0,0,0,0,1,20
fbf83734,238,177,44,0,1,0,0,0,0,0,0,1,0
fc46aab1,974,70,21,6,9,85,1,48,12,27,0,8,26
fc4cf6a7,815,192,19,0,3,44,173,0,0,0,0,4,32
fc62f087,635,68,16,0,1,18,52,0,0,0,0,1,10
fcc84a07,318,5,5,2,1,4,0,0,0,0,0,0,11
fd2bc67d,2352,53,49,0,17,3,4,0,0,0,0,1,10
fe6c1add,54,0,0,0,0,0,0,0,0,0,0,0,3
feb5d3ab,856,141,10,1,0,38,131,0,0,0,0,4,18
feb5d972,978,31,19,5,15,4,4,7,1,2,0,4,12
ff0ab48c,1168,195,22,2,7,76,168,5,0,4,1,3,11
ff20acfe,24,0,0,0,0,0,0,0,0,0,0,1,1
ff44d058,3,1,0,0,0,0,1,0,0,0,0,0,0
ff800ed8,962,147,12,3,5,71,133,2,1,0,0,3,35
ffec9769,175,10,0,6,0,1,1,0,0,0,0,1,2
fffea3e5,156,0,0,1,0,13,0,0,0,0,0,0,2
