id,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks
c93231dc,390,7,5,1,5,2,0,1,0,0,0,3,11
c9cb972b,52,39,9,0,0,0,0,0,0,0,0,1,0
c9e39d91,1089,149,55,4,12,108,17,69,30,24,1,11,28
cac2537b,1084,98,39,3,15,72,7,33,13,15,0,6,40
cacadf4f,977,217,16,1,34,54,201,0,0,0,0,3,34
cb574619,1585,404,58,1,12,177,321,25,2,19,1,8,50
ccaa5728,142,2,0,1,1,12,2,0,0,0,0,2,8
cce181df,731,13,13,4,17,0,0,0,0,0,0,2,7
cda0b317,143,42,15,0,0,0,0,0,0,0,0,2,0
cfd8d664,814,154,5,0,1,49,149,0,0,0,0,5,23
d04b94db,1077,136,16,0,2,17,120,0,0,0,0,0,20
d080ed5e,1093,13,10,10,19,15,2,0,0,0,0,4,15
d0d79694,360,23,5,0,2,1,18,0,0,0,0,0,2
d1491e00,174,7,0,0,0,10,5,1,0,1,0,3,3
d2110326,675,21,21,0,13,0,0,0,0,0,0,4,5
d2ac648c,119,17,9,2,0,19,1,5,2,1,0,1,6
d2be40f2,777,35,33,0,27,1,2,0,0,0,0,7,7
d2fa73e7,11,3,0,0,0,3,0,3,2,0,0,1,0
d3298c99,249,62,16,1,1,68,11,33,14,14,0,4,14
d4931a5a,106,1,0,0,1,0,0,0,0,0,0,1,7
d4c9725f,951,213,16,2,12,58,197,0,0,0,0,3,34
d4ef9ac5,663,203,19,0,4,49,182,2,0,0,0,9,30
d4f46475,166,21,5,0,5,3,16,0,0,0,0,0,1
d66b9872,139,26,8,0,2,40,3,15,7,4,2,1,7
d70a2141,1206,83,76,2,34,0,7,0,0,0,0,6,14
d70a3661,40,0,0,0,0,0,0,0,0,0,0,0,1
d70ce98e,1756,156,84,70,26,78,4,62,19,5,2,24,37
d717630e,322,3,2,1,3,1,1,0,0,0,0,1,9
d7553721,1398,50,33,15,11,15,9,5,0,2,2,13,49
d79afcfc,208,25,15,2,1,14,2,8,3,2,1,2,4
d83bbc54,1178,176,30,4,10,72,134,12,2,9,0,3,30
d83f09ff,179,56,4,0,3,20,52,0,0,0,0,1,8
d8712bf9,512,32,3,0,9,118,17,11,5,3,1,5,29
d87e2cae,722,48,4,8,30,13,2,0,0,0,0,5,29
d9764034,638,70,70,2,12,0,0,0,0,0,0,1,8
d9bda115,599,12,10,4,7,6,2,0,0,0,0,5,9
da27e268,1894,69,65,12,31,5,2,2,2,0,0,2,14
db750822,310,11,0,3,2,3,10,1,0,0,0,1,10
db8f0eba,653,166,46,4,8,222,13,101,44,43,1,4,46
dbe519cf,734,157,9,1,2,93,148,0,0,0,0,5,31
