id,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Tkld,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
867239d3,141.0,6.0,26.0,66.0,49.0,5.0,141.0,7.0,4.0,3.0,75.0,280.0,140.0,2.0,3.0,0.0,5.0,7.0,103.0,5.0
b1579026,95.0,17.0,53.0,37.0,5.0,1.0,95.0,2.0,1.0,1.0,51.0,184.0,98.0,1.0,0.0,0.0,1.0,0.0,47.0,0.0
67f0703d,364.0,53.0,228.0,131.0,6.0,3.0,364.0,1.0,1.0,0.0,250.0,940.0,473.0,1.0,1.0,0.0,2.0,1.0,280.0,1.0
d2416c2e,230.0,10.0,18.0,127.0,90.0,23.0,230.0,12.0,10.0,2.0,115.0,540.0,242.0,8.0,7.0,1.0,16.0,7.0,174.0,39.0
256ac8f4,126.0,20.0,85.0,36.0,5.0,1.0,126.0,2.0,1.0,1.0,54.0,281.0,173.0,0.0,0.0,0.0,1.0,2.0,82.0,0.0
b182a240,142.0,2.0,10.0,56.0,78.0,7.0,142.0,7.0,5.0,2.0,91.0,421.0,224.0,7.0,5.0,3.0,6.0,9.0,105.0,28.0
f090a37a,138.0,1.0,7.0,71.0,62.0,5.0,138.0,6.0,3.0,3.0,86.0,469.0,218.0,5.0,5.0,0.0,3.0,0.0,111.0,9.0
1bf33a9a,247.0,1.0,28.0,115.0,106.0,34.0,247.0,26.0,16.0,10.0,171.0,1159.0,640.0,25.0,13.0,11.0,16.0,5.0,191.0,36.0
34c3b935,31.0,24.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,9.0,62.0,43.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
8794e251,403.0,16.0,66.0,246.0,96.0,11.0,403.0,7.0,3.0,4.0,249.0,1518.0,790.0,11.0,9.0,3.0,7.0,0.0,275.0,16.0
0630eb63,31.0,1.0,8.0,13.0,11.0,3.0,31.0,6.0,3.0,3.0,23.0,132.0,66.0,3.0,3.0,1.0,3.0,1.0,18.0,7.0
53de807a,84.0,11.0,41.0,36.0,10.0,1.0,84.0,0.0,0.0,0.0,35.0,138.0,66.0,0.0,2.0,0.0,0.0,2.0,47.0,0.0
9a1f2e1c,397.0,22.0,144.0,170.0,83.0,5.0,397.0,5.0,2.0,3.0,219.0,1085.0,569.0,17.0,14.0,2.0,9.0,3.0,223.0,18.0
d003e213,413.0,15.0,134.0,199.0,81.0,3.0,413.0,2.0,1.0,1.0,238.0,736.0,356.0,1.0,5.0,0.0,5.0,1.0,290.0,28.0
0c2ac3cb,128.0,4.0,22.0,70.0,36.0,5.0,128.0,4.0,3.0,1.0,87.0,456.0,229.0,9.0,1.0,3.0,5.0,4.0,104.0,9.0
9686fc54,147.0,43.0,102.0,43.0,2.0,1.0,147.0,0.0,0.0,0.0,71.0,353.0,135.0,0.0,1.0,0.0,0.0,0.0,73.0,0.0
89f951b5,448.0,9.0,61.0,275.0,115.0,9.0,448.0,8.0,3.0,5.0,244.0,1164.0,587.0,4.0,8.0,0.0,7.0,4.0,338.0,10.0
47fd5136,329.0,52.0,166.0,151.0,16.0,1.0,329.0,2.0,2.0,0.0,214.0,1211.0,703.0,5.0,5.0,0.0,4.0,1.0,230.0,3.0
7483d9f9,457.0,46.0,196.0,243.0,19.0,8.0,457.0,2.0,0.0,2.0,253.0,1427.0,841.0,6.0,6.0,0.0,2.0,0.0,278.0,2.0
8a1d7b51,260.0,22.0,79.0,117.0,65.0,3.0,260.0,11.0,10.0,1.0,130.0,678.0,223.0,2.0,7.0,1.0,11.0,6.0,135.0,20.0
08511d65,414.0,52.0,211.0,196.0,9.0,6.0,413.0,2.0,2.0,0.0,256.0,1044.0,501.0,2.0,0.0,1.0,0.0,1.0,322.0,2.0
ef619b0b,254.0,5.0,43.0,136.0,79.0,13.0,254.0,6.0,4.0,2.0,138.0,613.0,264.0,5.0,6.0,1.0,6.0,2.0,198.0,27.0
1dbfae2d,105.0,1.0,10.0,56.0,40.0,7.0,105.0,8.0,4.0,4.0,67.0,404.0,172.0,5.0,4.0,2.0,2.0,5.0,80.0,19.0
a1d5bd30,208.0,5.0,10.0,85.0,116.0,32.0,207.0,28.0,15.0,13.0,104.0,928.0,476.0,20.0,11.0,15.0,8.0,6.0,167.0,44.0
e358587b,301.0,265.0,301.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,160.0,765.0,429.0,0.0,1.0,1.0,0.0,0.0,182.0,0.0
6b21b7b5,21.0,0.0,1.0,6.0,14.0,0.0,21.0,0.0,0.0,0.0,12.0,64.0,25.0,0.0,1.0,0.0,1.0,0.0,19.0,0.0
3376a776,175.0,13.0,51.0,92.0,34.0,4.0,175.0,3.0,2.0,1.0,68.0,226.0,100.0,2.0,2.0,0.0,7.0,1.0,99.0,7.0
36a3ff67,359.0,9.0,51.0,131.0,178.0,22.0,359.0,15.0,5.0,10.0,186.0,1144.0,652.0,24.0,17.0,5.0,14.0,8.0,252.0,45.0
7fa4e703,319.0,6.0,23.0,123.0,176.0,24.0,319.0,13.0,5.0,8.0,178.0,1162.0,634.0,17.0,16.0,7.0,10.0,5.0,255.0,43.0
54f5ce34,189.0,13.0,77.0,80.0,32.0,0.0,189.0,0.0,0.0,0.0,101.0,399.0,202.0,2.0,5.0,0.0,0.0,0.0,117.0,6.0
0a3d6d2b,121.0,5.0,29.0,60.0,32.0,0.0,121.0,2.0,0.0,2.0,61.0,243.0,76.0,0.0,1.0,0.0,3.0,2.0,77.0,10.0
733e7ad8,186.0,11.0,48.0,101.0,37.0,3.0,186.0,2.0,2.0,0.0,101.0,462.0,182.0,3.0,2.0,0.0,2.0,2.0,119.0,2.0
335fa267,191.0,8.0,38.0,102.0,53.0,5.0,191.0,2.0,2.0,0.0,128.0,500.0,334.0,3.0,7.0,0.0,1.0,0.0,148.0,9.0
2e4f5f03,714.0,24.0,170.0,351.0,204.0,13.0,714.0,15.0,7.0,8.0,445.0,2686.0,1871.0,38.0,30.0,2.0,2.0,2.0,447.0,37.0
da27e268,178.0,3.0,27.0,116.0,36.0,0.0,178.0,3.0,1.0,2.0,98.0,377.0,224.0,1.0,2.0,0.0,1.0,2.0,137.0,3.0
6434f10d,897.0,19.0,123.0,632.0,153.0,10.0,897.0,11.0,8.0,3.0,529.0,2273.0,1302.0,7.0,12.0,2.0,4.0,3.0,720.0,8.0
3814b753,95.0,5.0,19.0,37.0,41.0,2.0,95.0,6.0,3.0,3.0,65.0,450.0,252.0,9.0,9.0,0.0,6.0,3.0,63.0,20.0
20df3aaf,79.0,1.0,31.0,45.0,3.0,0.0,79.0,0.0,0.0,0.0,54.0,264.0,107.0,1.0,0.0,0.0,1.0,4.0,66.0,1.0
19709006,190.0,1.0,18.0,105.0,69.0,5.0,190.0,4.0,3.0,1.0,90.0,360.0,152.0,4.0,3.0,0.0,11.0,4.0,136.0,18.0
8f5e92a6,190.0,3.0,30.0,75.0,88.0,18.0,190.0,15.0,8.0,7.0,133.0,721.0,348.0,14.0,6.0,5.0,11.0,6.0,155.0,37.0
a3d94a58,390.0,45.0,204.0,169.0,22.0,10.0,390.0,4.0,1.0,3.0,162.0,908.0,358.0,2.0,1.0,1.0,1.0,2.0,161.0,4.0
dea698d9,286.0,7.0,11.0,121.0,156.0,39.0,284.0,19.0,10.0,9.0,182.0,841.0,377.0,15.0,22.0,8.0,11.0,9.0,242.0,70.0
ed45c4a5,345.0,13.0,77.0,219.0,51.0,3.0,345.0,12.0,11.0,1.0,211.0,1100.0,641.0,11.0,6.0,0.0,1.0,4.0,238.0,9.0
2a1beb34,330.0,6.0,77.0,206.0,49.0,3.0,330.0,4.0,1.0,3.0,151.0,677.0,353.0,4.0,4.0,0.0,5.0,3.0,201.0,3.0
18b896d6,709.0,83.0,322.0,358.0,34.0,3.0,709.0,2.0,2.0,0.0,465.0,2158.0,1294.0,8.0,11.0,0.0,6.0,2.0,537.0,0.0
14b8fcdf,8.0,4.0,6.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ae9898c5,18.0,0.0,3.0,8.0,7.0,1.0,18.0,0.0,0.0,0.0,7.0,57.0,38.0,1.0,1.0,0.0,1.0,0.0,12.0,2.0
c64c01fc,11.0,0.0,1.0,3.0,7.0,5.0,10.0,1.0,1.0,0.0,6.0,32.0,17.0,1.0,0.0,1.0,0.0,0.0,6.0,4.0
32314605,81.0,2.0,29.0,31.0,22.0,2.0,81.0,3.0,3.0,0.0,42.0,224.0,82.0,5.0,4.0,2.0,5.0,5.0,50.0,12.0
86dd16a8,319.0,38.0,124.0,139.0,58.0,2.0,319.0,6.0,4.0,2.0,139.0,778.0,368.0,12.0,7.0,1.0,4.0,6.0,147.0,9.0
903b6e8b,228.0,203.0,228.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,129.0,777.0,513.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0
e280527c,463.0,17.0,97.0,291.0,80.0,3.0,463.0,7.0,4.0,3.0,246.0,1080.0,493.0,7.0,8.0,1.0,10.0,3.0,309.0,9.0
4c32fb38,7.0,1.0,2.0,4.0,1.0,0.0,7.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
d97b252e,141.0,117.0,139.0,2.0,0.0,0.0,141.0,2.0,2.0,0.0,66.0,443.0,317.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0
d63e2912,367.0,16.0,110.0,187.0,74.0,2.0,367.0,8.0,5.0,3.0,181.0,654.0,319.0,5.0,5.0,0.0,5.0,3.0,229.0,23.0
e342ad68,349.0,4.0,25.0,145.0,184.0,53.0,348.0,23.0,15.0,8.0,235.0,1406.0,587.0,21.0,21.0,19.0,31.0,19.0,269.0,86.0
74733221,53.0,41.0,51.0,2.0,0.0,0.0,53.0,0.0,0.0,0.0,26.0,134.0,76.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
2c0f8e9e,63.0,3.0,4.0,21.0,38.0,8.0,63.0,6.0,3.0,3.0,35.0,192.0,63.0,3.0,2.0,2.0,2.0,4.0,48.0,17.0
dbf053da,321.0,1.0,23.0,85.0,218.0,18.0,320.0,32.0,14.0,18.0,209.0,1566.0,824.0,21.0,22.0,5.0,11.0,0.0,249.0,54.0
