id,Cmp,Att,TotDist,PrgDist,Cmp.1,Att.1,Cmp.2,Att.2,Cmp.3,Att.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
21166ff4,1630,1935,29197.0,10178.0,654,720,827,894,125,263,0,0.1,0.2,-0.1,3,70,3,2,71
21512407,189,284,3454.0,1758.0,93,112,59,87,33,69,0,0.3,0.5,-0.3,7,15,5,0,17
21945a9e,1,1,9.0,0.0,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
21a66f6a,637,945,11124.0,3759.0,305,397,197,283,91,140,9,9.1,5.5,-0.1,49,89,42,6,143
235a62f8,21,41,297.0,81.0,13,18,8,13,0,8,0,0.0,0.0,0.0,0,0,0,0,0
2389cdc2,1113,1627,18719.0,7079.0,547,631,435,606,101,291,3,2.8,2.4,0.2,28,71,32,16,96
240c8ab6,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
24f59bb2,768,952,12029.0,4281.0,417,475,299,362,38,71,2,1.9,1.6,0.1,22,70,16,6,111
24fae784,579,863,9841.0,4321.0,271,314,232,355,55,138,1,1.2,1.5,-0.2,13,46,17,5,61
2500cef9,188,286,2465.0,593.0,121,164,50,70,7,17,1,0.9,1.0,0.1,9,13,10,1,29
254147d4,109,147,1480.0,513.0,58,68,39,51,4,10,0,0.3,0.5,-0.3,6,10,9,2,18
2628fd2b,76,115,2214.0,1594.0,18,18,28,28,29,67,0,0.0,0.0,0.0,0,0,0,0,0
2691c772,122,198,1577.0,452.0,81,108,30,52,5,10,0,0.9,1.0,-0.9,8,21,5,1,17
26d3b5be,7,12,66.0,19.0,5,9,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0
26f6dca8,1118,1237,16115.0,3945.0,642,678,372,407,52,77,3,2.4,2.5,0.6,23,87,22,3,119
27c01749,14,19,172.0,16.0,8,8,5,5,0,1,0,0.1,0.1,-0.1,1,0,0,0,1
282679b4,800,1026,11259.0,3630.0,453,514,240,314,38,84,2,2.2,2.0,-0.2,31,72,23,3,105
282f75f3,1726,1958,35875.0,11690.0,467,508,1019,1077,228,338,0,0.4,0.4,-0.4,3,87,4,1,83
28300a16,34,38,744.0,408.0,9,9,21,21,4,8,0,0.0,0.0,0.0,0,0,0,0,0
2886c9b5,257,308,3885.0,900.0,140,156,85,99,17,30,0,0.5,0.5,-0.5,9,21,6,1,35
28d596a0,115,138,2398.0,1340.0,36,36,55,55,21,44,0,0.0,0.0,0.0,0,1,0,0,0
291e3ec3,95,150,1466.0,288.0,53,68,32,46,5,10,1,0.6,0.5,0.4,5,8,5,2,10
