id,Cmp,Att,TotDist,PrgDist,Cmp.1,Att.1,Cmp.2,Att.2,Cmp.3,Att.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
004d185e,393,579,5762.0,1644.0,228,289,113,170,28,64,3,1.8,2.5,1.2,16,25,19,9,50
0076ab7f,602,675,10848.0,3055.0,235,254,308,331,47,68,0,0.1,0.2,-0.1,2,27,0,0,20
00b28772,661,865,9614.0,2172.0,390,460,205,269,36,64,2,0.8,1.0,1.2,19,47,7,1,51
01da7812,145,214,2104.0,608.0,74,97,47,69,10,20,1,0.9,1.1,0.1,7,2,4,2,12
01eb744d,465,638,5631.0,1250.0,300,353,97,146,17,42,5,3.7,3.7,1.3,25,29,15,1,65
02319ad7,135,207,1741.0,366.0,80,112,40,55,4,11,0,0.6,0.4,-0.6,8,7,5,1,11
02c15616,1055,1327,14552.0,4204.0,612,690,289,378,66,110,2,2.6,3.1,-0.6,26,54,29,10,81
02d2c436,622,806,13293.0,5416.0,170,189,346,389,99,204,0,0.2,0.5,-0.2,5,43,4,2,58
02ef8778,611,749,10477.0,1766.0,324,365,175,208,82,113,3,1.6,1.8,1.4,25,44,20,4,86
03049c8c,761,886,12983.0,3403.0,351,387,308,343,72,94,1,0.5,0.5,0.5,8,81,6,1,67
030ef8d6,6,9,125.0,49.0,4,4,0,0,2,3,1,0.4,0.2,0.6,2,0,2,2,0
036bba5f,556,667,10541.0,3267.0,247,267,201,226,91,138,0,0.9,1.2,-0.9,14,85,12,3,87
037dbd30,789,1073,13969.0,4767.0,384,437,294,370,94,197,0,1.3,1.9,-1.3,16,56,29,7,96
04965583,877,1093,14118.0,4962.0,439,475,341,411,61,121,0,2.3,2.2,-2.3,26,53,28,9,78
04ac8285,299,447,10204.0,8337.0,41,42,108,110,148,291,1,0.0,0.0,1.0,1,9,0,0,0
04e17fd5,122,191,1764.0,263.0,69,97,34,54,9,16,1,1.2,0.7,-0.2,6,7,3,0,14
05439de2,1788,1968,29585.0,10903.0,831,870,804,859,102,161,3,2.2,3.0,0.8,21,143,15,3,154
056269d7,652,754,10563.0,3034.0,320,340,252,289,53,84,1,0.9,1.2,0.1,9,38,13,8,43
068f4dec,81,93,1371.0,306.0,42,45,28,34,10,10,0,0.2,0.3,-0.2,3,8,0,0,11
070a3904,1427,1733,25904.0,7951.0,644,704,566,646,170,276,9,3.9,3.3,5.1,37,192,43,5,221
0959c2a2,1039,1183,15572.0,3864.0,587,631,328,360,73,104,1,1.7,1.7,-0.7,24,119,19,0,129
09a9e921,62,99,913.0,279.0,34,51,23,37,3,5,1,1.3,0.4,-0.3,7,6,4,0,10
0a8fd9cb,30,38,439.0,89.0,15,17,8,12,3,4,0,0.0,0.0,0.0,0,2,1,0,2
0abc51f2,742,1108,14772.0,6181.0,269,345,374,464,93,260,0,0.1,0.3,-0.1,2,49,1,1,61
0ac94a23,104,171,1671.0,410.0,52,69,39,59,8,21,1,0.4,0.8,0.6,3,7,6,0,19
0ae4e09a,313,462,4374.0,1057.0,190,240,87,126,18,37,3,3.2,1.0,-0.2,23,23,15,1,50
0b2c8585,659,790,10891.0,2926.0,341,377,233,266,58,97,0,0.3,0.6,-0.3,10,76,5,1,76
0b90bb97,432,662,5909.0,1027.0,260,361,97,150,31,51,3,2.6,1.7,0.4,21,28,9,1,36
0ba976e4,133,160,1417.0,245.0,84,92,23,29,2,3,0,0.4,0.5,-0.4,2,4,6,1,9
0bc4e720,104,153,1633.0,386.0,52,65,34,45,12,26,1,0.4,0.5,0.6,5,6,3,2,9
0c2ac3cb,582,677,8313.0,2063.0,338,367,170,189,37,59,0,0.5,1.2,-0.5,9,66,11,2,54
0c717ae6,8,22,167.0,11.0,2,4,5,10,1,8,0,0.0,0.0,0.0,0,0,0,0,0
0cadc46d,245,458,3142.0,764.0,153,241,55,125,10,22,3,1.4,1.0,1.6,14,15,12,1,33
0cb29e91,266,338,4051.0,1239.0,136,161,88,112,23,31,1,0.1,0.2,0.9,3,26,2,0,33
0d9b2d31,513,606,8778.0,2142.0,238,264,196,226,57,68,1,1.2,1.8,-0.2,15,57,19,1,84
0e4fef6e,989,1281,15897.0,5119.0,511,614,373,475,69,114,0,0.6,1.1,-0.6,9,107,13,0,156
0e50f929,119,177,2207.0,796.0,51,64,44,56,18,43,0,0.2,0.2,-0.2,4,19,2,1,18
0e5ddc7c,155,197,1958.0,396.0,104,119,34,39,5,9,2,2.2,1.2,-0.2,13,14,6,0,15
0ef89a37,268,325,3401.0,791.0,172,183,61,79,8,27,0,0.3,1.4,-0.3,1,27,9,2,35
10072610,332,507,10758.0,8164.0,55,55,128,132,147,315,0,0.1,0.0,-0.1,1,9,1,0,0
106c142c,249,348,3387.0,1337.0,149,169,81,118,10,21,0,0.2,0.7,-0.2,6,14,5,2,21
112521d1,935,1265,14550.0,5521.0,514,584,326,425,65,164,1,1.2,2.1,-0.2,23,45,16,10,69
11b9265b,493,617,7664.0,1984.0,259,285,190,222,26,55,2,1.9,2.8,0.1,16,31,21,7,53
11fd2b75,1051,1234,19127.0,5066.0,457,501,435,485,131,191,0,0.2,0.3,-0.2,7,69,4,0,92
12c50af5,1639,2054,26020.0,7452.0,849,959,575,696,136,247,6,4.4,4.6,1.6,46,174,36,7,216
132ac341,430,540,8873.0,3347.0,121,142,240,282,61,103,0,0.1,0.5,-0.1,2,26,2,1,32
15937e17,169,201,3630.0,1367.0,45,49,97,103,25,44,0,0.0,0.0,0.0,1,13,0,0,15
162efffd,1106,1407,20406.0,6700.0,495,551,379,454,177,290,1,4.6,4.8,-3.6,49,132,40,10,162
16aa3654,349,504,5067.0,1876.0,197,238,106,152,25,49,0,3.0,2.8,-3.0,32,33,23,5,68
16e9d0ea,1016,1389,15298.0,6008.0,572,671,362,488,51,148,3,1.9,2.0,1.1,21,70,24,9,97
174651c8,143,182,2838.0,941.0,62,71,56,71,23,35,0,0.0,0.1,0.0,1,12,1,0,20
17a1299d,28,34,734.0,459.0,6,6,13,14,9,14,0,0.0,0.0,0.0,0,0,0,0,0
1827a42d,170,205,3299.0,776.0,61,68,86,99,21,34,0,0.1,0.1,-0.1,2,4,2,2,7
1840e36d,936,1137,21923.0,14425.0,208,210,531,537,192,383,0,0.0,0.0,0.0,0,5,0,0,1
18abe173,1270,1567,26020.0,8332.0,359,420,740,830,159,278,0,0.3,0.5,-0.3,6,101,5,1,110
18f0a9f0,0,1,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0
19709006,484,643,8368.0,2364.0,260,314,144,182,64,113,1,1.7000000000000002,1.9,-0.7000000000000001,16,47,15,5,58
19b776e9,357,499,4875.0,1259.0,221,274,90,121,20,38,1,1.8,1.7,-0.8,13,22,5,2,38
19c36442,1150,1464,20993.0,7352.0,509,575,445,508,156,298,3,3.5,3.8,-0.5,42,151,21,12,167
19cae58d,1086,1262,14787.0,2659.0,658,697,300,350,55,88,5,3.2,4.1,1.8,20,104,25,6,115
1bacc518,1504,1680,23427.0,5811.0,797,856,519,568,112,139,3,3.4,4.1,-0.4,43,170,36,3,206
1bc432b7,24,34,258.0,30.0,12,16,6,9,0,0,1,0.1,0.0,0.9,3,3,0,0,1
