id,Cmp,Att,TotDist,PrgDist,Cmp.1,Att.1,Cmp.2,Att.2,Cmp.3,Att.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
be3a0121,651,804,11952.0,4500.0,248,273,338,376,56,116,0,0.1,0.6,-0.1,2,28,7,2,50
bf12926c,109,131,1203.0,206.0,68,70,22,28,1,6,1,0.4,0.4,0.6,7,8,2,0,8
bf97c188,640,785,11445.0,4330.0,265,291,308,346,52,111,1,0.4,0.2,0.6,2,50,4,1,52
bfb15d99,19,24,514.0,356.0,4,4,8,8,7,12,0,0.0,0.0,0.0,0,1,0,0,0
c00097d2,898,1106,17657.0,7066.0,339,394,392,443,148,221,0,0.7,0.3,-0.7,8,50,5,1,86
c05dfb74,1042,1250,15973.0,3974.0,551,617,361,418,76,115,3,3.3,3.5,-0.3,29,121,36,4,179
c0617e2b,953,1037,15425.0,3344.0,520,551,346,362,74,84,0,1.2,1.2,-1.2,24,93,14,2,140
c0b1a6da,84,177,3228.0,2672.0,3,3,31,32,50,142,0,0.0,0.0,0.0,0,0,0,0,0
c14bc029,1232,1619,18291.0,5554.0,679,774,417,556,71,140,1,1.3,2.1,-0.3,15,110,19,4,120
c2111b45,138,157,2878.0,1151.0,37,39,79,82,21,34,0,0.0,0.0,0.0,0,0,0,0,5
c3ee18ef,448,557,7150.0,2600.0,221,246,173,205,32,67,0,0.8,0.7,-0.8,3,24,7,3,36
c49afee6,50,71,577.0,124.0,25,35,13,17,2,2,0,0.0,0.1,0.0,0,3,2,0,5
c4b8bcf4,381,561,4743.0,882.0,241,321,91,140,11,17,1,1.4,2.1,-0.4,15,33,14,0,55
c4dce677,4,6,32.0,11.0,1,3,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0
c67cd65c,483,630,9755.0,3953.0,164,189,239,279,73,128,1,1.2000000000000002,0.7,-0.2,6,30,2,0,47
c7429db3,17,19,194.0,26.0,12,13,4,4,0,1,0,0.0,0.0,0.0,0,1,0,0,0
c818c4d9,34,40,864.0,569.0,7,7,16,17,11,16,0,0.0,0.0,0.0,0,1,1,0,0
c8764028,21,27,352.0,102.0,8,8,11,14,1,3,0,0.0,0.0,0.0,0,1,0,0,1
c904f3d5,313,361,6760.0,2435.0,74,84,183,198,52,69,0,0.2,0.2,-0.2,1,13,2,0,25
c90977db,957,1303,14832.0,3086.0,518,646,319,400,75,124,5,5.4,5.4,-0.4,48,65,51,12,134
c93231dc,296,400,4913.0,1106.0,127,169,134,162,20,35,0,0.1,0.1,-0.1,2,16,1,0,35
c9cb972b,59,92,2118.0,1850.0,9,9,15,17,35,65,0,0.0,0.0,0.0,0,0,0,0,0
c9e39d91,919,1249,14272.0,4225.0,477,546,300,393,79,182,7,4.1,4.7,2.9,45,73,25,5,112
cac2537b,864,1188,13783.0,4114.0,432,528,291,364,83,171,4,3.8,2.7,0.2,29,94,26,6,150
cacadf4f,957,1197,15766.0,5283.0,506,557,343,422,76,144,3,2.4,2.9,0.6,16,60,23,11,90
cb574619,1426,1997,22809.0,8871.0,750,846,513,713,116,307,4,4.7,4.7,-0.7,31,94,39,19,136
ccaa5728,92,146,1411.0,469.0,52,65,30,47,7,16,0,0.3,0.2,-0.3,6,8,6,0,15
cce181df,628,746,12446.0,3392.0,248,284,264,293,101,132,1,0.9,0.7,0.1,6,81,6,0,87
cda0b317,147,187,3745.0,2755.0,33,33,71,73,43,79,0,0.0,0.0,0.0,0,2,0,0,0
cfd8d664,774,973,10659.0,3909.0,497,550,200,266,43,79,2,3.5,3.1,-1.5,20,41,20,9,57
d04b94db,1098,1213,14699.0,3251.0,697,738,306,342,43,52,0,0.3,0.7,-0.3,4,51,8,0,44
d080ed5e,873,1110,15160.0,4570.0,403,479,349,426,94,143,3,2.4,2.7,0.6,13,111,17,4,142
d0d79694,360,383,6597.0,1848.0,138,146,185,191,33,40,0,0.0,0.1,0.0,0,31,0,0,22
d1491e00,136,184,1787.0,433.0,98,110,28,42,7,19,0,0.5,0.6000000000000001,-0.5,5,8,5,2,13
d2110326,592,700,11670.0,4175.0,200,225,305,338,79,118,0,0.0,0.1,0.0,0,24,0,0,48
d2ac648c,82,137,1421.0,494.0,35,50,33,53,9,19,0,0.2,0.3,-0.2,3,8,7,2,14
d2be40f2,644,819,15431.0,5193.0,142,176,334,382,162,237,0,0.1,0.1,-0.1,1,50,0,0,75
d2fa73e7,10,15,109.0,19.0,8,10,2,2,0,2,0,0.0,0.0,0.0,0,0,0,0,0
d3298c99,206,315,3270.0,1053.0,117,128,61,99,19,55,0,1.4,1.6,-1.4,12,15,8,3,23
d4931a5a,61,108,635.0,97.0,44,71,4,12,1,1,0,0.2,0.3,-0.2,3,2,3,0,4
d4c9725f,937,1167,13917.0,4109.0,541,606,333,398,38,88,2,1.8,1.7,0.2,18,44,17,8,72
d4ef9ac5,645,875,9464.0,4231.0,386,441,201,261,33,95,2,1.2,1.4,0.8,15,54,19,5,67
d4f46475,151,187,2991.0,1256.0,52,61,82,95,16,27,0,0.1,0.2,-0.1,1,16,2,0,17
d66b9872,84,166,1471.0,566.0,42,62,27,50,13,36,0,0.3,0.6,-0.3,5,10,5,5,11
d70a2141,1064,1295,20994.0,7883.0,397,457,516,574,140,221,0,0.4,0.2,-0.4,5,63,0,0,95
d70a3661,36,40,647.0,106.0,18,19,11,13,7,7,0,0.0,0.0,0.0,0,6,0,0,3
d70ce98e,1504,1936,24346.0,8451.0,839,948,453,598,155,242,13,14.4,14.0,-1.4,89,200,140,2,328
d717630e,279,326,3879.0,832.0,167,180,89,101,9,16,0,0.1,0.2,-0.1,2,21,1,0,22
d7553721,1194,1461,18078.0,4211.0,632,713,425,487,66,106,4,4.0,3.8,0.0,27,119,40,1,175
d79afcfc,169,235,2681.0,808.0,84,100,52,73,18,38,2,0.5,0.6,1.5,8,22,6,2,20
d83bbc54,1033,1357,16222.0,5850.0,563,639,368,470,69,158,3,4.3,3.2,-1.3,31,92,24,9,118
d83f09ff,169,236,2828.0,1112.0,81,97,78,97,8,32,0,0.2,0.3,-0.2,3,9,5,3,15
d8712bf9,326,549,5522.0,1258.0,174,219,95,163,40,103,1,3.5,2.2,-2.5,23,21,17,17,35
d87e2cae,569,775,9810.0,1574.0,294,357,167,223,80,117,5,3.7,3.2,1.3,36,35,21,2,60
d9764034,533,709,12091.0,5470.0,150,182,256,293,121,209,2,1.0,0.4,1.0,3,31,1,0,48
d9bda115,490,616,7978.0,2147.0,247,294,188,224,39,51,0,0.6,0.9,-0.6,9,49,4,1,63
da27e268,1702,1965,32538.0,10561.0,680,766,749,832,241,299,2,3.6,2.9,-1.6,23,196,21,0,259
db750822,249,322,3103.0,936.0,157,193,50,64,12,17,1,1.0,1.4,0.0,8,13,10,0,37
db8f0eba,486,823,8573.0,2811.0,218,279,168,262,69,195,6,7.4,6.8,-1.4,54,28,22,16,53
dbe519cf,644,896,9991.0,4264.0,357,400,213,296,50,132,1,1.9,1.4,-0.9,23,59,25,13,71
ddd5348b,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
de7d40d6,831,1053,13505.0,4946.0,424,468,322,401,61,133,3,0.9,1.1,2.1,16,46,22,9,64
debc6b55,84,137,1059.0,173.0,55,84,20,32,2,4,0,0.9,0.6,-0.9,4,7,0,0,6
dee86451,1696,1912,28860.0,7849.0,806,876,660,717,176,223,5,1.8,2.4,3.2,18,195,24,0,199
def69cd0,76,98,1090.0,370.0,45,48,21,33,5,7,0,0.0,0.1,0.0,1,6,2,0,9
df69b544,1123,1510,16009.0,4255.0,647,764,290,391,92,175,8,7.7,7.4,0.3,73,79,60,5,136
df8b52a5,155,191,1864.0,692.0,94,107,37,46,5,7,0,0.3,0.2,-0.3,4,3,4,1,13
e1cbb531,1257,1418,20195.0,5158.0,648,712,473,511,100,128,1,0.9,1.3,0.1,18,89,12,2,118
e1cea3f7,171,270,2737.0,822.0,97,127,56,91,13,28,2,2.0,1.3,0.0,14,13,15,5,28
e1deea75,802,1009,15263.0,6512.0,312,349,372,435,103,189,1,0.3,1.4,0.7,5,57,8,1,65
e208bcc8,81,110,1332.0,390.0,39,56,31,38,7,10,0,0.0,0.1,0.0,0,11,1,0,14
e29d1111,1274,1841,22285.0,9036.0,590,673,537,700,124,354,3,3.7,3.3,-0.7,42,94,44,18,151
e2e9c250,1415,1750,26810.0,9060.0,619,675,548,635,213,357,10,6.8,6.8,3.2,71,170,51,10,255
e3993b65,43,68,748.0,243.0,22,28,13,18,6,17,0,0.1,0.3,-0.1,2,5,4,2,7
e3fabb0a,151,212,1757.0,465.0,102,124,27,40,5,10,1,1.5,1.2,-0.5,10,8,15,3,23
e49ce451,1196,1397,20720.0,7021.0,551,626,485,535,119,155,0,0.7,0.5,-0.7,11,93,9,1,113
e4b8c5b6,95,116,2036.0,558.0,24,27,52,58,19,31,0,0.0,0.0,0.0,0,3,0,0,4
e4ed2628,1254,1537,18297.0,6454.0,720,776,406,500,68,160,2,1.1,1.9,0.9,15,95,25,7,110
e54bd0a2,876,1066,14800.0,5302.0,407,481,376,423,71,99,0,1.2,1.0,-1.2,22,102,8,1,132
e6bc67d7,471,667,7219.0,2146.0,260,314,160,224,35,69,3,2.7,3.6,0.3,21,46,39,3,97
e778654a,352,474,5257.0,1964.0,204,247,106,138,25,55,0,0.2,0.3,-0.2,4,40,5,0,46
e7ab4179,514,710,10250.0,4914.0,208,236,219,281,79,171,0,0.1,0.3,-0.1,3,64,6,0,65
e7f4603c,1085,1345,17344.0,4003.0,587,655,348,426,106,176,3,4.8,3.7,-1.8,36,88,40,4,148
e82d2807,37,47,426.0,50.0,22,25,6,9,1,1,0,0.1,0.0,-0.1,2,1,0,0,0
e897d8ba,278,407,3470.0,615.0,169,214,67,105,13,27,0,1.8,1.9,-1.8,14,19,8,1,27
e98f3a6a,47,52,1034.0,450.0,7,8,34,36,6,8,0,0.0,0.0,0.0,0,6,0,0,7
e9fbcc21,0,1,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0
ea6a7ab4,76,103,1337.0,189.0,39,44,21,28,13,19,1,0.8,0.8,0.2,5,2,1,0,7
eb2fe5b6,36,47,481.0,107.0,25,29,7,9,2,3,1,0.1,0.1,0.9,3,4,0,0,4
ecada4fc,240,300,6672.0,4356.0,21,21,145,146,74,133,0,0.0,0.0,0.0,0,2,0,0,0
ecd8c01e,707,1039,13464.0,4800.0,326,386,214,304,136,269,5,5.2,4.4,-0.2,30,103,26,5,128
ed239245,462,651,7490.0,2889.0,236,264,190,264,27,92,2,1.8,1.1,0.2,10,32,19,8,48
ed5c5fa3,783,865,13504.0,2928.0,346,371,335,364,78,86,0,0.8,0.8,-0.8,10,55,6,0,67
ee8508c0,476,864,17872.0,15366.0,55,56,163,168,258,637,0,0.0,0.0,0.0,0,12,0,0,0
ee923664,87,116,1251.0,437.0,46,56,34,43,2,7,0,0.0,0.0,0.0,1,4,3,1,4
ef322658,1453,1684,25347.0,5869.0,685,744,583,653,144,205,4,3.6,3.2,0.4,31,118,26,5,151
f03f284b,1070,1213,21115.0,8037.0,360,402,549,589,147,201,0,0.3,0.4,-0.3,5,72,6,1,81
f090a37a,106,116,1562.0,227.0,67,72,34,35,4,6,0,0.7,0.2,-0.7,2,13,2,0,16
f0da930c,585,734,12538.0,4916.0,191,211,266,305,121,200,0,0.5,0.5,-0.5,3,36,2,0,29
f11fe861,365,517,8325.0,2740.0,80,109,199,242,81,142,1,0.3,0.3,0.7,3,17,2,2,29
f1887f53,69,77,1293.0,236.0,26,28,30,33,11,12,0,0.0,0.1,0.0,0,6,1,1,9
f1bed920,180,239,2853.0,1331.0,94,112,67,86,14,26,0,0.3,0.3,-0.3,6,9,4,3,18
f2308b33,845,1285,14873.0,7131.0,424,499,303,437,103,269,6,5.3,3.7,0.7,47,73,30,23,98
f2a68b97,332,443,4988.0,1943.0,189,217,100,141,26,47,0,0.2,0.6,-0.2,3,21,4,0,34
f3112790,717,1051,14328.0,6245.0,275,327,316,424,118,269,1,0.7,0.7,0.3,9,71,11,6,89
f3b1d9a2,142,210,2264.0,798.0,77,99,47,64,13,22,2,1.5,1.2,0.5,10,12,10,1,30
f4b7f2ec,4,6,38.0,5.0,3,4,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0
f4ec4fd0,46,61,563.0,63.0,32,39,8,11,2,3,0,0.1,0.1,-0.1,2,1,0,0,2
f6798fc3,660,984,21715.0,15369.0,51,51,312,319,296,611,0,0.0,0.0,0.0,0,11,0,0,0
f69d934e,164,235,2726.0,1449.0,79,91,69,94,12,32,0,0.2,0.2,-0.2,5,11,7,4,17
f6ac68c1,446,549,9053.0,3359.0,161,171,202,230,75,129,2,0.7,0.2,1.3,3,41,2,0,40
f7dc2ae5,965,1236,17700.0,6583.0,370,422,510,611,78,159,0,0.6,0.9,-0.6,9,44,12,9,71
f8eca1b6,367,539,4751.0,1034.0,239,317,78,115,17,34,3,1.5,0.7,1.5,19,39,6,1,46
fa937f7a,1823,2241,37173.0,13708.0,689,764,781,903,321,486,5,4.0,3.6,1.0,53,253,32,6,318
fb5d47b3,1059,1360,16331.0,6738.0,579,658,409,509,49,137,2,2.6,2.6,-0.6,16,67,19,6,106
fbd6378b,2407,2616,42318.0,15490.0,1064,1127,1072,1143,215,256,1,1.5,1.9,-0.5,16,182,10,3,172
fc4f85b1,844,1056,16070.0,7223.0,341,391,366,430,116,194,1,0.3,0.7,0.7,3,49,2,0,60
fc647b34,672,882,9138.0,2733.0,408,481,202,264,26,66,4,3.9,2.7,0.1,29,79,14,2,120
fc70e345,417,645,13527.0,10691.0,54,55,178,184,185,401,0,0.0,0.0,0.0,0,5,1,0,0
fc8b614b,600,745,8758.0,2414.0,326,366,214,254,23,57,0,1.9,2.0,-1.9,30,74,27,2,119
fd47b4f2,114,160,2595.0,1273.0,35,40,51,67,27,47,0,0.1,0.0,-0.1,2,9,0,0,6
fd51b456,774,967,11111.0,2746.0,496,551,206,249,51,99,3,4.7,4.5,-1.7,30,44,35,10,69
fd771f95,176,245,2286.0,367.0,125,157,36,53,7,11,5,1.4,1.2,3.6,14,13,4,0,23
fd9c4805,376,456,5905.0,1240.0,213,237,111,129,35,56,1,1.1,1.2,-0.1,13,32,8,3,40
fdd60087,787,1015,11137.0,4647.0,460,515,258,352,32,74,1,1.3,1.3,-0.3,14,47,22,7,84
fed17f5a,741,985,11632.0,4071.0,387,462,252,325,63,111,6,4.1,5.2,1.9,34,81,36,12,123
ffad706e,848,1112,13724.0,4920.0,427,473,355,455,53,121,1,0.9,1.4,0.1,17,63,21,7,86
