id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
00242715,30,2567,28,29,28,1,0,1,45,37,8,44.4,36.6,7.8,0,0,0,0
00242b75,31,1789,19,20,7,11,2,1,25,24,1,28.6,24.6,4.0,0,0,0,0
00672803,5,161,1,1,1,4,12,0,1,7,-6,2.0,5.1,-3.1,0,0,0,0
00963611,31,2705,30,31,26,0,0,1,39,54,-15,38.6,48.4,-9.8,0,0,0,0
009a4f60,28,1429,15,13,11,15,3,1,28,25,3,24.1,18.3,5.8,0,0,0,0
0174ba21,30,1364,15,13,6,17,1,0,9,30,-21,11.5,31.2,-19.7,0,0,0,0
01834aa0,27,2007,22,23,18,4,5,0,30,37,-7,32.3,30.1,2.2,0,0,0,0
037130ca,11,349,3,5,1,6,13,1,1,16,-15,2.4,12.5,-10.1,0,0,0,0
042e8a49,21,1359,15,16,3,5,0,2,38,17,21,39.7,18.5,21.2,0,0,0,0
048a1cbc,23,1795,19,21,10,2,0,1,45,36,9,32.5,25.6,6.9,0,0,0,0
049751d7,8,239,2,1,0,7,1,2,4,3,1,3.9,2.0,1.9,0,0,0,0
054849d2,28,2174,24,26,19,2,0,1,30,34,-4,27.9,37.3,-9.4,0,0,0,0
056d2d95,25,1990,22,23,14,2,8,1,32,25,7,30.4,24.2,6.2,0,0,0,0
05ba9d7c,21,1079,12,11,0,10,7,0,12,24,-12,11.6,19.3,-7.8,0,0,0,0
05c1f4c7,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
05d548d8,23,1765,19,20,15,3,1,2,48,23,25,34.6,26.7,8.0,0,0,0,0
05e2d5ea,3,27,0,0,0,3,1,2,3,0,3,0.5,0.2,0.3,0,0,0,0
05f99a4a,34,2611,29,32,9,2,0,1,41,39,2,43.9,38.6,5.3,0,0,0,0
061e8e23,22,963,10,12,0,10,8,1,13,13,0,11.7,11.1,0.6,0,0,0,0
07c7eb0c,33,2935,32,33,31,0,0,1,37,50,-13,39.4,55.2,-15.8,0,0,0,0
07d3bfec,1,14,0,0,0,1,6,0,0,0,0,0.0,0.1,-0.1,0,0,0,0
07d95488,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
080440a4,27,2222,24,25,24,2,2,1,32,37,-5,29.5,36.4,-6.9,0,0,0,0
08593525,24,1655,18,21,5,3,6,1,30,30,0,31.9,27.7,4.3,0,0,0,0
088ca1bd,13,588,6,6,3,7,5,1,10,7,3,8.6,7.3,1.2,0,0,0,0
091c86e2,16,323,3,1,0,15,11,1,3,6,-3,5.2,7.7,-2.5,0,0,0,0
0a3d6d2b,20,1307,14,13,12,7,3,4,24,28,-4,19.4,21.4,-2.0,0,0,0,0
0a3f6cde,25,1130,12,12,3,13,4,1,13,18,-5,15.4,20.3,-4.9,0,0,0,0
0a89e877,22,1143,12,12,7,10,8,1,27,15,12,23.8,15.0,8.8,0,0,0,0
0b104510,26,2280,25,25,25,1,0,0,21,59,-38,24.1,45.1,-21.0,0,0,0,0
0b4f388a,29,2166,24,24,18,5,0,1,39,36,3,38.8,37.8,1.0,0,0,0,0
0b826e69,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0c516c5c,0,0,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0c61c77c,22,1058,11,9,5,13,10,0,13,26,-13,18.5,18.5,0.0,0,0,0,0
0c7a48f8,27,1754,19,20,14,7,2,2,47,29,18,38.5,24.0,14.4,0,0,0,0
0c88efca,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0cc5f4a5,25,1627,18,18,7,7,0,1,26,30,-4,26.9,23.1,3.8,0,0,0,0
0cddeaa7,6,338,3,3,0,3,3,0,7,8,-1,6.2,7.2,-0.9,0,0,0,0
0cf778df,25,1714,19,21,5,4,0,1,21,27,-6,24.3,30.2,-5.9,0,0,0,0
0d55d942,25,2175,24,25,24,0,0,1,28,51,-23,23.6,41.4,-17.8,2175,25,25,24
0d8a37c2,1,90,1,1,1,0,33,1,1,1,0,1.4,0.8,0.6,90,1,1,1
0da32a38,4,99,1,1,0,3,9,0,0,3,-3,0.5,2.3,-1.8,0,0,0,0
0e0102eb,23,1595,17,19,5,4,1,4,23,26,-3,20.5,25.6,-5.1,0,0,0,0
0e6bc38c,20,377,4,1,0,19,2,1,11,5,6,11.0,5.5,5.5,0,0,0,0
0f2f73bc,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0f59a7bf,29,1861,20,20,9,9,2,1,31,33,-2,28.5,30.7,-2.2,0,0,0,0
0fbecd11,22,1614,17,19,6,3,0,1,30,21,9,30.5,20.1,10.5,0,0,0,0
1025db8e,29,2576,28,29,27,0,0,1,34,44,-10,29.2,46.5,-17.4,0,0,0,0
10549b49,9,359,4,4,0,5,0,2,7,5,2,8.7,4.7,4.0,0,0,0,0
106bca06,31,2397,26,27,17,4,1,0,21,44,-23,21.7,51.3,-29.6,0,0,0,0
10745192,4,134,1,1,0,3,1,1,5,3,2,5.0,1.7,3.4,0,0,0,0
11d8aff0,1,90,1,1,1,0,33,0,1,3,-2,1.5,1.4,0.1,90,1,1,1
1238a3f9,25,1004,11,10,2,15,4,1,11,25,-14,11.6,16.9,-5.3,0,0,0,0
12c35abe,26,1040,11,9,4,17,3,1,14,17,-3,12.8,13.4,-0.5,0,0,0,0
13203c45,26,1775,19,18,8,8,3,1,25,24,1,27.8,26.0,1.8,0,0,0,0
1394bf42,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0
13d23b29,2,17,0,0,0,2,9,1,0,1,-1,0.1,0.6,-0.5,0,0,0,0
13ddc856,27,1608,17,20,3,7,1,1,21,24,-3,20.1,29.9,-9.8,0,0,0,0
13fe7b69,33,1959,21,22,11,11,0,0,21,50,-29,18.9,38.3,-19.4,0,0,0,0
14025baf,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
14abb0e6,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0,0,0,0
15413fa5,31,2312,25,26,23,5,2,1,36,36,0,35.7,38.1,-2.3,0,0,0,0
157c807c,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
15b287da,32,2139,23,23,9,9,1,1,35,29,6,30.5,30.4,0.2,0,0,0,0
15f24fe7,15,1221,13,13,12,2,1,1,16,21,-5,21.0,17.2,3.7,0,0,0,0
169fd162,2,49,0,0,0,2,0,1,0,0,0,1.0,0.2,0.7,0,0,0,0
16daec92,4,110,1,1,0,3,9,1,4,2,2,4.0,2.0,2.0,0,0,0,0
17376543,34,3060,34,34,34,0,0,1,39,56,-17,36.7,57.9,-21.2,3060,34,34,34
1774c547,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
17780d2b,5,323,3,4,2,1,2,0,5,6,-1,4.0,5.7,-1.8,0,0,0,0
17f3620a,9,347,3,4,0,5,3,1,4,6,-2,4.1,3.6,0.6,0,0,0,0
18c2e247,1,5,0,0,0,1,0,3,0,0,0,0.0,0.1,-0.1,0,0,0,0
1940be91,1,10,0,0,0,1,16,1,0,0,0,0.8,0.1,0.7,10,1,0,0
199f7008,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
19a967ab,17,873,9,8,3,9,12,2,13,11,2,11.8,12.0,-0.2,0,0,0,0
1a4b9094,5,64,0,0,0,5,11,2,4,0,4,3.6,0.8,2.8,0,0,0,0
1a83027b,4,55,0,0,0,4,9,0,1,1,0,1.9,0.5,1.4,0,0,0,0
1ae836b1,32,2542,28,30,13,2,0,1,31,41,-10,29.9,44.2,-14.3,0,0,0,0
1b6d8083,10,228,2,2,0,8,11,1,3,1,2,2.9,3.1,-0.2,0,0,0,0
1cbe4984,7,362,4,5,1,2,1,1,3,7,-4,5.0,5.6,-0.7,0,0,0,0
1d8e9add,30,2569,28,29,27,1,2,1,48,52,-4,47.4,45.7,1.7,0,0,0,0
