,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
172,526ea7cc,22,1664,18,19,13,3,0,1,24,32,-8,22.0,25.1,-3.1,0,0,0,0
173,52afb588,8,182,2,1,0,7,2,1,2,6,-4,0.6,4.3,-3.6,0,0,0,0
174,53070b63,4,82,0,1,0,3,4,1,1,2,-1,0.8,1.6,-0.8,0,0,0,0
175,5360a956,1,19,0,0,0,1,0,3,1,0,1,0.1,0.3,-0.2,0,0,0,0
176,54507986,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0
177,5458f670,7,184,2,2,0,5,8,1,5,2,3,3.8,3.0,0.7,0,0,0,0
178,54b4dc4e,19,1077,12,12,2,7,4,1,18,22,-4,19.5,16.0,3.5,0,0,0,0
179,54e4866f,22,1543,17,19,0,3,0,1,31,17,14,28.7,20.0,8.7,0,0,0,0
180,5521f419,20,930,10,12,0,8,3,1,17,13,4,16.8,11.7,5.0,0,0,0,0
181,554bcc91,8,691,7,8,7,0,0,1,10,13,-3,8.8,11.1,-2.4,0,0,0,0
182,555d5edd,18,704,7,6,2,12,4,1,16,14,2,11.1,8.6,2.5,0,0,0,0
183,5569bf9a,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
184,5584552e,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
185,56413b1f,10,493,5,4,0,6,0,0,7,10,-3,7.4,8.6,-1.2,0,0,0,0
186,56478677,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
187,5762be5c,20,1194,13,13,9,7,2,0,14,24,-10,15.7,18.8,-3.1,0,0,0,0
188,57d88cf9,22,1895,21,21,20,1,0,2,42,26,16,35.8,27.0,8.9,0,0,0,0
189,57ec75bf,4,194,2,2,1,2,7,1,1,6,-5,0.5,5.1,-4.6,0,0,0,0
