id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
791abba1,32,2879,32,32,31,0,0,1,43,53,-10,43.2,53.1,-9.9,0,0,0,0
791af558,27,2071,23,23,11,4,1,1,36,34,2,33.7,32.7,1.0,0,0,0,0
79c90e45,28,2199,24,24,22,4,3,1,53,33,20,35.0,35.0,-0.1,0,0,0,0
79ca3e23,17,744,8,9,0,8,9,1,9,6,3,8.1,9.3,-1.2,0,0,0,0
79fa1799,2,60,0,1,0,1,6,0,0,2,-2,0.1,1.4,-1.3,0,0,0,0
7a3ec1ac,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
7aac47fe,9,548,6,7,4,2,8,1,12,10,2,5.6,11.6,-6.0,0,0,0,0
7bf8ad6c,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
7c104bb7,11,574,6,7,2,4,3,1,15,10,5,10.4,10.9,-0.5,0,0,0,0
7cd6badb,31,2727,30,31,27,0,0,1,42,43,-1,46.7,43.7,3.0,0,0,0,0
7d3e7da6,29,2610,29,29,29,0,3,2,84,26,58,64.8,29.2,35.6,2610,29,29,29
7d841904,3,19,0,0,0,3,5,1,0,0,0,0.0,0.1,-0.1,0,0,0,0
7e689867,24,1489,16,19,2,5,5,1,20,23,-3,24.4,21.8,2.5,0,0,0,0
7f609bfc,9,756,8,9,6,0,3,1,13,11,2,12.4,10.2,2.1,0,0,0,0
7f73bdf4,1,90,1,1,1,0,2,3,4,1,3,1.8,2.1,-0.2,0,0,0,0
7f97771d,22,1609,17,18,13,4,7,2,44,13,31,36.8,15.8,21.0,0,0,0,0
7fd0352e,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
7fe12375,2,180,2,2,2,0,31,0,2,4,-2,0.9,3.0,-2.1,180,2,2,2
80f36c88,25,1515,16,16,13,9,8,2,46,17,29,39.9,17.8,22.1,0,0,0,0
815c314f,12,901,10,11,9,1,6,1,14,18,-4,11.9,14.1,-2.1,0,0,0,0
816192f0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
81aeb1dd,5,165,1,1,0,4,10,1,1,1,0,1.5,1.9,-0.4,0,0,0,0
821233cc,4,271,3,3,3,1,5,1,4,5,-1,6.0,5.2,0.8,0,0,0,0
826e8b63,33,2959,32,33,32,0,0,1,43,44,-1,44.5,39.8,4.7,0,0,0,0
8279c033,7,320,3,3,1,4,12,0,0,5,-5,2.3,5.4,-3.2,0,0,0,0
834d0be5,23,1550,17,17,12,6,3,1,27,21,6,32.8,19.8,13.0,0,0,0,0
83e0eeb4,3,270,3,3,3,0,30,1,5,9,-4,5.3,7.4,-2.2,270,3,3,3
8494acc4,21,1289,14,14,11,7,7,1,21,25,-4,23.3,22.0,1.3,0,0,0,0
849c826a,18,1039,11,13,4,5,4,1,22,18,4,24.1,13.0,11.0,0,0,0,0
857a5abe,25,2177,24,24,24,1,2,1,26,33,-7,24.3,31.7,-7.4,0,0,0,0
8593f88c,34,3060,34,34,34,0,0,1,32,56,-24,39.6,46.1,-6.6,0,0,0,0
861e0116,2,33,0,0,0,2,6,1,0,0,0,0.0,0.5,-0.5,0,0,0,0
863ff1ee,30,2115,23,24,18,6,3,1,26,40,-14,28.7,36.6,-7.9,0,0,0,0
