id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
b1cd37e6,34,2956,32.8,33,27,1,0,1.59,57,46.0,11.0,-0.53,55.5,48.3,7.1,0.72,0,0,0,0.0
b3325a30,26,1729,19.2,20,7,6,1,1.08,17,22.0,-5.0,0.62,25.4,23.4,1.9,0.53,0,0,0,0.0
b3b7f5a6,1,17,0.2,0,0,1,3,0.0,0,0.0,0.0,-0.35,0.1,0.2,-0.1,-0.59,0,0,0,0.0
b48215cd,17,1251,13.9,15,6,2,1,0.82,14,28.0,-14.0,0.19,14.2,23.2,-9.0,-0.09,0,0,0,0.0
b4d90315,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
b500b384,26,1692,18.8,20,7,6,1,1.69,35,25.0,10.0,0.4,25.9,25.2,0.7,0.13,0,0,0,0.0
b5114f85,27,2064,22.9,22,22,5,2,0.59,20,55.0,-35.0,-0.89,25.1,36.6,-11.5,0.01,0,0,0,0.0
b69261a0,32,2731,30.3,30,29,2,2,1.59,52,38.0,14.0,0.73,47.1,46.7,0.3,0.12,0,0,0,0.0
b6a6e0a7,22,1622,18.0,19,7,3,7,1.98,29,35.0,-6.0,0.72,28.2,29.9,-1.7000000000000002,0.13,0,0,0,0.0
b825a650,27,2113,23.5,25,14,2,0,2.04,47,22.0,25.0,0.21,47.1,30.2,16.9,-0.07,0,0,0,0.0
b82880c6,7,600,6.7,7,6,0,19,0.86,8,14.0,-6.0,-1.56,9.8,11.3,-1.6,-0.53,0,0,0,0.0
b883006f,16,370,4.1,2,0,14,6,0.56,4,6.0,-2.0,0.85,3.6,7.1,-3.5,-0.39,0,0,0,0.0
b93b7882,18,941,10.5,10,4,8,1,1.17,13,16.0,-3.0,-0.07,15.3,16.9,-1.6,0.22,0,0,0,0.0
b956af7d,6,180,2.0,1,1,5,16,1.33,3,1.0,2.0,0.53,2.4,3.3,-0.9,-0.93,0,0,0,0.0
ba115a40,29,2182,24.2,23,19,6,0,1.69,48,33.0,15.0,0.93,42.5,35.2,7.4,0.39,0,0,0,0.0
bb25c778,4,315,3.5,3,3,1,26,1.5,8,9.0,-1.0,-0.06,5.6,7.1,-1.5,-0.12,315,4,3,3.5
bb8a42fa,21,1596,17.7,20,11,1,5,1.48,28,29.0,-1.0,0.87,25.9,32.6,-6.7,0.15,0,0,0,0.0
bbb496b5,3,125,1.4,1,0,2,8,2.0,2,1.0,1.0,0.38,1.3,1.9,-0.7,-0.7,0,0,0,0.0
bc6bd723,34,2503,27.8,28,17,6,0,1.62,44,33.0,11.0,0.07,41.9,43.8,-2.0,-0.38,0,0,0,0.0
bcb2ccd8,33,2925,32.5,33,32,0,0,2.0,60,27.0,33.0,0.35,63.1,39.0,24.1,0.0,2925,33,33,32.5
bd142efb,33,2937,32.6,33,31,0,0,1.73,67,51.0,16.0,-0.24,56.7,42.8,13.9,0.14,0,0,0,0.0
bd7d2e6d,18,1620,18.0,18,18,0,8,0.83,14,41.0,-27.0,-0.81,20.9,29.4,-8.5,0.26,0,0,0,0.0
be5e1c4c,10,575,6.4,7,3,3,1,1.3,10,12.0,-2.0,0.19,9.9,13.0,-3.1,-0.05,0,0,0,0.0
beb882a8,34,3052,33.9,34,33,0,0,1.56,58,49.0,9.0,0.27,49.6,56.1,-6.5,-2.01,0,0,0,0.0
beda9675,13,425,4.7,3,0,10,4,1.0,3,11.0,-8.0,-1.35,6.9,8.3,-1.4,-0.18,0,0,0,0.0
