id,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
d5dd5f1f,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-325,1989,6.2,1,16,7,43.8,2.60,1.14,0.06,0.14,13.7,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
9fec8860,Ludwig Augustinsson,se SWE,DF,Aston Villa,29-018,1994,0.9,0,2,1,50.0,2.34,1.17,0.00,0.00,12.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
5c2b4f07,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-136,1992,18.6,1,8,3,37.5,0.43,0.16,0.13,0.33,14.7,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
e5478b87,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-270,1997,12.9,6,31,11,35.5,2.41,0.85,0.19,0.55,12.1,0,0,0,5.9,5.9,0.20,+0.1,+0.1,Matches
f173303a,Yasin Ayari,se SWE,MF,Brighton,19-215,2003,0.2,0,1,0,0.0,4.09,0.00,0.00,,29.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
5dbefa9d,André Ayew,gh GHA,"FW,MF",Nott'ham Forest,33-143,1989,3.5,0,3,1,33.3,0.86,0.29,0.00,0.00,19.3,0,0,1,1.0,0.3,0.09,-1.0,-0.3,Matches
da052c14,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,31-240,1991,27.2,4,27,10,37.0,0.99,0.37,0.15,0.40,15.7,0,0,0,2.9,2.9,0.11,+1.1,+1.1,Matches
420d7c7d,Luke Ayling,eng ENG,DF,Leeds United,31-257,1991,19.8,1,20,4,20.0,1.01,0.20,0.05,0.25,15.8,0,0,0,2.1,2.1,0.11,-1.1,-1.1,Matches
53cad200,César Azpilicueta,es ESP,DF,Chelsea,33-254,1989,14.0,0,8,1,12.5,0.57,0.07,0.00,0.00,18.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
06df8256,Benoît Badiashile,fr FRA,DF,Chelsea,22-044,2001,9.1,1,6,2,33.3,0.66,0.22,0.17,0.50,7.2,0,0,0,1.2,1.2,0.20,-0.2,-0.2,Matches
3a233281,Leon Bailey,jm JAM,"FW,MF",Aston Villa,25-273,1997,19.8,4,47,13,27.7,2.38,0.66,0.09,0.31,18.2,3,0,0,4.9,4.9,0.10,-0.9,-0.9,Matches
32e8417f,Stefan Bajcetic,es ESP,MF,Liverpool,18-199,2004,5.8,1,6,3,50.0,1.03,0.51,0.17,0.33,24.5,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches
93feac6e,Patrick Bamford,eng ENG,FW,Leeds United,29-246,1993,15.5,4,45,16,35.6,2.91,1.03,0.09,0.25,14.6,1,0,1,7.6,6.8,0.15,-3.6,-2.8,Matches
2886c9b5,Shandon Baptiste,gd GRN,MF,Brentford,25-031,1998,6.4,0,4,1,25.0,0.63,0.16,0.00,0.00,15.9,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
3ea50f67,Harvey Barnes,eng ENG,"FW,MF",Leicester City,25-151,1997,28.1,12,68,31,45.6,2.42,1.10,0.18,0.39,15.9,0,0,0,8.4,8.4,0.12,+3.6,+3.6,Matches
c91441dc,Gavin Bazunu,ie IRL,GK,Southampton,21-078,2002,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
